accx,accy,accz,body_accx,body_accy,body_accz,body_gyrox,body_gyroy,body_gyroz
-0.3061294,0.4212943,0.7951628,-0.262638,-0.4010962,0.1864971,-0.7307456,0.05739534,-0.4427629
-0.3068351,0.4122584,0.8075554,-0.2612594,-0.4096912,0.1980759,-0.6627977,0.06724919,-0.4536888
-0.3145757,0.4065839,0.8227302,-0.2668262,-0.4148137,0.2123771,-0.6130653,0.04941226,-0.4499334
-0.335453,0.4017748,0.8668908,-0.2854389,-0.4189483,0.2555999,-0.5278547,0.03995948,-0.4319097
-0.3692824,0.3896281,0.8993922,-0.316911,-0.4302871,0.2870946,-0.4398155,0.009682826,-0.401972
-0.3868658,0.3810076,0.8952279,-0.3320424,-0.4379562,0.2818485,-0.4079546,-0.01082389,-0.3798754
-0.3756925,0.3821247,0.8784062,-0.3183194,-0.4357349,0.2638643,-0.4336883,-0.000799632,-0.3890859
-0.3652781,0.3823428,0.8729755,-0.305255,-0.4342515,0.257185,-0.4824299,-0.009571709,-0.3853299
-0.3597162,0.3852838,0.8775101,-0.2969413,-0.4298769,0.2603812,-0.5168456,-0.01491497,-0.3593392
-0.3510629,0.3856461,0.8802573,-0.2854338,-0.4279063,0.261697,-0.5377269,-0.009161504,-0.3256094
-0.3592741,0.3733641,0.8834684,-0.2906885,-0.4384004,0.2633808,-0.5296933,-0.002853713,-0.2870956
-0.3728256,0.3499816,0.8800484,-0.3011816,-0.4598108,0.2583353,-0.4919664,0.01311423,-0.2682593
-0.3720578,0.3224199,0.8771675,-0.2972543,-0.4852115,0.2537288,-0.451713,0.03761541,-0.2578548
-0.3716807,0.3048477,0.8810493,-0.2936169,-0.5004294,0.2557837,-0.4135608,0.06125501,-0.2350118
-0.368787,0.301673,0.8791714,-0.2873635,-0.5010513,0.2519768,-0.4086534,0.05677524,-0.2111594
-0.3634358,0.3042426,0.8823727,-0.2785543,-0.4957265,0.2531466,-0.4122515,0.04475388,-0.1969843
-0.3619735,0.3033044,0.8895445,-0.2735379,-0.4937034,0.2581842,-0.408372,0.05047511,-0.1942596
-0.3603869,0.2984855,0.8942662,-0.2683036,-0.4953525,0.2606692,-0.4343695,0.04429577,-0.1914111
-0.3650093,0.2917801,0.8961055,-0.2691873,-0.4986777,0.2601695,-0.4554685,0.03716414,-0.1823903
-0.3668926,0.2749727,0.8923097,-0.2672439,-0.5118934,0.2539328,-0.4930667,0.0420486,-0.1722703
-0.3684823,0.2546043,0.8952643,-0.264922,-0.5284577,0.2543456,-0.5435096,0.04014667,-0.1622057
-0.3791636,0.2382677,0.8957128,-0.2716098,-0.5407768,0.2521523,-0.5503709,0.05140476,-0.1555385
-0.3895634,0.2160693,0.8952546,-0.2779373,-0.5587431,0.2489538,-0.5546547,0.06387547,-0.1415372
-0.3997407,0.1995504,0.9042913,-0.283966,-0.5708141,0.2551535,-0.5349632,0.04599179,-0.1145799
-0.3970171,0.1920913,0.9067854,-0.2770201,-0.5736083,0.2547155,-0.5018096,0.03525956,-0.09135028
-0.3844546,0.1767649,0.9072335,-0.2601643,-0.5840518,0.2521383,-0.5222591,0.0505258,-0.07190108
-0.3833531,0.1603432,0.9092349,-0.2547012,-0.5953719,0.2510233,-0.5373835,0.05990643,-0.05523593
-0.3950433,0.1389509,0.9147859,-0.2619654,-0.6114433,0.2533687,-0.5351996,0.04882151,-0.06009698
-0.4162269,0.108679,0.9228251,-0.2786616,-0.6361743,0.2581154,-0.5432832,0.03610354,-0.07572587
-0.421376,0.08727318,0.9124817,-0.2792649,-0.651818,0.2443949,-0.5335898,0.03129422,-0.06940568
-0.411344,0.0707358,0.9019066,-0.264631,-0.6623709,0.2303605,-0.51217,0.01492917,-0.04832363
-0.4092408,0.05342015,0.9076477,-0.2578727,-0.6734783,0.2325633,-0.4782073,0.002395997,-0.01288251
-0.3975265,0.03521762,0.9085616,-0.2414531,-0.6852475,0.2298633,-0.4265564,0.01508077,0.03265265
-0.3817139,0.01823409,0.9055668,-0.2208887,-0.6955716,0.2231825,-0.3747666,0.0261609,0.03421604
-0.3773811,0.007382343,0.9082695,-0.2117622,-0.6995369,0.2221306,-0.3337466,0.01890622,0.0155747
-0.3801675,-0.00630576,0.9089738,-0.2097177,-0.7061109,0.2190156,-0.3208998,0.008930309,0.01611828
-0.3926588,-0.0137238,0.9063479,-0.2173459,-0.7061869,0.2125095,-0.31211,-0.0002054309,0.008937843
-0.399705,-0.01746047,0.9041319,-0.2195015,-0.7023538,0.2063563,-0.2535373,-0.01686826,0.02728276
-0.3942064,-0.02512508,0.8982953,-0.2090889,-0.7022219,0.1965295,-0.1845705,-0.02083979,0.06702933
-0.3876213,-0.02031948,0.8960693,-0.1975705,-0.6893947,0.1902649,-0.1765177,-0.01151541,0.07418784
-0.3882818,-0.01779211,0.9079665,-0.193283,-0.6786231,0.1980794,-0.1888972,-0.0135032,0.07373791
-0.4008785,-0.01941056,0.9216898,-0.2009213,-0.671778,0.2076802,-0.1751828,-0.02116699,0.08902788
-0.4151071,-0.02196577,0.9269901,-0.2101851,-0.6656547,0.208822,-0.1685358,-0.03235525,0.1188805
-0.4186759,-0.034095,0.9292889,-0.2087863,-0.6688951,0.2069297,-0.1718194,-0.03374093,0.1471702
-0.4080184,-0.03168203,0.9243211,-0.1931616,-0.6573883,0.1977412,-0.1672394,-0.01524941,0.1483441
-0.3983248,-0.03125513,0.9122927,-0.1785044,-0.6476681,0.1814659,-0.1616427,-0.005268809,0.1401354
