accx,accy,accz,body_accx,body_accy,body_accz,body_gyrox,body_gyroy,body_gyroz
0.9205844,-0.3370832,-0.04280155,-0.08695303,-0.1002863,0.04456243,-0.3822182,0.2225238,0.01758911
0.9177687,-0.3270948,-0.02366342,-0.08982175,-0.08970228,0.06456283,-0.3577278,0.1648755,0.01697044
0.9177607,-0.2871915,-0.02014831,-0.08987122,-0.04919001,0.06895467,-0.3250529,0.06632727,0.02104879
0.9044856,-0.2775289,-0.02677534,-0.1031721,-0.03890444,0.06321208,-0.239558,0.01631881,0.05874447
0.9065326,-0.2385521,-0.01535912,-0.1011316,0.0007091286,0.07551403,-0.1841388,-0.06214042,0.1048468
0.9283839,-0.2449008,-0.0156042,-0.0792635,-0.004990839,0.07614982,-0.1387253,-0.04199519,0.1013114
0.9537066,-0.2528243,-0.005956072,-0.05389808,-0.01225586,0.086668,-0.1113991,-0.01060857,0.06222384
0.9554253,-0.2003173,0.0281968,-0.05210928,0.04091699,0.1216741,-0.1108012,-0.04722618,0.01555262
0.9295528,-0.1610009,0.03830128,-0.0778832,0.08090324,0.1326084,-0.09890099,-0.04864082,-0.001476983
0.9082529,-0.1150096,0.04742757,-0.09905505,0.1275631,0.1425343,-0.1182454,-0.1164263,-0.01166931
0.8918631,-0.09673261,0.05881041,-0.1152852,0.1465004,0.1546793,-0.1104217,-0.1737138,-0.03940709
0.8872788,-0.08422988,0.04862737,-0.1196757,0.1596471,0.1452141,-0.1038763,-0.225808,-0.08045886
0.8987884,-0.05009221,0.03251047,-0.1079351,0.1944038,0.1297644,-0.1491898,-0.3071202,-0.1391282
0.9231964,-0.0637743,0.01915986,-0.08325678,0.181307,0.1170251,-0.2259186,-0.2666536,-0.1693152
0.9778622,-0.08525383,0.01134131,-0.02828003,0.1603705,0.109758,-0.3743026,-0.2296555,-0.122495
1.036761,-0.1212337,0.006613329,0.03096955,0.1248844,0.1055185,-0.4364806,-0.2356544,-0.03023831
1.067639,-0.1451407,0.0003240752,0.06223304,0.1014166,0.09965241,-0.3590564,-0.2292539,0.02147098
1.090454,-0.1177399,-0.01030286,0.08546422,0.1291988,0.08938168,-0.3406216,-0.2558816,0.02665883
1.125224,-0.1094661,-0.003796465,0.1206721,0.1377929,0.09617625,-0.4251782,-0.2354061,0.03532213
1.193174,-0.09161916,-0.003221789,0.1890747,0.155896,0.09697036,-0.5538045,-0.2112627,0.09403009
1.339783,-0.08529442,-0.08081235,0.3361393,0.1624091,0.01953043,-0.6472843,-0.1978096,0.2582887
1.476066,-0.1776574,-0.1766625,0.4728662,0.07016353,-0.0762357,-0.6031311,-0.02261772,0.4466407
1.435075,-0.3669885,-0.1916691,0.432287,-0.119121,-0.09121915,-0.3434572,0.2741237,0.4731504
1.298526,-0.5145984,-0.145539,0.2960962,-0.2667486,-0.04511914,0.01101547,0.4484334,0.3255919
1.132689,-0.4410532,-0.05332752,0.1305509,-0.1932722,0.04701586,0.09343554,0.4054344,0.1581722
0.923827,-0.3094408,0.04103411,-0.07809444,-0.06176593,0.1412579,-0.1527919,0.2233989,-0.0004963914
0.891655,-0.2825,-0.02000234,-0.1101212,-0.03495859,0.08005819,-0.378544,-0.05413019,-0.0791227
0.9375024,-0.2538661,-0.1792165,-0.06419213,-0.006479994,-0.07936323,-0.4311009,-0.2912599,0.06986885
0.8690783,-0.2929287,-0.2474284,-0.1325891,-0.04571621,-0.1478226,-0.3704941,-0.3157579,0.2563595
0.9327161,-0.4061246,-0.3103154,-0.06896973,-0.1591,-0.2109886,-0.2665403,-0.1468767,0.3036226
1.023469,-0.4801297,-0.3403608,0.02172639,-0.2333003,-0.2413323,-0.1707335,0.1016569,0.2287147
0.973612,-0.5128234,-0.2458255,-0.02822012,-0.2661856,-0.1471016,0.012984,0.1805462,-0.001827176
0.94089,-0.4251542,-0.1806268,-0.06106151,-0.1786926,-0.08220342,0.1878532,0.05803166,-0.2697853
0.8649684,-0.2963143,-0.1405348,-0.1371271,-0.05000336,-0.04240092,0.2166832,-0.08161478,-0.3736853
0.8192016,-0.2299994,-0.1352049,-0.1830552,0.01619076,-0.03734584,0.2895264,-0.305778,-0.2578797
0.8611882,-0.1773669,-0.1945875,-0.1412378,0.06873197,-0.09698625,0.3331066,-0.4146097,-0.09656054
0.8652812,-0.1833627,-0.2145653,-0.1373131,0.06267084,-0.1172018,0.245139,-0.283807,0.03052911
0.9045558,-0.1779202,-0.2422388,-0.09819814,0.06806899,-0.1450884,0.1587766,-0.2234107,0.1731109
0.925096,-0.1493425,-0.241156,-0.07780314,0.09661844,-0.1441886,0.01140913,-0.1502972,0.1734552
0.8977675,-0.1552323,-0.2152272,-0.1052581,0.09071128,-0.1184073,-0.1507665,-0.07526446,0.1563283
0.9093882,-0.1379934,-0.2346003,-0.09374151,0.1079381,-0.1378878,-0.2394874,-0.1455016,0.2430576
0.9089602,-0.1702009,-0.2117547,-0.0942474,0.07571847,-0.1151053,-0.2661858,-0.1528109,0.2558623
0.9381756,-0.2238123,-0.1999725,-0.06508067,0.0220908,-0.1033386,-0.2017925,-0.1583595,0.275603
1.00029,-0.2398594,-0.1985203,-0.002984531,0.006020867,-0.1018521,-0.09953026,-0.1636481,0.2487787
1.009492,-0.2452239,-0.1670705,0.006230207,0.0006264186,-0.07031666,0.03377233,-0.06315255,0.1448832
0.983206,-0.1900533,-0.1582316,-0.02001384,0.05576009,-0.06134034,0.1183012,-0.05146409,0.118345
0.9682297,-0.1331781,-0.1241162,-0.03492144,0.1125901,-0.02703643,0.1215505,-0.0753223,0.09866703
0.9792535,-0.1092266,-0.1000391,-0.02380279,0.1364847,-0.002721919,0.1783089,-0.05721026,0.1232392
0.9815698,-0.1102646,-0.09234818,-0.0213663,0.135373,0.005252116,0.2440728,-0.04932472,0.155909
0.9753346,-0.1318703,-0.07498861,-0.02745683,0.1136714,0.02293642,0.3378893,-0.006452925,0.1327579
0.9777426,-0.1287274,-0.1083504,-0.02488055,0.1166918,-0.01006342,0.4944413,-0.002892597,0.1597465
0.9747574,-0.1444785,-0.147936,-0.02767477,0.1007879,-0.04925352,0.5528799,-0.01168518,0.1636727
0.9868739,-0.1618072,-0.1638345,-0.01534547,0.08327326,-0.0647251,0.5153385,0.004229212,0.1265178
1.006827,-0.1647237,-0.1711799,0.004840876,0.08013554,-0.07161279,0.4501192,-0.01194139,0.07831804
1.040121,-0.1694532,-0.1610248,0.03838765,0.07514864,-0.06096939,0.3452329,0.004190221,-0.00365783
1.146839,-0.1493734,-0.1299862,0.1453721,0.09493389,-0.02941229,0.2925393,0.05801102,-0.109972
1.261392,-0.1488051,-0.08721873,0.2602001,0.09516961,0.01390246,0.4060196,0.1499922,-0.2291847
1.274357,-0.1603969,-0.07437564,0.2734369,0.08320617,0.02731844,0.6129198,0.2482185,-0.2547166
1.303575,-0.1895406,-0.05403916,0.3029092,0.05365126,0.04824913,0.6702576,0.2545139,-0.2571439
1.379343,-0.2351059,-0.0351655,0.3789003,0.007635841,0.06773314,0.3730361,0.138631,-0.2976334
1.265222,-0.2250043,-0.1517832,0.2649546,0.01725055,-0.04826307,-0.1958788,-0.09874471,-0.215917
1.080316,-0.2361869,-0.3214915,0.0801653,0.005547604,-0.2173404,-0.5958129,-0.2098446,-0.155359
1.092908,-0.3419925,-0.33062,0.09280982,-0.1008079,-0.2258249,-0.5594047,0.02623846,-0.3332444
1.133244,-0.4916953,-0.2642533,0.133133,-0.2510831,-0.1587938,-0.2495586,0.3918912,-0.5641172
1.102351,-0.572322,-0.2391807,0.1021595,-0.3322927,-0.1330299,0.1599663,0.6287973,-0.5864868
1.056578,-0.5150905,-0.1379795,0.05623958,-0.2756384,-0.0311074,0.4183871,0.652797,-0.4289951
0.9434551,-0.415187,-0.03113636,-0.05709596,-0.1762907,0.07648686,0.3347616,0.454255,-0.240554
0.8665646,-0.2746319,-0.04881974,-0.1342588,-0.03625906,0.05957973,0.1004941,0.1447805,-0.05552383
0.8895067,-0.1244744,-0.09848355,-0.1116399,0.1134118,0.01071087,-0.1876837,-0.0395496,0.07137413
0.9293073,-0.1409487,-0.1514045,-0.07220294,0.09648511,-0.04140158,-0.4574538,0.02825368,0.1001494
0.9592845,-0.2239999,-0.1738839,-0.04262133,0.01301085,-0.0630615,-0.4684959,0.1567828,0.100204
0.9196982,-0.2808968,-0.1289786,-0.0826282,-0.04428354,-0.01732675,-0.3505023,0.2096418,0.1130879
0.8418571,-0.3676328,-0.09570396,-0.160908,-0.1313912,0.01678614,-0.2965651,0.2723864,0.1299229
0.8306759,-0.3544226,-0.0702343,-0.1725375,-0.1185237,0.04309994,-0.2685791,0.2820558,0.1232398
0.8476542,-0.28433,-0.04475737,-0.1560069,-0.04874066,0.0694227,-0.3370318,0.2080852,0.1139764
0.8537955,-0.2692062,-0.03988022,-0.1503035,-0.03389038,0.07514217,-0.4054214,0.1317369,0.1266149
0.8608848,-0.2389927,-0.01631243,-0.1436336,-0.003913858,0.099543,-0.3595349,0.01438012,0.1264453
0.8593178,-0.2365135,0.01377025,-0.1455942,-0.001636184,0.1304431,-0.3088793,-0.08861844,0.1300148
0.859691,-0.2197939,0.01637134,-0.1455819,0.01491575,0.1338392,-0.238218,-0.1594617,0.1340346
0.864192,-0.1594223,0.01484176,-0.1414032,0.07515064,0.133075,-0.1940665,-0.2452664,0.1029053
0.8625872,-0.146491,0.02637071,-0.1432862,0.0879722,0.1453328,-0.2159095,-0.2825478,0.05570728
0.8633876,-0.1136153,0.02148978,-0.1427149,0.1207593,0.1411377,-0.2051167,-0.310679,0.008276682
0.8823814,-0.07619433,0.0003069832,-0.1238967,0.1581059,0.1205918,-0.2323146,-0.2947418,-0.01481457
0.9429235,-0.07901698,-0.01035153,-0.06347383,0.1552155,0.1105163,-0.315827,-0.1973594,-0.001269949
1.029118,-0.09925283,-0.02122662,0.02265839,0.1349105,0.1001666,-0.3666636,-0.1203437,0.04267656
1.075935,-0.1722799,-0.05336968,0.06946733,0.06180602,0.06848882,-0.3822855,-0.08971038,0.08995809
1.076796,-0.2233627,-0.09462158,0.07036988,0.01063347,0.02764099,-0.3245576,-0.1633159,0.07406087
1.0918,-0.1883284,-0.07491963,0.08545589,0.04556441,0.04768635,-0.2380011,-0.2336565,0.03428294
1.157479,-0.06772267,-0.01593534,0.151251,0.1660518,0.1069542,-0.2952924,-0.1664682,0.03729907
1.262927,0.07877669,-0.02610092,0.2568394,0.312413,0.09701223,-0.4937871,-0.1331323,0.09105368
1.371995,0.08005015,-0.1198844,0.3660587,0.3135188,0.003391788,-0.6460027,-0.1327897,0.2661577
1.451426,-0.08506695,-0.2634867,0.4456364,0.148193,-0.1401059,-0.5875288,0.03272486,0.4875987
1.407869,-0.339,-0.3098881,0.4021994,-0.1059965,-0.1864537,-0.3211871,0.326494,0.566004
1.189282,-0.5967135,-0.1899257,0.183689,-0.3640106,-0.06647871,0.04109331,0.5048849,0.5385478
0.9513245,-0.6670755,-0.0802819,-0.05424767,-0.4347023,0.0431453,0.2930158,0.5254122,0.3873588
0.8310591,-0.5448058,-0.0357232,-0.1745469,-0.3127702,0.0876553,0.1055743,0.540104,0.02224216
0.8383518,-0.4185771,-0.05027267,-0.1673347,-0.1868676,0.07302788,-0.215622,0.3457108,-0.1930159
0.8545886,-0.2993002,-0.1018497,-0.1512135,-0.06789213,0.0213424,-0.2232595,-0.1504093,-0.01489335
0.8203149,-0.242787,-0.1135881,-0.1856265,-0.01164983,0.009465214,-0.2698178,-0.3953707,0.1002556
0.9380341,-0.3679225,-0.1798284,-0.06806009,-0.1370235,-0.05694236,-0.2124991,-0.1998901,-0.01567477
1.071626,-0.4853872,-0.2511966,0.06537223,-0.2546903,-0.1285022,0.139234,-0.08665513,-0.07177804
0.9911822,-0.4730524,-0.1938885,-0.01523562,-0.2425145,-0.07140388,0.3401699,-0.1968438,-0.1646281
0.9100944,-0.3855547,-0.1498684,-0.09649097,-0.1551238,-0.02760529,0.4527751,-0.2277455,-0.2808482
0.8459917,-0.2407657,-0.1947136,-0.1607613,-0.01038395,-0.07267914,0.3894253,-0.2346693,-0.2025503
0.7774453,-0.1730797,-0.2215273,-0.2294685,0.05731118,-0.09972442,0.1903342,-0.277012,-0.1133111
0.80632,-0.1793105,-0.213183,-0.2007381,0.05114314,-0.09160963,0.1686235,-0.2381549,0.00495833
0.8208207,-0.1678469,-0.239525,-0.1863557,0.06271675,-0.1181737,0.06323542,-0.2584349,0.2318801
0.8449519,-0.1896338,-0.2625744,-0.1623081,0.04108057,-0.141432,-0.0128364,-0.2606218,0.2938648
0.9174627,-0.217687,-0.2410711,-0.08984007,0.01321295,-0.1201185,-0.02783082,-0.1131411,0.2413323
0.9285489,-0.2269196,-0.2162282,-0.07875202,0.004196246,-0.09544066,-0.09044575,0.006378731,0.1976161
0.9083411,-0.2143749,-0.1627916,-0.09891156,0.01698364,-0.04214044,0.03198886,0.05220846,0.1316665
0.9126247,-0.1697289,-0.126114,-0.09453222,0.0618957,-0.005568651,0.1049827,-0.01015833,0.1435986
0.9177213,-0.1398735,-0.1398722,-0.08929138,0.09203589,-0.01940258,0.1108302,-0.06413623,0.1997964
0.9326208,-0.1137479,-0.1281326,-0.07419818,0.1184591,-0.007709559,0.1367078,-0.01132321,0.2418858
0.9622827,-0.1013579,-0.1159384,-0.04429332,0.1311523,0.004465635,0.07573113,-0.008918149,0.2516647
0.960618,-0.1254109,-0.1148283,-0.04566677,0.1074009,0.005582589,0.1023159,0.03315356,0.19206
0.9444039,-0.1576046,-0.1082224,-0.06154321,0.07550055,0.01221892,0.2011938,0.06875418,0.1149732
0.9595238,-0.1953444,-0.1178947,-0.04604068,0.03804104,0.002598591,0.397138,0.03186267,0.05945751
1.005542,-0.2214829,-0.1319708,0.0004032048,0.01216699,-0.011406,0.585206,0.07220653,0.06201004
1.07029,-0.2256133,-0.1475694,0.06561635,0.008284054,-0.02691488,0.5513933,0.08317984,0.04162835
1.101567,-0.1890982,-0.1407313,0.09739153,0.04502937,-0.01996962,0.4374705,0.05505032,-0.08474316
1.130525,-0.1040555,-0.1131868,0.1268746,0.1302835,0.007698831,0.2568695,0.04003587,-0.1947726
1.245708,-0.06857896,-0.09214153,0.2425989,0.1659492,0.02888365,0.1607876,0.0415682,-0.2218523
1.398004,-0.1530016,-0.06579192,0.3954394,0.08168783,0.05538582,0.2419596,0.1559186,-0.2026184
1.478237,-0.3056082,-0.08068529,0.476202,-0.07078893,0.04065478,0.1802417,0.2776916,-0.2141182
1.386905,-0.4150616,-0.1778659,0.3853643,-0.1801421,-0.05635662,-0.161664,0.1939061,-0.2532932
1.166071,-0.422511,-0.3002437,0.1649692,-0.1875134,-0.1785581,-0.6357088,-0.2163242,-0.2342534
1.038075,-0.4083467,-0.357876,0.03734595,-0.1732832,-0.2360023,-0.7817395,-0.5460182,-0.2425356
1.089129,-0.4377445,-0.3298287,0.08870363,-0.2026171,-0.2077466,-0.4885042,-0.196693,-0.3188511
1.137639,-0.4521051,-0.2588557,0.1374468,-0.2169059,-0.1365364,-0.2125849,0.3320212,-0.3758258
