accx,accy,accz,body_accx,body_accy,body_accz,body_gyrox,body_gyroy,body_gyroz
0.9638116,-0.2382863,-0.5311934,0.04361163,-0.004514025,-0.2120044,-0.09214456,0.04336452,0.06125029
0.9855932,-0.3647313,-0.5792606,0.06504329,-0.1313312,-0.2611871,-0.08204077,0.1562237,0.2431819
1.053044,-0.5326911,-0.583176,0.1321637,-0.2996813,-0.2661526,0.1151911,0.2107323,0.3804917
1.187,-0.6640613,-0.5706888,0.2658022,-0.4314464,-0.254639,0.2711305,0.4594405,0.352402
1.324301,-0.664053,-0.4533289,0.4027883,-0.4318185,-0.1381663,0.3955536,0.8041533,0.1566974
1.450021,-0.6706579,-0.2343813,0.528179,-0.4387677,0.07998562,0.3559922,0.7792205,-0.2186716
1.438421,-0.6679171,-0.1033,0.5162149,-0.4363145,0.2103595,0.2251453,0.3139442,-0.7172179
1.313812,-0.5247538,-0.1645171,0.3911842,-0.2933636,0.1485132,0.1655029,-0.167404,-1.05818
1.206395,-0.3934851,-0.2507827,0.2832713,-0.162219,0.06168469,0.09215954,0.03202664,-1.060346
1.014952,-0.2745619,-0.2115676,0.09124692,-0.04332601,0.1003939,0.01667162,0.3094729,-0.9235144
0.8081257,-0.170831,-0.1456595,-0.1162462,0.06046757,0.1658451,-0.07165892,0.04872946,-0.7577386
0.6993546,-0.213804,-0.05953627,-0.2257621,0.0176437,0.2515511,-0.1240755,0.0001433663,-0.4182174
0.6123524,-0.2220385,0.02502819,-0.3135711,0.009636823,0.3357253,-0.06959575,-0.0277782,-0.0802024
0.612138,-0.182919,-0.02149555,-0.3146347,0.04905493,0.288823,-0.001895686,-0.2253632,-0.05292181
0.6222343,-0.1910961,-0.04844251,-0.3054087,0.04123997,0.2614941,0.07248295,-0.2499449,-0.1063402
0.555841,-0.1278792,-0.07464692,-0.3726731,0.1048743,0.2348913,0.008097894,-0.5581761,-0.08388853
0.5696813,-0.09829682,-0.163647,-0.3596849,0.1349203,0.1454662,-0.2089067,-0.7931534,-0.220137
0.60585,-0.1428733,-0.1471891,-0.3243301,0.09084357,0.1614655,-0.3647381,-0.7167739,-0.4448372
0.6514489,-0.1860544,-0.1368684,-0.2794899,0.04818886,0.1712891,-0.5298555,-0.8283833,-0.6099118
0.7754252,-0.2687366,-0.1577159,-0.1562039,-0.03394683,0.1499019,-0.5603865,-0.9106683,-0.6662032
0.898528,-0.3008131,-0.1843486,-0.03371565,-0.06546023,0.1226834,-0.3162617,-0.964726,-0.5801437
1.023836,-0.2491385,-0.3022217,0.0910547,-0.01320706,0.004176756,-0.1085185,-0.8253531,-0.5332111
1.053141,-0.1759504,-0.354413,0.1198941,0.06057393,-0.0486935,-0.1050227,-0.3287293,-0.5537738
0.9864499,-0.1013738,-0.3012378,0.05280141,0.1357535,0.003762453,-0.2074097,0.0490794,-0.5990403
0.9546011,-0.06232582,-0.216722,0.02060716,0.1754075,0.08752392,-0.2618483,0.2042691,-0.7122305
0.9181557,-0.1005062,-0.1605665,-0.01613281,0.1378268,0.1428922,-0.3031794,-0.03335795,-0.7022284
0.9533267,-0.2753977,-0.2373289,0.01879129,-0.03647901,0.06530933,-0.3026525,-0.5412618,-0.3823882
1.097465,-0.4474369,-0.4587462,0.1627263,-0.207949,-0.1569606,-0.1218993,-0.9362995,0.2362449
1.207854,-0.3957079,-0.774175,0.2729478,-0.1556629,-0.4732656,0.05343776,-1.084741,0.7851171
1.21461,-0.3073769,-0.927812,0.2795592,-0.06677957,-0.6277826,0.1133353,-0.7270123,0.8316638
1.269837,-0.3541117,-0.7746172,0.3346498,-0.1129618,-0.4754433,0.03359873,-0.4361519,0.694928
1.506758,-0.3235741,-0.6442216,0.5714251,-0.0818679,-0.3458515,-0.04878974,-0.5009849,0.6840059
1.600539,-0.2782365,-0.6841795,0.665029,-0.03596754,-0.3865407,0.1197962,-0.3383172,0.4559232
1.446609,-0.3042181,-0.6396674,0.510862,-0.06137861,-0.3426712,0.2282731,0.03646979,-0.01504327
1.33519,-0.2157858,-0.5234567,0.3991241,0.02763222,-0.2270013,0.1479597,0.6444745,-0.4429925
1.231734,-0.1923584,-0.4883277,0.2952497,0.0516444,-0.1923024,0.1405514,1.072325,-0.622502
1.064132,-0.2174737,-0.4320095,0.1271201,0.02711678,-0.1362993,0.1770879,0.7561397,-0.4387854
0.7951985,-0.0871838,-0.3535035,-0.1424506,0.1579928,-0.05799256,0.1854971,0.4166477,-0.2250014
0.5748689,-0.02430251,-0.3295791,-0.3635159,0.2214518,-0.03415444,0.1459815,0.2709104,-0.08741047
0.6582025,-0.001992707,-0.3004379,-0.280997,0.2443207,-0.004991603,0.1210596,-0.1084789,0.1779525
0.6762548,0.09727518,-0.2116434,-0.2638151,0.3441168,0.08392495,0.147208,-0.4365854,0.3626037
0.6012971,0.1279343,-0.1546114,-0.3396776,0.3752588,0.1411698,0.1727414,-0.5852084,0.4634964
0.7670137,-0.02180293,-0.2290621,-0.1748806,0.225944,0.06701055,0.2544973,-0.5097016,0.5624441
0.8379966,-0.2441894,-0.2904838,-0.104816,0.003909006,0.005948065,0.3738773,-0.2314771,0.6345582
0.7734176,-0.266863,-0.3043092,-0.170301,-0.01848672,-0.007458803,0.4313104,-0.07321409,0.7555932
0.7930658,-0.2196008,-0.3199599,-0.1515375,0.02898291,-0.02263714,0.4405297,0.1975606,0.7034988
0.8041216,-0.213226,-0.2933874,-0.1413364,0.03549895,0.00445671,0.518084,0.5034493,0.6240797
0.8386957,-0.1184603,-0.3241966,-0.1075793,0.130342,-0.02578654,0.5797086,0.5728417,0.6325626
0.8593352,-0.1022085,-0.3432914,-0.08771326,0.1466075,-0.04427464,0.4932506,0.7186861,0.4764699
0.8923693,-0.1669424,-0.2979376,-0.05540507,0.08182196,0.001723287,0.3744297,0.808781,0.3932129
0.9621951,-0.1791651,-0.2841031,0.01374424,0.06948159,0.01623558,0.2287135,0.824009,0.275574
0.9423306,-0.1565094,-0.2467214,-0.00674775,0.09195416,0.0543242,0.1066676,0.7282907,0.03970417
0.9344296,-0.107229,-0.2404357,-0.01522858,0.1409866,0.06134012,0.06072645,0.3097579,0.006410835
0.9497274,-0.1043728,-0.2874039,-0.0004645241,0.1435297,0.01511924,-0.05291414,0.1037614,-0.004287196
0.9461377,-0.1525724,-0.3356352,-0.004543478,0.09495057,-0.03235256,-0.144207,0.1394937,0.01103866
0.9683041,-0.2224374,-0.3919276,0.01717649,0.02463987,-0.08787572,-0.1425624,0.1470847,0.1168942
0.9595354,-0.3037801,-0.4238069,0.008001872,-0.05721163,-0.1189759,-0.09172148,0.2309042,0.1834341
0.9508581,-0.3628947,-0.4694156,-0.001043033,-0.1168913,-0.163793,0.01123075,0.3282162,0.229834
0.9809273,-0.4175404,-0.4966375,0.02869454,-0.1721483,-0.1902068,0.05673279,0.4434507,0.198137
1.13543,-0.5075946,-0.45838,0.182898,-0.2628476,-0.1511196,0.08368876,0.4718748,0.2260608
1.469349,-0.7185617,-0.3457778,0.5165422,-0.4744769,-0.0376617,0.2285915,0.6168174,0.2183968
1.658117,-0.8663117,-0.1957799,0.7050389,-0.622884,0.1132175,0.3728014,0.8172087,-0.1903603
