accx,accy,accz,body_accx,body_accy,body_accz,body_gyrox,body_gyroy,body_gyroz
1.145432,-0.4676075,-0.2234042,0.1584867,-0.1251079,-0.07464315,-0.2106838,0.1752136,-0.2767425
1.213244,-0.5395097,-0.2002375,0.2274459,-0.1956213,-0.05164241,-0.113683,0.1149828,-0.2815079
1.307843,-0.6653929,-0.2310577,0.3231663,-0.3201865,-0.08257441,0.1023842,0.2668766,-0.1066836
1.315214,-0.7320684,-0.2810225,0.3316192,-0.3855997,-0.1325965,0.3088558,0.4400596,0.1308798
1.160412,-0.7283703,-0.2536315,0.1778433,-0.3806772,-0.1052068,0.3930293,0.3596891,0.258294
1.000742,-0.6831166,-0.2128025,0.01913268,-0.3342186,-0.06432164,0.3685273,0.255853,0.20498
0.9612058,-0.6137222,-0.185701,-0.0195131,-0.2636226,-0.03710658,0.3922832,0.2355259,0.1198681
1.030903,-0.5510546,-0.1132391,0.05100472,-0.1997444,0.03552415,0.4136955,0.1050502,0.07997509
1.082114,-0.4495073,-0.05914179,0.1029699,-0.09696978,0.08984121,0.3577721,0.001133324,0.03125968
1.063998,-0.3527304,-0.05401731,0.08554002,0.001054113,0.09522906,0.3210918,-0.06549939,0.05003101
1.046895,-0.3197434,-0.08556561,0.06905241,0.03530576,0.06397969,0.1611768,-0.1102604,0.06805269
1.001665,-0.2987964,-0.1239231,0.02436943,0.05752992,0.02594949,-0.04828447,-0.001048005,0.04446906
0.934668,-0.3189742,-0.118277,-0.0421495,0.03863527,0.0319456,-0.1240807,0.1338587,0.03903076
0.8349462,-0.3771863,-0.106732,-0.1414571,-0.01829345,0.04385913,-0.144001,0.1902493,-0.004972021
0.7126916,-0.3735517,-0.09246099,-0.2633527,-0.0133796,0.05851261,0.0001891077,0.1610274,0.005300251
0.6928566,-0.3479004,-0.07663122,-0.2828711,0.01354386,0.07473417,0.2375222,0.1494526,0.06077374
0.6841299,-0.3369616,-0.07347282,-0.291308,0.02574487,0.07828854,0.3582691,0.2577654,0.06543801
0.6445117,-0.2893989,-0.04566649,-0.3306469,0.07455583,0.1064896,0.3626801,0.314073,0.08247255
0.6658362,-0.2361001,-0.02535968,-0.309038,0.1290837,0.127184,0.2646303,0.2553691,0.07368905
0.667061,-0.2006609,-0.015609,-0.3075085,0.1657256,0.1373088,0.1356818,0.1557857,0.07431543
0.7076063,-0.2060311,-0.0009765864,-0.2666247,0.1615233,0.1522948,-0.01945415,0.09653119,0.1089056
0.8117535,-0.2550789,-0.004699151,-0.1620944,0.1135997,0.1488987,-0.1468918,0.1346987,0.1110129
0.822394,-0.2966033,-0.00295273,-0.1510193,0.07314938,0.1509376,-0.1803782,0.1535798,0.123425
