accx,accy,accz,subject,activity
0.1881076,0.7867169,0.5719042,1,6
0.1900625,0.7862243,0.5730728,1,6
0.190812,0.7869899,0.5735939,1,6
0.1894438,0.7897924,0.5756323,1,6
0.1878185,0.7910426,0.5752675,1,6
0.1862884,0.7897928,0.5733235,1,6
0.1873128,0.7884423,0.5740189,1,6
0.1885165,0.7843387,0.574373,1,6
0.1880124,0.781358,0.5751595,1,6
0.1898361,0.7870995,0.5752362,1,6
0.1900367,0.7931665,0.5735745,1,6
0.1871269,0.7919484,0.5734398,1,6
0.1874528,0.7914384,0.5726826,1,6
0.1886946,0.7922617,0.5723863,1,6
0.1889127,0.7890187,0.5752131,1,6
0.188989,0.7871617,0.5791237,1,6
0.1877064,0.7868138,0.5837655,1,6
0.1873145,0.785404,0.5861577,1,6
0.1873515,0.7867251,0.5807176,1,6
0.1863846,0.7880699,0.5716622,1,6
0.1850684,0.7890216,0.5699569,1,6
0.1845542,0.7895343,0.5694539,1,6
0.186687,0.7881981,0.5624127,1,6
0.1881883,0.7891301,0.5627721,1,6
0.1881533,0.7891508,0.5725807,1,6
0.1908898,0.7883622,0.5787106,1,6
0.1938947,0.7893741,0.5773368,1,6
0.1917398,0.7882993,0.5753571,1,6
0.1887961,0.7870317,0.5806614,1,6
0.1896385,0.7865656,0.5827673,1,6
0.1864303,0.7891247,0.5766651,1,6
0.1813707,0.7932535,0.5736188,1,6
0.1844867,0.7907321,0.5737276,1,6
0.1878606,0.7879289,0.5740702,1,6
0.187444,0.7884586,0.5735471,1,6
0.188827,0.7868944,0.5743327,1,6
0.1900066,0.7863586,0.5770452,1,6
0.1899281,0.786346,0.5774456,1,6
0.1877894,0.7854429,0.5798479,1,6
0.1849681,0.7853461,0.5813002,1,6
0.1859868,0.7835966,0.5791767,1,6
0.1867625,0.7832055,0.5789007,1,6
0.1854357,0.7864312,0.5781308,1,6
0.1853154,0.7882425,0.5772778,1,6
0.1846585,0.7878436,0.5757983,1,6
0.184675,0.7881805,0.5736317,1,6
0.1870991,0.7899951,0.574121,1,6
0.1887997,0.7899708,0.5745601,1,6
0.1892318,0.7881938,0.574494,1,6
0.189033,0.7888815,0.5748589,1,6
0.1895467,0.7892587,0.574975,1,6
0.1908211,0.7883311,0.5730105,1,6
0.189907,0.7883785,0.57063,1,6
0.1882077,0.7879398,0.5718501,1,6
0.1872581,0.7880265,0.5734508,1,6
0.1869404,0.7875435,0.5733911,1,6
0.1872036,0.7860428,0.5709664,1,6
0.186639,0.7865345,0.5692065,1,6
0.1874339,0.7880364,0.5739325,1,6
0.1881675,0.7902052,0.5780243,1,6
0.1872878,0.7908295,0.5756637,1,6
0.1894016,0.7888547,0.5734397,1,6
0.191117,0.7886935,0.5736838,1,6
0.189689,0.7894068,0.5714614,1,6
0.1884131,0.7905093,0.5683232,1,6
0.1874236,0.7920248,0.5667232,1,6
0.1890117,0.7890915,0.5655302,1,6
0.1912761,0.7834578,0.568482,1,6
0.1902358,0.7810431,0.5737729,1,6
0.1898477,0.7837031,0.578674,1,6
0.1899433,0.7869141,0.5798826,1,6
0.18642,0.7866727,0.5749536,1,6
0.1826142,0.7884094,0.5734201,1,6
0.1837206,0.7913227,0.5716161,1,6
0.1887543,0.7892928,0.5722729,1,6
0.1932297,0.7869303,0.5804601,1,6
0.1939644,0.7866909,0.5777135,1,6
0.1925255,0.7862067,0.5740555,1,6
0.192949,0.787715,0.576518,1,6
0.193131,0.7899209,0.5737839,1,6
0.1905383,0.789643,0.576127,1,6
0.1876957,0.7893922,0.5761146,1,6
0.1849301,0.7899771,0.5715501,1,6
0.1833874,0.7901533,0.5716981,1,6
0.1843661,0.79037,0.570041,1,6
0.1858179,0.7893385,0.571643,1,6
0.1867552,0.7883988,0.5749781,1,6
0.1870933,0.7889008,0.57678,1,6
0.1882572,0.7878471,0.5784749,1,6
0.188689,0.7863822,0.5768564,1,6
0.1869263,0.7865961,0.577465,1,6
0.1872954,0.7870379,0.5746317,1,6
0.1880017,0.7870091,0.5703589,1,6
0.186755,0.7873153,0.5736048,1,6
0.1860066,0.7881131,0.5740911,1,6
0.1851879,0.78787,0.5722629,1,6
0.1859495,0.7871662,0.5721616,1,6
0.1868309,0.7860579,0.5723391,1,6
0.1855988,0.7853895,0.5743612,1,6
0.1864778,0.7866908,0.5753124,1,6
0.1886141,0.7855855,0.5757516,1,6
0.1907918,0.782943,0.5774678,1,6
0.1925035,0.7826088,0.5782852,1,6
0.1905747,0.785736,0.5717934,1,6
0.1895908,0.7906784,0.5639359,1,6
0.1900116,0.7885454,0.5697609,1,6
0.1865631,0.7856331,0.5753973,1,6
0.1835608,0.7887657,0.5716331,1,6
0.1844653,0.7883904,0.5743303,1,6
0.1853733,0.78846,0.5783337,1,6
0.1853355,0.7898432,0.5758955,1,6
0.1889726,0.7881132,0.5759538,1,6
0.1934659,0.7887527,0.5771856,1,6
0.1918795,0.7874099,0.5769121,1,6
0.190479,0.7846432,0.5779081,1,6
0.1911628,0.7849802,0.5769945,1,6
0.1880834,0.7842031,0.574785,1,6
0.1865362,0.7840358,0.574876,1,6
0.187919,0.7846345,0.5749337,1,6
0.1869982,0.7864046,0.5740257,1,6
0.1846181,0.7895709,0.5728755,1,6
0.1826889,0.7890093,0.5713001,1,6
0.1829369,0.7889969,0.5710069,1,6
0.1846615,0.7916531,0.5711605,1,6
0.1866504,0.7918045,0.568593,1,6
0.1899817,0.7897581,0.5666982,1,6
0.190591,0.7883138,0.5689741,1,6
0.189404,0.7899607,0.5702602,1,6
0.190531,0.7920374,0.5705496,1,6
0.1882188,0.7925206,0.5716587,1,6
0.184564,0.7932501,0.5703352,1,6
0.1848119,0.7922086,0.5711848,1,6
0.1854591,0.7911259,0.5743497,1,6
0.1861581,0.7918261,0.5760271,1,6
0.1845466,0.7919078,0.5766149,1,6
0.1824246,0.7922866,0.5724087,1,6
0.1853706,0.7917677,0.5699322,1,6
0.1897178,0.7879218,0.5741969,1,6
0.1925916,0.7852433,0.5777594,1,6
0.1910119,0.7886498,0.5779715,1,6
0.187156,0.791375,0.5747152,1,6
0.1875914,0.7873108,0.5726545,1,6
