time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003909,-0.1373,0.2156,0.0711,0.265
0.004650,-0.1373,0.2156,0.0711,0.265
0.026054,-0.1474,0.2671,-0.0098,0.305
0.027051,-0.1474,0.2671,-0.0098,0.305
0.055401,-0.2342,0.2596,0.0739,0.357
0.056231,-0.2342,0.2596,0.0739,0.357
0.063901,-0.1893,0.3045,-0.0007,0.359
0.064633,-0.1893,0.3045,-0.0007,0.359
0.089732,-0.1231,0.3353,-0.1427,0.385
0.090583,-0.1231,0.3353,-0.1427,0.385
0.102004,-0.0591,0.2987,-0.1190,0.327
0.102687,-0.0591,0.2987,-0.1190,0.327
0.128493,-0.0640,0.2195,0.0040,0.229
0.129285,-0.0640,0.2195,0.0040,0.229
0.141887,-0.0229,0.2139,-0.1837,0.283
0.143854,-0.0229,0.2139,-0.1837,0.283
0.161556,0.0254,0.2676,-0.0585,0.275
0.162430,0.0254,0.2676,-0.0585,0.275
0.195368,0.0816,0.2964,-0.1546,0.344
0.196087,0.0816,0.2964,-0.1546,0.344
0.201521,0.1497,0.2581,-0.0821,0.309
0.202195,0.1497,0.2581,-0.0821,0.309
0.221496,-0.0483,0.2490,0.0729,0.264
0.222662,-0.0483,0.2490,0.0729,0.264
0.241457,-0.1252,0.1943,-0.0459,0.236
0.243906,-0.1252,0.1943,-0.0459,0.236
0.262046,-0.1469,0.2617,0.0543,0.305
0.263200,-0.1469,0.2617,0.0543,0.305
0.289574,-0.0933,0.2748,0.0403,0.293
0.290706,-0.0933,0.2748,0.0403,0.293
0.302426,-0.1640,0.2424,0.1897,0.349
0.303896,-0.1640,0.2424,0.1897,0.349
0.321130,-0.2464,0.2857,0.1569,0.409
0.322330,-0.2464,0.2857,0.1569,0.409
0.341757,-0.2311,0.3289,0.0586,0.406
0.344126,-0.2311,0.3289,0.0586,0.406
0.361366,-0.1334,0.1954,0.0457,0.241
0.363417,-0.1334,0.1954,0.0457,0.241
0.381297,-0.0074,0.1094,-0.0549,0.123
0.382658,-0.0074,0.1094,-0.0549,0.123
0.402897,-0.0338,0.2681,-0.2004,0.336
0.404077,-0.0338,0.2681,-0.2004,0.336
0.427919,0.1299,0.5024,-0.3259,0.613
0.429403,0.1299,0.5024,-0.3259,0.613
0.441148,0.2762,0.4182,-0.4809,0.695
0.442184,0.2762,0.4182,-0.4809,0.695
0.461247,0.2966,0.1342,-0.2314,0.399
0.461945,0.2966,0.1342,-0.2314,0.399
0.483704,0.4495,-0.0607,-0.0759,0.460
0.484846,0.4495,-0.0607,-0.0759,0.460
0.500934,0.6063,-0.1657,0.1393,0.644
0.501943,0.6063,-0.1657,0.1393,0.644
0.522573,0.6122,-0.2155,-0.0146,0.649
0.523575,0.6122,-0.2155,-0.0146,0.649
0.540770,0.8255,-0.2179,0.3785,0.934
0.541740,0.8255,-0.2179,0.3785,0.934
0.560856,0.6438,0.0595,0.3296,0.726
0.561607,0.6438,0.0595,0.3296,0.726
0.593136,0.6984,0.2159,0.5488,0.914
0.595414,0.6984,0.2159,0.5488,0.914
0.617429,0.4501,0.1927,1.0051,1.118
0.618722,0.4501,0.1927,1.0051,1.118
0.620746,-0.1978,0.0415,1.3889,1.404
0.621316,-0.1978,0.0415,1.3889,1.404
0.640275,-1.0001,0.3283,1.6621,1.967
0.641412,-1.0001,0.3283,1.6621,1.967
0.663393,-1.4513,0.6981,1.6106,2.278
0.664861,-1.4513,0.6981,1.6106,2.278
0.681188,-1.5426,0.9205,1.2415,2.184
0.682457,-1.5426,0.9205,1.2415,2.184
0.700795,-1.1871,0.9962,1.0521,1.873
0.701739,-1.1871,0.9962,1.0521,1.873
0.724936,-0.0582,0.7335,0.5313,0.908
0.727918,-0.0582,0.7335,0.5313,0.908
0.740389,0.8606,-0.1935,0.7905,1.184
0.741623,0.8606,-0.1935,0.7905,1.184
0.760421,1.1096,-0.8748,0.5537,1.518
0.761393,1.1096,-0.8748,0.5537,1.518
0.780184,1.1057,-1.2900,0.4002,1.746
0.780941,1.1057,-1.2900,0.4002,1.746
0.808532,0.4892,-1.5200,0.6423,1.721
0.809806,0.4892,-1.5200,0.6423,1.721
0.821402,-0.3978,-1.7436,0.2190,1.802
0.823234,-0.3978,-1.7436,0.2190,1.802
0.847818,-1.1876,-1.9447,-0.0558,2.279
0.849114,-1.1876,-1.9447,-0.0558,2.279
0.860959,-1.5636,-2.0067,-0.4616,2.586
0.862030,-1.5636,-2.0067,-0.4616,2.586
0.881003,-1.8036,-1.5924,-1.2121,2.694
0.882584,-1.8036,-1.5924,-1.2121,2.694
0.901098,-1.9887,-1.4358,-1.3975,2.823
0.902503,-1.9887,-1.4358,-1.3975,2.823
0.920518,-1.9316,-2.1929,-0.7779,3.024
0.922015,-1.9316,-2.1929,-0.7779,3.024
0.944941,-1.7271,-3.2728,-0.5128,3.736
0.946473,-1.7271,-3.2728,-0.5128,3.736
0.961044,-1.6875,-3.4042,-0.1256,3.802
0.962546,-1.6875,-3.4042,-0.1256,3.802
0.979868,-1.9319,-2.4025,0.3875,3.107
0.980686,-1.9319,-2.4025,0.3875,3.107
1.001967,-1.5622,-0.6972,0.0598,1.712
1.002833,-1.5622,-0.6972,0.0598,1.712
1.025974,-0.5888,0.8549,-0.8958,1.371
1.027064,-0.5888,0.8549,-0.8958,1.371
1.040568,-0.2541,2.1281,-0.5049,2.202
1.043557,-0.2541,2.1281,-0.5049,2.202
1.060191,-0.3895,2.3095,-0.4257,2.380
1.062174,-0.3895,2.3095,-0.4257,2.380
1.080080,-0.3664,1.7126,0.0898,1.754
1.081271,-0.3664,1.7126,0.0898,1.754
1.103414,-0.0595,1.4524,-0.0786,1.456
1.104870,-0.0595,1.4524,-0.0786,1.456
1.128690,-0.0311,2.1100,-0.5218,2.174
1.130435,-0.0311,2.1100,-0.5218,2.174
1.140709,0.5451,3.6407,-0.3984,3.703
1.142359,0.5451,3.6407,-0.3984,3.703
1.160407,2.9585,4.3077,-0.4678,5.247
1.162855,2.9585,4.3077,-0.4678,5.247
1.179656,6.2466,2.7441,-1.2507,6.936
1.182146,6.2466,2.7441,-1.2507,6.936
1.199755,6.3917,0.5228,-0.1617,6.415
1.201079,6.3917,0.5228,-0.1617,6.415
1.226000,2.3272,0.0521,0.5296,2.387
1.227562,2.3272,0.0521,0.5296,2.387
1.247670,-1.8905,1.2119,0.1239,2.249
1.249599,-1.8905,1.2119,0.1239,2.249
1.260217,-4.3301,2.7986,-0.2407,5.161
1.261546,-4.3301,2.7986,-0.2407,5.161
1.279795,-3.3420,2.8978,-0.2686,4.432
1.281484,-3.3420,2.8978,-0.2686,4.432
1.299499,-0.6159,1.2250,-0.1288,1.377
1.300620,-0.6159,1.2250,-0.1288,1.377
1.320745,1.4349,0.6973,-0.7356,1.757
1.322798,1.4349,0.6973,-0.7356,1.757
1.346492,2.9856,1.0216,-1.1780,3.368
1.347978,2.9856,1.0216,-1.1780,3.368
1.360172,2.3345,1.4480,-1.3094,3.043
1.360956,2.3345,1.4480,-1.3094,3.043
1.379263,0.4674,1.5748,-0.5327,1.727
1.381383,0.4674,1.5748,-0.5327,1.727
1.399147,-0.7188,0.9629,0.0176,1.202
1.399912,-0.7188,0.9629,0.0176,1.202
1.422889,-1.7244,0.0722,0.3915,1.770
1.424784,-1.7244,0.0722,0.3915,1.770
1.445796,-2.6337,-0.7596,0.0833,2.742
1.447720,-2.6337,-0.7596,0.0833,2.742
1.459943,-2.7192,-1.0924,-0.2700,2.943
1.461065,-2.7192,-1.0924,-0.2700,2.943
