time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003736,0.4005,-0.0026,0.0932,0.411
0.004420,0.4005,-0.0026,0.0932,0.411
0.013658,0.3331,-0.0233,0.1987,0.389
0.014348,0.3331,-0.0233,0.1987,0.389
0.034554,0.3569,-0.0518,0.2926,0.464
0.035220,0.3569,-0.0518,0.2926,0.464
0.067258,0.4117,-0.0915,0.3120,0.525
0.068820,0.4117,-0.0915,0.3120,0.525
0.074289,0.4022,-0.0524,0.2565,0.480
0.075212,0.4022,-0.0524,0.2565,0.480
0.112379,0.3593,-0.0369,0.2135,0.420
0.113242,0.3593,-0.0369,0.2135,0.420
0.121830,0.3211,-0.0283,0.2569,0.412
0.122916,0.3211,-0.0283,0.2569,0.412
0.134508,0.3830,-0.0685,0.2931,0.487
0.135718,0.3830,-0.0685,0.2931,0.487
0.154564,0.3566,-0.0926,0.3052,0.478
0.155769,0.3566,-0.0926,0.3052,0.478
0.190233,0.3494,-0.0367,0.2637,0.439
0.190945,0.3494,-0.0367,0.2637,0.439
0.198049,0.3881,-0.0110,0.2384,0.456
0.198811,0.3881,-0.0110,0.2384,0.456
0.213692,0.3853,-0.0168,0.2263,0.447
0.214807,0.3853,-0.0168,0.2263,0.447
0.233775,0.3504,-0.0308,0.2416,0.427
0.234827,0.3504,-0.0308,0.2416,0.427
0.254046,0.3380,-0.0392,0.3278,0.472
0.255138,0.3380,-0.0392,0.3278,0.472
0.298420,0.3534,-0.0782,0.3390,0.496
0.299258,0.3534,-0.0782,0.3390,0.496
0.299736,0.3589,-0.0841,0.2533,0.447
0.300349,0.3589,-0.0841,0.2533,0.447
0.314107,0.3625,-0.0509,0.2509,0.444
0.315408,0.3625,-0.0509,0.2509,0.444
0.333262,0.3653,-0.0426,0.2284,0.433
0.334590,0.3653,-0.0426,0.2284,0.433
0.353366,0.3655,-0.0671,0.2443,0.445
0.354738,0.3655,-0.0671,0.2443,0.445
0.373584,0.3821,-0.0710,0.2501,0.462
0.375106,0.3821,-0.0710,0.2501,0.462
0.393285,0.3794,-0.0486,0.2598,0.462
0.394704,0.3794,-0.0486,0.2598,0.462
0.420347,0.3591,-0.0250,0.2610,0.445
0.421904,0.3591,-0.0250,0.2610,0.445
0.433444,0.3838,-0.0459,0.2873,0.482
0.434505,0.3838,-0.0459,0.2873,0.482
0.453225,0.3739,-0.0814,0.2912,0.481
0.454035,0.3739,-0.0814,0.2912,0.481
0.473663,0.3548,-0.0300,0.2414,0.430
0.475542,0.3548,-0.0300,0.2414,0.430
0.493388,0.3644,-0.0203,0.1921,0.412
0.494986,0.3644,-0.0203,0.1921,0.412
0.513007,0.3899,-0.0212,0.2170,0.447
0.514373,0.3899,-0.0212,0.2170,0.447
0.533303,0.3848,-0.0675,0.2913,0.487
0.534393,0.3848,-0.0675,0.2913,0.487
0.554048,0.3796,-0.0671,0.2610,0.466
0.554920,0.3796,-0.0671,0.2610,0.466
0.575362,0.3837,-0.0579,0.2596,0.467
0.577355,0.3837,-0.0579,0.2596,0.467
0.592904,0.3537,-0.0781,0.2764,0.456
0.593808,0.3537,-0.0781,0.2764,0.456
0.613199,0.3532,-0.0342,0.2582,0.439
0.614691,0.3532,-0.0342,0.2582,0.439
0.632964,0.3925,-0.0306,0.2459,0.464
0.634398,0.3925,-0.0306,0.2459,0.464
0.652863,0.3686,-0.0336,0.2596,0.452
0.653627,0.3686,-0.0336,0.2596,0.452
0.678209,0.3777,-0.0430,0.2595,0.460
0.680614,0.3777,-0.0430,0.2595,0.460
0.692864,0.3590,-0.0277,0.2810,0.457
0.693828,0.3590,-0.0277,0.2810,0.457
0.713189,0.3716,-0.0162,0.3061,0.482
0.714467,0.3716,-0.0162,0.3061,0.482
0.733035,0.3701,-0.0068,0.2743,0.461
0.734469,0.3701,-0.0068,0.2743,0.461
0.753272,0.3940,-0.0065,0.2811,0.484
0.754200,0.3940,-0.0065,0.2811,0.484
0.777734,0.3766,-0.0157,0.2693,0.463
0.779245,0.3766,-0.0157,0.2693,0.463
0.792116,0.3717,-0.0195,0.2619,0.455
0.793444,0.3717,-0.0195,0.2619,0.455
0.816011,0.3843,-0.0084,0.2199,0.443
0.817503,0.3843,-0.0084,0.2199,0.443
0.834174,0.3745,-0.0244,0.2265,0.438
0.835948,0.3745,-0.0244,0.2265,0.438
0.853072,0.3787,-0.0213,0.2204,0.439
0.854637,0.3787,-0.0213,0.2204,0.439
0.875948,0.3703,-0.0170,0.2269,0.435
0.877953,0.3703,-0.0170,0.2269,0.435
0.898663,0.3709,-0.0087,0.2493,0.447
0.900407,0.3709,-0.0087,0.2493,0.447
0.912855,0.3866,-0.0126,0.2466,0.459
0.913614,0.3866,-0.0126,0.2466,0.459
0.932555,0.3884,-0.0349,0.2288,0.452
0.933793,0.3884,-0.0349,0.2288,0.452
0.952775,0.4034,-0.0135,0.2699,0.486
0.953629,0.4034,-0.0135,0.2699,0.486
0.974339,0.3905,0.0025,0.2468,0.462
0.975797,0.3905,0.0025,0.2468,0.462
1.002361,0.3685,-0.0130,0.2746,0.460
1.003944,0.3685,-0.0130,0.2746,0.460
1.012774,0.3315,-0.0017,0.2636,0.424
1.013632,0.3315,-0.0017,0.2636,0.424
1.032389,0.3498,-0.0234,0.2902,0.455
1.033898,0.3498,-0.0234,0.2902,0.455
1.052217,0.4040,0.0139,0.2549,0.478
1.053520,0.4040,0.0139,0.2549,0.478
1.073693,0.3793,0.0581,0.2864,0.479
1.075797,0.3793,0.0581,0.2864,0.479
1.095058,0.3879,0.0712,0.2324,0.458
1.098103,0.3879,0.0712,0.2324,0.458
1.113187,0.3915,0.0448,0.2314,0.457
1.114651,0.3915,0.0448,0.2314,0.457
1.131392,0.3448,-0.0307,0.3005,0.458
1.133576,0.3448,-0.0307,0.3005,0.458
1.151429,0.3793,-0.0336,0.2971,0.483
1.152341,0.3793,-0.0336,0.2971,0.483
1.171433,0.3634,-0.0371,0.2541,0.445
1.173212,0.3634,-0.0371,0.2541,0.445
1.191235,0.3639,-0.0162,0.2428,0.438
1.192992,0.3639,-0.0162,0.2428,0.438
1.211755,0.3944,0.0063,0.2001,0.442
1.213274,0.3944,0.0063,0.2001,0.442
1.231274,0.4121,0.0018,0.2213,0.468
1.232750,0.4121,0.0018,0.2213,0.468
1.251681,0.3895,0.0084,0.2458,0.461
1.252586,0.3895,0.0084,0.2458,0.461
1.271723,0.3644,0.0178,0.2446,0.439
1.273175,0.3644,0.0178,0.2446,0.439
1.291279,0.3653,0.0596,0.2314,0.437
1.292922,0.3653,0.0596,0.2314,0.437
1.311481,0.3688,0.0328,0.2276,0.435
1.313460,0.3688,0.0328,0.2276,0.435
1.332092,0.3875,0.0113,0.2629,0.468
1.333448,0.3875,0.0113,0.2629,0.468
1.350899,0.3692,0.0097,0.1914,0.416
1.352424,0.3692,0.0097,0.1914,0.416
1.370653,0.3873,0.0373,0.1708,0.425
1.371757,0.3873,0.0373,0.1708,0.425
1.390977,0.4035,0.0313,0.2153,0.458
1.392114,0.4035,0.0313,0.2153,0.458
1.411383,0.3750,-0.0007,0.2235,0.437
1.413203,0.3750,-0.0007,0.2235,0.437
1.431011,0.3827,0.0008,0.2285,0.446
1.433155,0.3827,0.0008,0.2285,0.446
1.450885,0.3600,-0.0156,0.2347,0.430
1.452051,0.3600,-0.0156,0.2347,0.430
1.471081,0.3806,0.0175,0.2604,0.461
1.472568,0.3806,0.0175,0.2604,0.461
1.496445,0.3781,0.0006,0.2336,0.444
1.497756,0.3781,0.0006,0.2336,0.444
1.510767,0.3601,0.0179,0.2356,0.431
1.512921,0.3601,0.0179,0.2356,0.431
1.530910,0.3727,-0.0099,0.2300,0.438
1.532190,0.3727,-0.0099,0.2300,0.438
1.551348,0.3617,-0.0030,0.2477,0.438
1.552471,0.3617,-0.0030,0.2477,0.438
1.571018,0.3535,0.0211,0.2439,0.430
1.572366,0.3535,0.0211,0.2439,0.430
1.599357,0.3331,0.0120,0.2335,0.407
1.600720,0.3331,0.0120,0.2335,0.407
1.611105,0.3368,0.0112,0.2399,0.414
1.612816,0.3368,0.0112,0.2399,0.414
1.631286,0.3597,0.0118,0.2751,0.453
1.632804,0.3597,0.0118,0.2751,0.453
1.651041,0.3492,-0.0011,0.2753,0.445
1.652135,0.3492,-0.0011,0.2753,0.445
1.672893,0.3565,-0.0077,0.2404,0.430
1.674313,0.3565,-0.0077,0.2404,0.430
1.700239,0.3671,-0.0054,0.2202,0.428
1.701368,0.3671,-0.0054,0.2202,0.428
