time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003794,-0.0779,0.1259,0.2019,0.250
0.004627,-0.0779,0.1259,0.2019,0.250
0.056595,0.0904,0.2104,0.2039,0.307
0.058261,0.0904,0.2104,0.2039,0.307
0.058801,0.0481,0.1803,0.1390,0.233
0.059101,0.0481,0.1803,0.1390,0.233
0.065240,0.0016,0.1381,0.1597,0.211
0.067458,0.0016,0.1381,0.1597,0.211
0.083439,-0.0205,0.1553,0.1402,0.210
0.084709,-0.0205,0.1553,0.1402,0.210
0.107242,-0.0066,0.2118,0.0547,0.219
0.108216,-0.0066,0.2118,0.0547,0.219
0.125143,-0.0155,0.1750,0.1477,0.230
0.125882,-0.0155,0.1750,0.1477,0.230
0.143208,-0.0784,0.1621,0.1859,0.259
0.144525,-0.0784,0.1621,0.1859,0.259
0.163546,-0.0448,0.2083,0.1400,0.255
0.165878,-0.0448,0.2083,0.1400,0.255
0.182937,0.0062,0.1210,0.0864,0.149
0.183922,0.0062,0.1210,0.0864,0.149
0.203641,-0.2121,0.1742,0.0343,0.277
0.205603,-0.2121,0.1742,0.0343,0.277
0.223035,-0.1767,0.2026,0.1294,0.298
0.223858,-0.1767,0.2026,0.1294,0.298
0.243216,-0.1266,0.2730,-0.0126,0.301
0.244455,-0.1266,0.2730,-0.0126,0.301
0.264233,-0.0901,0.2344,0.0118,0.251
0.265884,-0.0901,0.2344,0.0118,0.251
0.282848,-0.0990,0.1370,-0.0061,0.169
0.283701,-0.0990,0.1370,-0.0061,0.169
0.303159,-0.1164,0.1381,0.0570,0.189
0.306147,-0.1164,0.1381,0.0570,0.189
0.327827,-0.0312,0.2680,-0.1330,0.301
0.329608,-0.0312,0.2680,-0.1330,0.301
0.342774,-0.0163,0.1024,-0.0458,0.113
0.343535,-0.0163,0.1024,-0.0458,0.113
0.362436,0.0924,0.1097,-0.1422,0.202
0.364163,0.0924,0.1097,-0.1422,0.202
0.382683,0.0178,0.2503,-0.0878,0.266
0.383581,0.0178,0.2503,-0.0878,0.266
0.411831,-0.0237,0.1892,-0.0731,0.204
0.413433,-0.0237,0.1892,-0.0731,0.204
0.423011,-0.0666,0.1508,-0.1443,0.219
0.423746,-0.0666,0.1508,-0.1443,0.219
0.442214,-0.0563,0.1690,-0.1094,0.209
0.443291,-0.0563,0.1690,-0.1094,0.209
0.462184,-0.0525,0.2807,-0.0615,0.292
0.463983,-0.0525,0.2807,-0.0615,0.292
0.482690,-0.0526,0.2921,-0.1050,0.315
0.484016,-0.0526,0.2921,-0.1050,0.315
0.507175,0.0305,0.2288,-0.0890,0.247
0.508661,0.0305,0.2288,-0.0890,0.247
0.522639,0.0166,0.3478,-0.0794,0.357
0.524347,0.0166,0.3478,-0.0794,0.357
0.542239,0.1786,0.1278,-0.1344,0.258
0.543659,0.1786,0.1278,-0.1344,0.258
0.561903,0.0867,-0.1032,0.0800,0.157
0.563410,0.0867,-0.1032,0.0800,0.157
0.582201,0.0133,0.0807,0.0896,0.121
0.582844,0.0133,0.0807,0.0896,0.121
0.609788,-0.0992,0.5212,0.0928,0.539
0.611025,-0.0992,0.5212,0.0928,0.539
0.626475,-0.0724,0.8066,-0.0463,0.811
0.628140,-0.0724,0.8066,-0.0463,0.811
0.642121,0.1806,0.6512,-0.0850,0.681
0.643536,0.1806,0.6512,-0.0850,0.681
0.662231,0.4810,0.3821,0.1031,0.623
0.663900,0.4810,0.3821,0.1031,0.623
