time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003686,-0.4577,0.0588,-0.0388,0.463
0.004227,-0.4577,0.0588,-0.0388,0.463
0.013105,-0.6423,-0.0730,-0.1223,0.658
0.014012,-0.6423,-0.0730,-0.1223,0.658
0.035677,-0.9899,-0.2086,-0.0956,1.016
0.036511,-0.9899,-0.2086,-0.0956,1.016
0.064182,-1.1366,-0.2879,0.0643,1.174
0.065175,-1.1366,-0.2879,0.0643,1.174
0.073547,-0.8630,-0.2673,-0.0453,0.905
0.074392,-0.8630,-0.2673,-0.0453,0.905
0.093029,-0.6859,-0.3884,-0.0435,0.789
0.094215,-0.6859,-0.3884,-0.0435,0.789
0.112694,-0.4172,-0.1432,0.0699,0.447
0.113971,-0.4172,-0.1432,0.0699,0.447
0.132971,0.1807,0.3691,0.2367,0.474
0.134083,0.1807,0.3691,0.2367,0.474
0.154238,0.6441,0.8937,0.4465,1.189
0.155385,0.6441,0.8937,0.4465,1.189
0.173834,1.0920,0.8592,0.9534,1.685
0.175033,1.0920,0.8592,0.9534,1.685
0.192467,1.6983,0.4580,0.7909,1.929
0.194021,1.6983,0.4580,0.7909,1.929
0.212388,1.7914,0.5383,0.8572,2.058
0.213726,1.7914,0.5383,0.8572,2.058
0.232330,1.4362,0.4583,1.3184,2.003
0.233577,1.4362,0.4583,1.3184,2.003
0.253761,0.6505,0.1423,0.9589,1.167
0.254518,0.6505,0.1423,0.9589,1.167
0.272926,-0.0529,-0.0150,0.8305,0.832
0.274055,-0.0529,-0.0150,0.8305,0.832
0.293432,-0.3204,-0.2735,0.8852,0.980
0.294521,-0.3204,-0.2735,0.8852,0.980
0.312020,-0.0465,-0.3786,0.9170,0.993
0.313216,-0.0465,-0.3786,0.9170,0.993
0.332016,0.3529,-0.3990,0.8170,0.975
0.332798,0.3529,-0.3990,0.8170,0.975
0.352954,0.5687,-0.6205,0.6555,1.067
0.355270,0.5687,-0.6205,0.6555,1.067
0.372101,0.4202,-0.9288,0.2409,1.047
0.373529,0.4202,-0.9288,0.2409,1.047
0.392125,0.0670,-0.7756,-0.0558,0.781
0.393469,0.0670,-0.7756,-0.0558,0.781
0.412841,-0.0705,-0.2822,-0.2250,0.368
0.414000,-0.0705,-0.2822,-0.2250,0.368
0.431879,-0.1189,0.3561,-0.1338,0.399
0.432468,-0.1189,0.3561,-0.1338,0.399
0.452597,-0.0023,0.3708,0.0474,0.374
0.453504,-0.0023,0.3708,0.0474,0.374
0.472066,0.3690,-0.2316,-0.5016,0.664
0.473631,0.3690,-0.2316,-0.5016,0.664
0.491949,0.5423,-0.3505,-1.3346,1.483
0.493439,0.5423,-0.3505,-1.3346,1.483
0.511907,0.2632,0.2968,-0.9534,1.033
0.512902,0.2632,0.2968,-0.9534,1.033
0.533170,0.2692,0.2170,-0.4286,0.551
0.534087,0.2692,0.2170,-0.4286,0.551
0.551988,0.0479,-0.2772,-1.1279,1.162
0.553255,0.0479,-0.2772,-1.1279,1.162
0.571702,-0.2708,-0.3682,-0.3978,0.606
0.572983,-0.2708,-0.3682,-0.3978,0.606
0.591706,-0.0560,-0.1520,0.8405,0.856
0.592871,-0.0560,-0.1520,0.8405,0.856
0.611755,0.4332,0.1685,1.3823,1.458
0.613725,0.4332,0.1685,1.3823,1.458
0.632751,1.3098,0.2439,0.9982,1.665
0.634627,1.3098,0.2439,0.9982,1.665
0.651943,1.9356,0.1752,0.3004,1.967
0.653255,1.9356,0.1752,0.3004,1.967
0.671319,1.4808,0.3613,0.1414,1.531
0.672659,1.4808,0.3613,0.1414,1.531
0.692128,0.4994,0.2672,-0.4089,0.699
0.694048,0.4994,0.2672,-0.4089,0.699
0.711880,-0.0553,0.0036,-0.7116,0.714
0.713263,-0.0553,0.0036,-0.7116,0.714
0.732084,-0.4672,-0.5465,-0.7766,1.058
0.733195,-0.4672,-0.5465,-0.7766,1.058
0.751954,-0.7447,-1.4023,-1.1640,1.969
0.753991,-0.7447,-1.4023,-1.1640,1.969
0.773112,-1.4374,-1.8068,-1.2431,2.622
0.774591,-1.4374,-1.8068,-1.2431,2.622
0.791639,-1.7271,-2.0494,-0.8084,2.799
0.794385,-1.7271,-2.0494,-0.8084,2.799
0.811751,-1.0707,-2.0629,-0.0091,2.324
0.813830,-1.0707,-2.0629,-0.0091,2.324
0.831998,-0.0472,-2.5053,-0.2630,2.519
0.833672,-0.0472,-2.5053,-0.2630,2.519
0.851762,0.7578,-3.1534,-1.3324,3.506
0.853440,0.7578,-3.1534,-1.3324,3.506
0.871356,1.3574,-3.9544,-0.8004,4.257
0.873215,1.3574,-3.9544,-0.8004,4.257
0.891234,1.3746,-4.4305,0.0178,4.639
0.893795,1.3746,-4.4305,0.0178,4.639
0.912710,0.8339,-3.9649,0.3391,4.066
0.915237,0.8339,-3.9649,0.3391,4.066
0.931936,1.4317,-3.3335,-1.4604,3.911
0.933181,1.4317,-3.3335,-1.4604,3.911
0.951031,0.8538,-2.0909,-2.4710,3.348
0.952557,0.8538,-2.0909,-2.4710,3.348
0.971183,-1.0960,-0.6408,-2.6525,2.941
0.973022,-1.0960,-0.6408,-2.6525,2.941
0.990794,-3.3589,2.7691,-3.4683,5.566
0.992292,-3.3589,2.7691,-3.4683,5.566
1.012154,-4.5753,5.6555,-4.2842,8.442
1.014597,-4.5753,5.6555,-4.2842,8.442
1.030630,-3.2368,6.4988,-2.7431,7.761
1.031905,-3.2368,6.4988,-2.7431,7.761
1.052209,-1.1473,14.8172,-5.5625,15.868
1.054675,-1.1473,14.8172,-5.5625,15.868
1.072591,-4.3663,8.2301,-1.5572,9.446
1.074051,-4.3663,8.2301,-1.5572,9.446
1.100141,-0.3314,1.1203,-0.0465,1.169
1.101500,-0.3314,1.1203,-0.0465,1.169
1.110521,1.1677,3.0478,3.5157,4.797
1.112156,1.1677,3.0478,3.5157,4.797
1.130321,0.9926,5.3384,4.3312,6.946
1.131356,0.9926,5.3384,4.3312,6.946
1.150198,1.0234,3.2904,1.6875,3.837
1.151355,1.0234,3.2904,1.6875,3.837
1.170228,0.7208,0.2028,0.2261,0.782
1.171132,0.7208,0.2028,0.2261,0.782
1.190477,0.5227,-1.8122,0.1275,1.890
1.191547,0.5227,-1.8122,0.1275,1.890
1.210298,0.7236,-3.0061,0.2189,3.100
1.211509,0.7236,-3.0061,0.2189,3.100
1.230084,0.9226,-3.4256,0.7316,3.622
1.230959,0.9226,-3.4256,0.7316,3.622
1.250194,1.5420,-3.8471,0.6672,4.198
