time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004788,-0.0627,-0.0986,0.1678,0.204
0.005586,-0.0627,-0.0986,0.1678,0.204
0.019166,-0.0327,0.0372,0.0840,0.098
0.020749,-0.0327,0.0372,0.0840,0.098
0.037593,-0.1647,0.0618,-0.0710,0.190
0.039052,-0.1647,0.0618,-0.0710,0.190
0.071381,-0.0128,0.0987,-0.0412,0.108
0.072501,-0.0128,0.0987,-0.0412,0.108
0.078174,0.0093,0.0516,0.0124,0.054
0.079581,0.0093,0.0516,0.0124,0.054
0.102108,0.0458,0.1093,-0.0250,0.121
0.103163,0.0458,0.1093,-0.0250,0.121
0.118364,-0.0061,0.0513,-0.0144,0.054
0.119726,-0.0061,0.0513,-0.0144,0.054
0.137661,-0.0564,0.0391,-0.0130,0.070
0.139144,-0.0564,0.0391,-0.0130,0.070
0.158472,-0.1389,-0.0341,-0.0211,0.145
0.159438,-0.1389,-0.0341,-0.0211,0.145
0.177614,-0.0946,0.0100,0.0229,0.098
0.179437,-0.0946,0.0100,0.0229,0.098
0.197601,0.0087,-0.0041,0.0204,0.023
0.198748,0.0087,-0.0041,0.0204,0.023
0.217696,-0.0072,-0.0498,0.0051,0.051
0.219965,-0.0072,-0.0498,0.0051,0.051
0.237913,0.1021,0.0238,0.0498,0.116
0.239438,0.1021,0.0238,0.0498,0.116
0.267822,-0.0065,0.0060,0.0102,0.013
0.268993,-0.0065,0.0060,0.0102,0.013
0.277570,-0.1122,-0.0118,-0.0020,0.113
0.278739,-0.1122,-0.0118,-0.0020,0.113
0.296945,-0.0685,0.0407,0.0001,0.080
0.298207,-0.0685,0.0407,0.0001,0.080
0.317752,-0.0213,0.0458,-0.0234,0.056
0.320150,-0.0213,0.0458,-0.0234,0.056
0.340341,-0.0214,0.0402,0.0166,0.049
0.341887,-0.0214,0.0402,0.0166,0.049
0.373185,-0.0602,0.0070,0.0382,0.072
0.374569,-0.0602,0.0070,0.0382,0.072
0.376875,-0.0577,-0.0165,-0.0178,0.063
0.377501,-0.0577,-0.0165,-0.0178,0.063
0.397213,-0.0500,-0.0607,-0.0066,0.079
0.398231,-0.0500,-0.0607,-0.0066,0.079
0.416785,-0.0436,-0.0857,0.0367,0.103
0.418726,-0.0436,-0.0857,0.0367,0.103
0.437114,-0.0098,-0.0564,-0.0032,0.057
0.438215,-0.0098,-0.0564,-0.0032,0.057
0.457029,-0.0102,-0.1032,0.0434,0.112
0.458582,-0.0102,-0.1032,0.0434,0.112
0.487658,-0.0563,-0.1381,0.0690,0.164
0.489338,-0.0563,-0.1381,0.0690,0.164
0.497239,-0.0239,-0.0231,0.0003,0.033
0.498442,-0.0239,-0.0231,0.0003,0.033
0.516893,-0.1808,0.0845,-0.0496,0.206
0.520494,-0.1808,0.0845,-0.0496,0.206
0.537050,-0.1971,-0.0898,0.0827,0.232
0.537797,-0.1971,-0.0898,0.0827,0.232
0.556144,-0.0527,0.0868,-0.0646,0.120
0.557458,-0.0527,0.0868,-0.0646,0.120
0.577091,-0.2949,0.1816,-0.1138,0.365
0.578496,-0.2949,0.1816,-0.1138,0.365
0.607861,-0.5296,0.3836,-0.0617,0.657
0.609345,-0.5296,0.3836,-0.0617,0.657
0.616768,-0.4015,-0.3383,0.0848,0.532
0.618347,-0.4015,-0.3383,0.0848,0.532
