time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002135,0.3262,0.1920,0.0687,0.385
0.002748,0.3262,0.1920,0.0687,0.385
0.007656,-0.0902,0.3921,-0.3598,0.540
0.008374,-0.0902,0.3921,-0.3598,0.540
0.057153,-0.6777,0.1993,0.1155,0.716
0.057966,-0.6777,0.1993,0.1155,0.716
0.058378,-0.9863,0.0038,0.4466,1.083
0.058651,-0.9863,0.0038,0.4466,1.083
0.067202,-0.8451,-0.2907,0.6785,1.122
0.068466,-0.8451,-0.2907,0.6785,1.122
0.086542,-0.7179,-0.3473,0.4431,0.912
0.087387,-0.7179,-0.3473,0.4431,0.912
0.108454,-0.3926,-0.1902,0.5786,0.725
0.109531,-0.3926,-0.1902,0.5786,0.725
0.128409,0.1619,0.1926,0.9850,1.017
0.129275,0.1619,0.1926,0.9850,1.017
0.148998,0.7405,1.0455,1.1193,1.701
0.149832,0.7405,1.0455,1.1193,1.701
0.173695,1.0136,1.0905,1.4755,2.096
0.174553,1.0136,1.0905,1.4755,2.096
0.187886,0.8274,0.4813,1.2915,1.608
0.189376,0.8274,0.4813,1.2915,1.608
0.206678,0.8550,0.3981,1.1805,1.511
0.207393,0.8550,0.3981,1.1805,1.511
0.228224,0.6882,0.4863,0.9569,1.275
0.229588,0.6882,0.4863,0.9569,1.275
0.246683,0.1759,0.2027,0.7495,0.796
0.247346,0.1759,0.2027,0.7495,0.796
0.267207,-0.3266,-0.0276,0.7472,0.816
0.268129,-0.3266,-0.0276,0.7472,0.816
0.286947,-0.5558,-0.2042,0.9425,1.113
0.288730,-0.5558,-0.2042,0.9425,1.113
0.306359,-0.4540,-0.2760,0.7869,0.949
0.307382,-0.4540,-0.2760,0.7869,0.949
0.326539,-0.3660,-0.1988,0.6269,0.753
0.327494,-0.3660,-0.1988,0.6269,0.753
0.346326,-0.5703,0.1013,0.7169,0.922
0.347278,-0.5703,0.1013,0.7169,0.922
0.366620,-0.5503,0.4180,0.8893,1.126
0.367782,-0.5503,0.4180,0.8893,1.126
0.386901,-0.2145,0.2816,0.6075,0.703
0.388179,-0.2145,0.2816,0.6075,0.703
0.406810,0.1657,-0.0208,0.6534,0.674
0.407933,0.1657,-0.0208,0.6534,0.674
0.436800,0.6319,-0.4655,0.6116,0.995
0.437787,0.6319,-0.4655,0.6116,0.995
0.447248,0.5911,-0.8652,0.4308,1.133
0.448413,0.5911,-0.8652,0.4308,1.133
0.466341,0.3278,-0.9321,0.1183,0.995
0.467674,0.3278,-0.9321,0.1183,0.995
0.486203,0.3341,-1.1624,0.3064,1.248
0.487465,0.3341,-1.1624,0.3064,1.248
0.508078,0.2682,-1.2799,0.2553,1.332
0.509553,0.2682,-1.2799,0.2553,1.332
0.528217,-0.0112,-1.2102,0.2897,1.244
0.529639,-0.0112,-1.2102,0.2897,1.244
0.546380,-0.2329,-1.2373,0.4232,1.328
0.547340,-0.2329,-1.2373,0.4232,1.328
0.566823,-0.4372,-1.2562,0.4640,1.409
0.567814,-0.4372,-1.2562,0.4640,1.409
0.587095,-0.3947,-0.7508,0.5359,1.003
0.588322,-0.3947,-0.7508,0.5359,1.003
0.605620,-0.2144,-0.2437,0.3189,0.455
0.606785,-0.2144,-0.2437,0.3189,0.455
0.625844,-0.4929,0.2580,0.0139,0.557
0.627140,-0.4929,0.2580,0.0139,0.557
0.645704,-1.0549,-0.1323,-0.0919,1.067
0.646626,-1.0549,-0.1323,-0.0919,1.067
0.666280,-1.2818,0.3486,-1.1933,1.786
0.667376,-1.2818,0.3486,-1.1933,1.786
0.685556,-1.4520,2.3856,-1.3933,3.121
0.686646,-1.4520,2.3856,-1.3933,3.121
0.705203,-0.1731,3.2105,-1.0303,3.376
0.705942,-0.1731,3.2105,-1.0303,3.376
0.725341,1.0873,2.0170,-0.2107,2.301
0.726338,1.0873,2.0170,-0.2107,2.301
0.745549,0.5026,0.7563,-0.7975,1.209
0.746686,0.5026,0.7563,-0.7975,1.209
0.772371,-1.7953,3.2929,-1.4930,4.037
0.773770,-1.7953,3.2929,-1.4930,4.037
0.785982,-3.7217,6.3573,-0.8565,7.416
0.788242,-3.7217,6.3573,-0.8565,7.416
0.805723,-3.5925,6.1542,-0.6975,7.160
0.806922,-3.5925,6.1542,-0.6975,7.160
0.826294,-2.8441,4.3111,-1.4425,5.362
0.827594,-2.8441,4.3111,-1.4425,5.362
