time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004133,0.3308,0.1833,-0.0376,0.380
0.004802,0.3308,0.1833,-0.0376,0.380
0.013193,0.3414,0.2333,-0.0698,0.419
0.014302,0.3414,0.2333,-0.0698,0.419
0.030718,0.2942,0.2043,-0.1414,0.385
0.032064,0.2942,0.2043,-0.1414,0.385
0.061043,0.3299,0.2130,-0.1079,0.407
0.062155,0.3299,0.2130,-0.1079,0.407
0.073088,0.3664,0.2600,-0.2705,0.524
0.074027,0.3664,0.2600,-0.2705,0.524
0.110861,0.3140,0.2931,-0.3176,0.534
0.112042,0.3140,0.2931,-0.3176,0.534
0.112545,-0.0816,0.2244,-0.2913,0.377
0.112961,-0.0816,0.2244,-0.2913,0.377
0.131526,-0.4952,0.1508,-0.1174,0.531
0.132530,-0.4952,0.1508,-0.1174,0.531
0.151503,-0.8973,-0.0273,0.0766,0.901
0.152807,-0.8973,-0.0273,0.0766,0.901
0.173360,-0.7716,-0.6065,0.4263,1.070
0.174136,-0.7716,-0.6065,0.4263,1.070
0.190510,-0.4353,-1.1744,0.8190,1.496
0.192475,-0.4353,-1.1744,0.8190,1.496
0.210448,-0.0334,-1.0239,1.0398,1.460
0.211793,-0.0334,-1.0239,1.0398,1.460
0.229953,0.6397,0.1867,1.2419,1.409
0.230802,0.6397,0.1867,1.2419,1.409
0.251745,1.1605,1.9495,1.2277,2.580
0.252661,1.1605,1.9495,1.2277,2.580
0.286362,1.9422,2.0622,1.2900,3.113
0.288241,1.9422,2.0622,1.2900,3.113
0.295784,2.2276,1.2663,1.1351,2.803
0.297833,2.2276,1.2663,1.1351,2.803
0.309786,1.5950,0.2733,2.1223,2.669
0.311098,1.5950,0.2733,2.1223,2.669
0.329841,0.4160,0.1842,1.6523,1.714
0.331543,0.4160,0.1842,1.6523,1.714
0.350065,-0.6774,0.1220,1.2258,1.406
0.355570,-0.6774,0.1220,1.2258,1.406
0.375501,-1.6041,-0.4694,0.8780,1.888
0.377223,-1.6041,-0.4694,0.8780,1.888
0.390053,-1.6360,-1.0322,0.9523,2.156
0.391905,-1.6360,-1.0322,0.9523,2.156
0.409550,-1.0139,-1.2139,1.0916,1.922
0.412397,-1.0139,-1.2139,1.0916,1.922
0.428732,-0.4677,-1.0615,0.9158,1.478
0.430048,-0.4677,-1.0615,0.9158,1.478
0.451557,-0.2067,-0.9658,1.1692,1.531
0.453018,-0.2067,-0.9658,1.1692,1.531
0.469039,0.1259,-0.6486,1.0237,1.218
0.470797,0.1259,-0.6486,1.0237,1.218
0.488804,-0.1302,-0.2230,0.5432,0.601
0.490074,-0.1302,-0.2230,0.5432,0.601
0.509094,-0.3596,-0.2437,0.3539,0.560
0.510662,-0.3596,-0.2437,0.3539,0.560
0.529211,-0.4821,-0.7607,0.5370,1.049
0.530389,-0.4821,-0.7607,0.5370,1.049
0.548852,-0.7820,-0.7114,0.1542,1.068
0.551455,-0.7820,-0.7114,0.1542,1.068
0.575884,-0.7048,-0.4450,-0.0206,0.834
0.577785,-0.7048,-0.4450,-0.0206,0.834
0.597766,0.1425,-0.2292,0.2568,0.373
0.598956,0.1425,-0.2292,0.2568,0.373
0.608671,1.6965,-0.1933,0.1431,1.713
0.610360,1.6965,-0.1933,0.1431,1.713
0.628533,2.2980,-0.1857,-0.3008,2.325
0.630713,2.2980,-0.1857,-0.3008,2.325
0.648677,1.6545,0.1071,-0.2068,1.671
0.649700,1.6545,0.1071,-0.2068,1.671
0.674582,0.8368,0.6960,0.0220,1.089
0.676328,0.8368,0.6960,0.0220,1.089
0.688786,0.3185,1.0036,0.3409,1.107
0.689686,0.3185,1.0036,0.3409,1.107
0.708505,0.1479,1.1264,0.7500,1.361
0.710460,0.1479,1.1264,0.7500,1.361
0.728264,0.4015,0.9555,1.3205,1.679
0.729845,0.4015,0.9555,1.3205,1.679
0.748580,1.5598,0.7479,1.8186,2.510
0.749609,1.5598,0.7479,1.8186,2.510
0.772225,1.4046,1.9358,-0.7165,2.497
0.773818,1.4046,1.9358,-0.7165,2.497
0.788385,-2.3459,7.1217,-2.5019,7.905
0.789623,-2.3459,7.1217,-2.5019,7.905
0.808313,-4.6482,3.8298,-0.3496,6.033
0.810709,-4.6482,3.8298,-0.3496,6.033
0.828821,-3.4746,0.2207,-1.2366,3.695
0.830259,-3.4746,0.2207,-1.2366,3.695
0.848909,-2.1073,0.3906,0.1845,2.151
0.850491,-2.1073,0.3906,0.1845,2.151
0.868316,-0.8774,-0.9156,-1.0037,1.617
0.869985,-0.8774,-0.9156,-1.0037,1.617
0.898327,-0.6565,-1.0840,-2.3191,2.643
0.899890,-0.6565,-1.0840,-2.3191,2.643
0.908824,-1.0373,-0.2601,-2.9279,3.117
0.910418,-1.0373,-0.2601,-2.9279,3.117
0.928127,-1.4526,0.4850,-2.7233,3.124
0.930128,-1.4526,0.4850,-2.7233,3.124
0.948483,-1.9034,0.5541,-1.6283,2.565
0.949660,-1.9034,0.5541,-1.6283,2.565
0.971057,-1.9718,-0.0865,-0.6864,2.090
0.973598,-1.9718,-0.0865,-0.6864,2.090
0.994828,-1.5281,-0.2669,0.4897,1.627
0.997162,-1.5281,-0.2669,0.4897,1.627
1.009725,-0.8702,-0.1169,0.6776,1.109
1.010663,-0.8702,-0.1169,0.6776,1.109
1.028109,0.3073,-0.3978,0.3035,0.587
1.029713,0.3073,-0.3978,0.3035,0.587
1.047744,1.3634,-0.6924,-0.1670,1.538
1.048390,1.3634,-0.6924,-0.1670,1.538
1.071956,2.0049,-0.7608,-0.4079,2.183
1.073621,2.0049,-0.7608,-0.4079,2.183
1.096287,2.1604,-1.0865,-0.6996,2.517
1.098358,2.1604,-1.0865,-0.6996,2.517
1.109198,1.9567,-0.8103,-0.6811,2.225
1.110295,1.9567,-0.8103,-0.6811,2.225
1.128329,1.7589,-0.4178,-0.3380,1.839
1.129585,1.7589,-0.4178,-0.3380,1.839
1.148058,1.4704,-0.0717,0.0249,1.472
1.148923,1.4704,-0.0717,0.0249,1.472
1.170971,1.2781,-0.3521,0.0800,1.328
1.172473,1.2781,-0.3521,0.0800,1.328
1.198051,1.4999,-0.6840,0.2769,1.672
1.199613,1.4999,-0.6840,0.2769,1.672
1.209355,1.5660,-0.8084,0.0362,1.763
1.210397,1.5660,-0.8084,0.0362,1.763
1.228607,1.1536,-0.5356,0.3386,1.316
1.230134,1.1536,-0.5356,0.3386,1.316
1.248806,1.1656,-0.4009,0.6346,1.386
1.250086,1.1656,-0.4009,0.6346,1.386
1.268776,1.0601,-0.2841,0.0081,1.097
1.269883,1.0601,-0.2841,0.0081,1.097
