time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004867,-0.0048,-0.0331,0.0009,0.033
0.005678,-0.0048,-0.0331,0.0009,0.033
0.021114,-0.0232,0.0136,-0.0425,0.050
0.021843,-0.0232,0.0136,-0.0425,0.050
0.042168,-0.0011,-0.0041,0.0128,0.013
0.043237,-0.0011,-0.0041,0.0128,0.013
0.061327,0.0127,0.0218,0.0262,0.036
0.062441,0.0127,0.0218,0.0262,0.036
0.087457,0.0481,0.0223,-0.0237,0.058
0.089006,0.0481,0.0223,-0.0237,0.058
0.102466,0.0498,0.0008,-0.0098,0.051
0.104132,0.0498,0.0008,-0.0098,0.051
0.122891,-0.0008,0.0159,0.0041,0.016
0.124194,-0.0008,0.0159,0.0041,0.016
0.143097,0.0083,0.0430,0.0304,0.053
0.151226,0.0169,0.0320,0.0599,0.070
0.153746,0.0169,0.0320,0.0599,0.070
0.171584,0.0156,0.0333,0.0247,0.044
0.172836,0.0156,0.0333,0.0247,0.044
0.203767,0.0183,-0.0027,-0.0036,0.019
0.204860,0.0183,-0.0027,-0.0036,0.019
0.211076,0.0326,-0.0352,-0.0173,0.051
0.212111,0.0326,-0.0352,-0.0173,0.051
0.233660,0.0155,-0.0112,0.0055,0.020
0.235034,0.0155,-0.0112,0.0055,0.020
0.251688,0.0400,-0.0160,0.0182,0.047
0.252827,0.0400,-0.0160,0.0182,0.047
0.271058,0.0176,0.0213,0.0017,0.028
0.272171,0.0176,0.0213,0.0017,0.028
0.292254,0.0331,0.0163,0.0002,0.037
0.293214,0.0331,0.0163,0.0002,0.037
0.310895,-0.0087,-0.0007,-0.0315,0.033
0.312711,-0.0087,-0.0007,-0.0315,0.033
0.330778,-0.0093,-0.0083,0.0094,0.016
0.331785,-0.0093,-0.0083,0.0094,0.016
0.356301,-0.0046,0.0124,-0.0244,0.028
0.357938,-0.0046,0.0124,-0.0244,0.028
0.371278,0.0214,0.0423,-0.0178,0.051
0.372634,0.0214,0.0423,-0.0178,0.051
0.390695,0.0313,0.0238,0.0179,0.043
0.391956,0.0313,0.0238,0.0179,0.043
0.410506,0.0090,-0.0183,0.0019,0.020
0.411637,0.0090,-0.0183,0.0019,0.020
0.430924,0.0065,-0.0063,0.0032,0.010
0.431864,0.0065,-0.0063,0.0032,0.010
0.450820,0.0323,0.0234,0.0048,0.040
0.452223,0.0323,0.0234,0.0048,0.040
0.471705,0.0134,-0.0045,0.0033,0.015
0.472579,0.0134,-0.0045,0.0033,0.015
0.490617,-0.0075,-0.0323,0.0297,0.044
0.491908,-0.0075,-0.0323,0.0297,0.044
0.510157,0.0083,-0.0353,0.0320,0.048
0.511786,0.0083,-0.0353,0.0320,0.048
0.543128,-0.0150,0.0096,-0.0248,0.031
0.544886,-0.0150,0.0096,-0.0248,0.031
0.551053,-0.0009,0.0034,-0.0315,0.032
0.552071,-0.0009,0.0034,-0.0315,0.032
0.570638,0.0325,-0.0164,0.0054,0.037
0.571677,0.0325,-0.0164,0.0054,0.037
0.590366,0.0427,0.0145,-0.0080,0.046
0.591681,0.0427,0.0145,-0.0080,0.046
0.610023,-0.0024,0.0411,-0.0561,0.070
0.610886,-0.0024,0.0411,-0.0561,0.070
0.637310,-0.0651,-0.0226,-0.0104,0.070
0.639219,-0.0651,-0.0226,-0.0104,0.070
0.650337,-0.0379,-0.0269,0.0102,0.048
0.652074,-0.0379,-0.0269,0.0102,0.048
0.671715,0.0379,0.0143,0.0257,0.048
0.672788,0.0379,0.0143,0.0257,0.048
0.692029,0.0135,0.0346,0.0086,0.038
0.694031,0.0135,0.0346,0.0086,0.038
0.710167,0.0233,0.0156,-0.0191,0.034
0.711721,0.0233,0.0156,-0.0191,0.034
0.730100,0.0203,-0.0395,0.0080,0.045
0.732219,0.0203,-0.0395,0.0080,0.045
0.752174,0.0373,-0.0236,0.0199,0.048
0.756462,0.0373,-0.0236,0.0199,0.048
0.771572,0.0132,-0.0215,-0.0211,0.033
0.773212,0.0132,-0.0215,-0.0211,0.033
0.791239,0.0084,-0.0198,-0.0154,0.026
0.792737,0.0084,-0.0198,-0.0154,0.026
0.827014,-0.0099,-0.0194,-0.0233,0.032
0.828732,-0.0099,-0.0194,-0.0233,0.032
0.829803,0.0008,-0.0221,-0.0299,0.037
0.830770,0.0008,-0.0221,-0.0299,0.037
0.849933,-0.0057,0.0074,-0.0193,0.021
0.850967,-0.0057,0.0074,-0.0193,0.021
0.869833,0.0275,0.0246,-0.0086,0.038
0.871633,0.0275,0.0246,-0.0086,0.038
0.889734,0.0327,0.0260,0.0058,0.042
0.890870,0.0327,0.0260,0.0058,0.042
0.909589,0.0225,-0.0217,-0.0046,0.032
0.911193,0.0225,-0.0217,-0.0046,0.032
0.932183,0.0250,0.0013,-0.0031,0.025
0.933802,0.0250,0.0013,-0.0031,0.025
0.950079,-0.0215,0.0259,0.0121,0.036
0.951712,-0.0215,0.0259,0.0121,0.036
0.969590,-0.0116,0.0132,-0.0051,0.018
0.971218,-0.0116,0.0132,-0.0051,0.018
0.989533,-0.0062,0.0098,-0.0070,0.014
0.992168,-0.0062,0.0098,-0.0070,0.014
1.009060,0.0062,-0.0080,0.0063,0.012
1.010969,0.0062,-0.0080,0.0063,0.012
1.029592,0.0203,-0.0090,0.0099,0.024
1.031307,0.0203,-0.0090,0.0099,0.024
1.056443,0.0106,-0.0373,-0.0182,0.043
1.058110,0.0106,-0.0373,-0.0182,0.043
1.069362,-0.0150,-0.0318,-0.0099,0.037
1.070188,-0.0150,-0.0318,-0.0099,0.037
1.088911,-0.0235,-0.0190,-0.0104,0.032
1.090207,-0.0235,-0.0190,-0.0104,0.032
1.109671,0.0146,0.0101,-0.0029,0.018
1.111072,0.0146,0.0101,-0.0029,0.018
1.129230,-0.0114,0.0162,-0.0101,0.022
1.130567,-0.0114,0.0162,-0.0101,0.022
1.149400,-0.0196,0.0099,-0.0086,0.024
1.151499,-0.0196,0.0099,-0.0086,0.024
1.168978,-0.0146,0.0044,-0.0087,0.018
1.170443,-0.0146,0.0044,-0.0087,0.018
1.189251,0.0095,-0.0038,0.0037,0.011
1.190718,0.0095,-0.0038,0.0037,0.011
1.215061,0.0217,-0.0058,0.0043,0.023
