time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008313,-0.0988,0.2877,-0.0166,0.305
0.009176,-0.0988,0.2877,-0.0166,0.305
0.011605,0.1688,0.0889,0.0248,0.192
0.012580,0.1688,0.0889,0.0248,0.192
0.043462,0.1613,0.1266,-0.0126,0.205
0.046570,0.1613,0.1266,-0.0126,0.205
0.066615,0.1148,0.2206,0.0083,0.249
0.067691,0.1148,0.2206,0.0083,0.249
0.082918,0.0772,0.2056,0.0479,0.225
0.083952,0.0772,0.2056,0.0479,0.225
0.090879,0.0426,0.1794,-0.0084,0.185
0.092109,0.0426,0.1794,-0.0084,0.185
0.112498,0.0226,0.1953,0.0479,0.202
0.113305,0.0226,0.1953,0.0479,0.202
0.130742,0.0762,0.1480,0.0113,0.167
0.132434,0.0762,0.1480,0.0113,0.167
0.150494,0.0512,0.1990,-0.0288,0.207
0.151464,0.0512,0.1990,-0.0288,0.207
0.170810,-0.0078,0.2744,-0.0614,0.281
0.171814,-0.0078,0.2744,-0.0614,0.281
0.190450,-0.0046,0.1837,-0.0233,0.185
0.191390,-0.0046,0.1837,-0.0233,0.185
0.217366,0.0415,0.1404,0.0587,0.158
0.218921,0.0415,0.1404,0.0587,0.158
0.230214,0.0283,0.2026,0.0268,0.206
0.231312,0.0283,0.2026,0.0268,0.206
0.250884,0.0165,0.2041,0.0285,0.207
0.252015,0.0165,0.2041,0.0285,0.207
0.271015,0.0458,0.1516,0.0266,0.161
0.272454,0.0458,0.1516,0.0266,0.161
0.290579,0.0424,0.1923,0.0642,0.207
0.291816,0.0424,0.1923,0.0642,0.207
0.310066,0.0155,0.2044,0.0449,0.210
0.311661,0.0155,0.2044,0.0449,0.210
0.330201,0.0960,0.1983,0.0282,0.222
0.331802,0.0960,0.1983,0.0282,0.222
0.350854,0.0636,0.2096,0.0108,0.219
0.353653,0.0636,0.2096,0.0108,0.219
0.380223,-0.0308,0.1539,0.0418,0.162
0.382022,-0.0308,0.1539,0.0418,0.162
0.390968,0.0152,0.2343,0.0465,0.239
0.392552,0.0152,0.2343,0.0465,0.239
0.410088,0.0445,0.2199,0.0562,0.231
0.411661,0.0445,0.2199,0.0562,0.231
0.429657,-0.0065,0.1456,0.0739,0.163
0.431016,-0.0065,0.1456,0.0739,0.163
0.450992,-0.0343,0.1883,0.0990,0.215
0.452617,-0.0343,0.1883,0.0990,0.215
0.470028,0.0240,0.1932,0.0319,0.197
0.470914,0.0240,0.1932,0.0319,0.197
