time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004750,0.3708,0.0882,-0.0081,0.381
0.005754,0.3708,0.0882,-0.0081,0.381
0.014435,-0.1455,0.1371,-0.0112,0.200
0.015349,-0.1455,0.1371,-0.0112,0.200
0.034476,-0.2674,0.2578,0.0206,0.372
0.035136,-0.2674,0.2578,0.0206,0.372
0.054644,0.0129,0.1656,0.1034,0.196
0.055641,0.0129,0.1656,0.1034,0.196
0.076704,0.1602,0.0892,0.0029,0.183
0.078221,0.1602,0.0892,0.0029,0.183
0.094548,0.1668,0.1497,0.0651,0.233
0.095858,0.1668,0.1497,0.0651,0.233
0.116434,0.2080,0.1402,0.0709,0.261
0.117823,0.2080,0.1402,0.0709,0.261
0.150170,0.1880,0.1530,0.0685,0.252
0.151379,0.1880,0.1530,0.0685,0.252
0.178868,0.1595,0.2380,0.1439,0.321
0.179829,0.1595,0.2380,0.1439,0.321
0.180193,0.1083,0.2763,0.1581,0.336
0.180517,0.1083,0.2763,0.1581,0.336
0.192466,-0.0218,0.1684,0.1873,0.253
0.193916,-0.0218,0.1684,0.1873,0.253
0.212882,-0.2633,0.2986,0.3162,0.508
0.214517,-0.2633,0.2986,0.3162,0.508
0.234344,-0.1058,0.2502,0.2328,0.358
0.235489,-0.1058,0.2502,0.2328,0.358
0.270027,-0.1201,-0.0247,0.5091,0.524
0.271330,-0.1201,-0.0247,0.5091,0.524
0.278482,-0.2744,-0.1421,0.4431,0.540
0.280567,-0.2744,-0.1421,0.4431,0.540
0.292475,-0.3567,0.0099,0.3822,0.523
0.294225,-0.3567,0.0099,0.3822,0.523
0.312899,-0.2831,0.1348,0.3847,0.496
0.314144,-0.2831,0.1348,0.3847,0.496
0.332742,0.0313,0.1052,0.2909,0.311
0.335032,0.0313,0.1052,0.2909,0.311
0.352830,0.1104,0.0118,0.2073,0.235
0.354490,0.1104,0.0118,0.2073,0.235
0.373911,0.2117,0.0536,0.2314,0.318
0.375183,0.2117,0.0536,0.2314,0.318
0.393057,0.2849,0.0128,0.0887,0.299
0.394511,0.2849,0.0128,0.0887,0.299
0.412795,0.3026,-0.0051,0.1012,0.319
0.413985,0.3026,-0.0051,0.1012,0.319
0.432687,0.2112,0.0794,0.0264,0.227
0.434173,0.2112,0.0794,0.0264,0.227
0.452507,0.1276,-0.1079,-0.0876,0.189
0.453311,0.1276,-0.1079,-0.0876,0.189
0.485676,0.1057,0.1011,-0.2470,0.287
0.487267,0.1057,0.1011,-0.2470,0.287
0.492884,0.0910,0.0403,-0.3068,0.323
0.494094,0.0910,0.0403,-0.3068,0.323
0.512949,0.0098,-0.0039,-0.5074,0.507
0.513939,0.0098,-0.0039,-0.5074,0.507
0.532921,0.0026,0.0782,-0.7355,0.740
0.534328,0.0026,0.0782,-0.7355,0.740
0.552935,-0.0931,0.3796,-0.5949,0.712
0.554582,-0.0931,0.3796,-0.5949,0.712
0.589938,-0.0535,0.3944,-0.8043,0.897
0.591575,-0.0535,0.3944,-0.8043,0.897
0.592446,-0.7385,0.6614,-1.2236,1.575
0.593360,-0.7385,0.6614,-1.2236,1.575
0.612848,-1.3050,0.8586,-0.8881,1.797
0.614212,-1.3050,0.8586,-0.8881,1.797
0.632849,-0.9332,0.8042,-0.5919,1.367
0.634558,-0.9332,0.8042,-0.5919,1.367
0.652977,-0.3046,0.5461,-0.4445,0.767
0.654622,-0.3046,0.5461,-0.4445,0.767
0.691276,-0.1962,0.1336,-0.5981,0.643
0.692986,-0.1962,0.1336,-0.5981,0.643
0.693914,-0.4830,0.2098,-0.4295,0.680
0.694527,-0.4830,0.2098,-0.4295,0.680
0.712474,-0.7305,0.1980,-0.3930,0.853
0.714182,-0.7305,0.1980,-0.3930,0.853
0.732434,-0.7613,0.2374,-0.8550,1.169
0.734504,-0.7613,0.2374,-0.8550,1.169
0.752697,-0.8201,0.4717,-0.9474,1.339
0.754664,-0.8201,0.4717,-0.9474,1.339
0.785552,-0.4388,0.5015,-0.7656,1.015
0.787255,-0.4388,0.5015,-0.7656,1.015
0.792541,-0.0142,0.1860,-0.3912,0.433
0.793430,-0.0142,0.1860,-0.3912,0.433
0.812959,0.6588,-0.1380,-0.3649,0.766
0.814628,0.6588,-0.1380,-0.3649,0.766
0.833740,0.9590,0.1018,-0.3907,1.040
0.841039,0.9590,0.1018,-0.3907,1.040
0.860967,0.7969,0.5516,-0.5946,1.137
0.862951,0.7969,0.5516,-0.5946,1.137
0.872640,0.6108,0.5462,-0.7930,1.140
0.874373,0.6108,0.5462,-0.7930,1.140
0.892193,0.8611,0.4456,-0.9052,1.326
0.894226,0.8611,0.4456,-0.9052,1.326
0.912367,1.1377,0.1327,-0.6953,1.340
0.913628,1.1377,0.1327,-0.6953,1.340
0.932527,0.6521,0.0612,-0.1695,0.677
0.933966,0.6521,0.0612,-0.1695,0.677
0.956715,-0.6491,0.2095,0.1665,0.702
0.957986,-0.6491,0.2095,0.1665,0.702
0.973195,-2.2451,0.1470,0.3385,2.275
0.974838,-2.2451,0.1470,0.3385,2.275
0.991921,-2.9393,0.1734,0.2878,2.958
0.994963,-2.9393,0.1734,0.2878,2.958
1.012128,-2.4219,0.6501,-0.0197,2.508
1.013674,-2.4219,0.6501,-0.0197,2.508
1.032042,-0.6852,1.4908,-0.2889,1.666
1.033569,-0.6852,1.4908,-0.2889,1.666
1.052464,0.8234,2.7154,-0.4425,2.872
1.054214,0.8234,2.7154,-0.4425,2.872
1.072748,1.4777,3.6212,-0.1718,3.915
1.075654,1.4777,3.6212,-0.1718,3.915
1.092667,1.3125,4.1020,-0.6866,4.361
1.095555,1.3125,4.1020,-0.6866,4.361
1.112043,0.7480,4.2200,-0.7225,4.346
1.113386,0.7480,4.2200,-0.7225,4.346
1.131719,1.9189,4.5115,-0.6840,4.950
1.133488,1.9189,4.5115,-0.6840,4.950
1.154210,4.1915,4.3983,-0.7956,6.128
1.155945,4.1915,4.3983,-0.7956,6.128
1.171978,5.5775,2.9445,-1.1143,6.405
1.174449,5.5775,2.9445,-1.1143,6.405
1.192011,4.7938,0.6890,-0.4535,4.864
1.193941,4.7938,0.6890,-0.4535,4.864
1.211632,2.7734,-0.4934,1.3101,3.107
1.213395,2.7734,-0.4934,1.3101,3.107
1.231555,0.5712,-0.8505,1.5874,1.889
1.233433,0.5712,-0.8505,1.5874,1.889
1.252162,-1.3993,0.3653,1.4251,2.030
1.253966,-1.3993,0.3653,1.4251,2.030
1.271694,-2.3626,1.2853,1.7427,3.205
1.274322,-2.3626,1.2853,1.7427,3.205
1.291826,-1.6143,0.7721,1.6568,2.439
1.293750,-1.6143,0.7721,1.6568,2.439
1.311217,0.2051,-0.0492,1.0965,1.117
1.312672,0.2051,-0.0492,1.0965,1.117
1.331418,1.4377,-0.8748,0.6970,1.822
1.333310,1.4377,-0.8748,0.6970,1.822
1.357641,1.8620,-2.0811,0.2114,2.800
1.359282,1.8620,-2.0811,0.2114,2.800
1.371315,1.5610,-3.0142,0.0773,3.395
1.373471,1.5610,-3.0142,0.0773,3.395
1.391576,0.5993,-3.4273,0.3539,3.497
1.392781,0.5993,-3.4273,0.3539,3.497
1.411162,-0.7662,-3.5994,0.9207,3.793
1.412699,-0.7662,-3.5994,0.9207,3.793
1.431139,-2.2212,-3.7844,0.9023,4.480
1.432988,-2.2212,-3.7844,0.9023,4.480
1.451289,-2.7748,-2.9034,0.7578,4.087
1.452805,-2.7748,-2.9034,0.7578,4.087
1.471650,-2.1424,-1.7832,0.8481,2.914
1.474062,-2.1424,-1.7832,0.8481,2.914
1.490998,-1.5867,-1.4073,1.0450,2.364
1.492983,-1.5867,-1.4073,1.0450,2.364
1.510943,-1.0242,-1.8916,1.6821,2.731
1.513382,-1.0242,-1.8916,1.6821,2.731
1.530725,-0.8368,-2.1295,1.7535,2.883
1.531926,-0.8368,-2.1295,1.7535,2.883
1.550605,-0.6613,-1.4054,1.5109,2.167
1.551804,-0.6613,-1.4054,1.5109,2.167
1.571030,-1.3015,-0.6374,1.7859,2.300
1.572792,-1.3015,-0.6374,1.7859,2.300
1.590722,-1.6184,-0.5061,2.4158,2.952
1.592946,-1.6184,-0.5061,2.4158,2.952
1.610515,-1.5168,-0.4962,2.4581,2.931
1.612809,-1.5168,-0.4962,2.4581,2.931
1.630781,-2.0956,0.3213,2.5703,3.332
1.632671,-2.0956,0.3213,2.5703,3.332
1.660182,-3.0052,1.6275,1.6564,3.798
1.662167,-3.0052,1.6275,1.6564,3.798
1.670669,-1.6754,4.6837,-0.7042,5.024
1.672846,-1.6754,4.6837,-0.7042,5.024
1.690623,2.0344,6.0171,-2.0857,6.685
1.692910,2.0344,6.0171,-2.0857,6.685
1.710777,5.3723,3.7246,0.8763,6.596
1.714132,5.3723,3.7246,0.8763,6.596
1.730528,5.0696,2.4060,-1.6158,5.840
1.732301,5.0696,2.4060,-1.6158,5.840
1.757958,2.7907,3.5018,-1.7235,4.798
1.759855,2.7907,3.5018,-1.7235,4.798
1.771412,1.6989,1.8665,-2.0794,3.270
1.774349,1.6989,1.8665,-2.0794,3.270
1.790650,1.0052,0.6683,-2.7132,2.970
1.792793,1.0052,0.6683,-2.7132,2.970
1.810206,0.7275,0.4979,-1.9716,2.160
1.812828,0.7275,0.4979,-1.9716,2.160
1.830446,0.2197,1.1534,-1.8019,2.151
1.831562,0.2197,1.1534,-1.8019,2.151
1.856870,-0.4891,1.7477,-1.7299,2.507
1.859114,-0.4891,1.7477,-1.7299,2.507
1.870660,-0.7382,1.1307,-1.2215,1.821
1.872416,-0.7382,1.1307,-1.2215,1.821
1.890558,-0.1684,-0.0891,-1.2378,1.252
1.891971,-0.1684,-0.0891,-1.2378,1.252
1.910486,0.7161,-1.0817,-1.5546,2.025
