time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005822,0.1509,0.1926,-0.0009,0.245
0.006988,0.1509,0.1926,-0.0009,0.245
0.023350,0.1524,0.0939,0.0500,0.186
0.024165,0.1524,0.0939,0.0500,0.186
0.044651,0.0799,0.1192,0.0894,0.169
0.046064,0.0799,0.1192,0.0894,0.169
0.064158,0.0317,0.2037,0.0636,0.216
0.065351,0.0317,0.2037,0.0636,0.216
0.086287,0.0742,0.1379,0.1384,0.209
0.087559,0.0742,0.1379,0.1384,0.209
0.103426,0.0710,0.1731,0.1891,0.266
0.104463,0.0710,0.1731,0.1891,0.266
0.123548,0.0332,0.1213,0.1432,0.191
0.124610,0.0332,0.1213,0.1432,0.191
0.143397,-0.0325,0.0391,0.2415,0.247
0.144859,-0.0325,0.0391,0.2415,0.247
0.165153,-0.0687,0.1174,0.2075,0.248
0.166536,-0.0687,0.1174,0.2075,0.248
0.184359,-0.0452,0.3252,0.2218,0.396
0.185452,-0.0452,0.3252,0.2218,0.396
0.211140,-0.0974,0.3457,0.4013,0.539
0.213077,-0.0974,0.3457,0.4013,0.539
0.223718,-0.1143,0.2135,0.3215,0.403
0.225221,-0.1143,0.2135,0.3215,0.403
0.243612,-0.0136,0.1061,0.2086,0.234
0.244411,-0.0136,0.1061,0.2086,0.234
0.263653,-0.0291,0.0517,0.2918,0.298
0.264683,-0.0291,0.0517,0.2918,0.298
0.283375,-0.1303,0.1830,0.1856,0.291
0.284416,-0.1303,0.1830,0.1856,0.291
0.303367,-0.1081,0.1414,0.2803,0.332
0.304536,-0.1081,0.1414,0.2803,0.332
0.329917,0.0142,-0.0142,0.1849,0.186
0.331356,0.0142,-0.0142,0.1849,0.186
0.343706,-0.0263,0.0265,0.3592,0.361
0.344643,-0.0263,0.0265,0.3592,0.361
0.363549,-0.3045,-0.0325,0.3080,0.434
0.364891,-0.3045,-0.0325,0.3080,0.434
0.383354,-0.2103,-0.0876,0.2211,0.317
0.384578,-0.2103,-0.0876,0.2211,0.317
0.407769,-0.1932,-0.0594,0.3400,0.396
0.409508,-0.1932,-0.0594,0.3400,0.396
0.423576,-0.2016,0.1289,0.1838,0.302
0.425081,-0.2016,0.1289,0.1838,0.302
0.444714,-0.0448,0.1517,0.0256,0.160
0.446813,-0.0448,0.1517,0.0256,0.160
0.463705,0.1559,0.1304,-0.0746,0.217
0.464651,0.1559,0.1304,-0.0746,0.217
0.482993,0.1366,0.0287,0.0202,0.141
0.485495,0.1366,0.0287,0.0202,0.141
0.503628,0.2021,0.0145,-0.1132,0.232
0.504914,0.2021,0.0145,-0.1132,0.232
0.533672,0.0703,0.1701,-0.2909,0.344
0.535221,0.0703,0.1701,-0.2909,0.344
0.544537,-0.3461,0.3470,-0.2485,0.550
0.547365,-0.3461,0.3470,-0.2485,0.550
0.563188,-0.4887,0.2895,-0.5629,0.800
0.564887,-0.4887,0.2895,-0.5629,0.800
0.584050,-0.3665,0.2618,-0.6388,0.782
0.585560,-0.3665,0.2618,-0.6388,0.782
0.603424,-0.2252,0.1320,-0.8880,0.926
0.604709,-0.2252,0.1320,-0.8880,0.926
0.630033,-0.0178,0.6081,-0.9297,1.111
0.631791,-0.0178,0.6081,-0.9297,1.111
0.643720,0.1269,0.7350,-0.8648,1.142
0.644583,0.1269,0.7350,-0.8648,1.142
0.663758,0.0791,0.5782,-0.7393,0.942
0.665115,0.0791,0.5782,-0.7393,0.942
0.684413,0.0472,0.7898,-0.5775,0.980
0.685992,0.0472,0.7898,-0.5775,0.980
0.703230,-0.0067,0.8421,-0.7244,1.111
0.704987,-0.0067,0.8421,-0.7244,1.111
0.723542,0.0701,0.7214,-0.8254,1.098
0.725101,0.0701,0.7214,-0.8254,1.098
0.744107,0.1794,0.7791,-0.6482,1.029
0.745576,0.1794,0.7791,-0.6482,1.029
0.764955,-0.0594,1.0491,-0.5868,1.204
0.766487,-0.0594,1.0491,-0.5868,1.204
0.785451,-0.4536,0.9016,-0.6886,1.222
0.787141,-0.4536,0.9016,-0.6886,1.222
0.816387,-0.7768,0.2591,-0.2415,0.854
0.818118,-0.7768,0.2591,-0.2415,0.854
0.824064,-0.8283,0.0925,-0.1753,0.852
0.825434,-0.8283,0.0925,-0.1753,0.852
0.842220,-0.5409,0.0066,-0.2247,0.586
0.843568,-0.5409,0.0066,-0.2247,0.586
0.862415,-0.2087,-0.1123,-0.2399,0.337
0.863452,-0.2087,-0.1123,-0.2399,0.337
0.882564,0.1690,-0.2213,-0.1512,0.317
0.883500,0.1690,-0.2213,-0.1512,0.317
0.902682,0.4134,-0.3304,-0.0557,0.532
0.904334,0.4134,-0.3304,-0.0557,0.532
0.922471,0.3498,-0.5477,0.1108,0.659
0.924031,0.3498,-0.5477,0.1108,0.659
0.942071,-0.0014,-0.5618,0.1399,0.579
0.944468,-0.0014,-0.5618,0.1399,0.579
0.962877,-0.3549,-0.3495,0.1449,0.519
0.964461,-0.3549,-0.3495,0.1449,0.519
0.982499,-0.4169,-0.1828,0.0387,0.457
0.985452,-0.4169,-0.1828,0.0387,0.457
1.003042,-0.2638,-0.0556,-0.0846,0.283
1.005339,-0.2638,-0.0556,-0.0846,0.283
1.022460,-0.0235,-0.0339,-0.0898,0.099
1.023614,-0.0235,-0.0339,-0.0898,0.099
1.045262,0.2816,0.0904,-0.0018,0.296
1.047458,0.2816,0.0904,-0.0018,0.296
1.066033,0.4941,0.0586,0.1525,0.520
1.067401,0.4941,0.0586,0.1525,0.520
1.082347,0.3905,-0.0998,0.2581,0.479
1.085371,0.3905,-0.0998,0.2581,0.479
1.101963,0.1139,0.1048,0.1082,0.189
1.103415,0.1139,0.1048,0.1082,0.189
1.121985,-0.1870,0.3105,0.0159,0.363
1.123234,-0.1870,0.3105,0.0159,0.363
1.142414,-0.5075,0.2386,0.2465,0.613
1.143841,-0.5075,0.2386,0.2465,0.613
1.161908,-0.4492,0.0245,0.7752,0.896
1.163818,-0.4492,0.0245,0.7752,0.896
1.182218,-0.2780,-0.1221,1.1040,1.145
1.183855,-0.2780,-0.1221,1.1040,1.145
1.202706,0.4581,1.5996,0.0357,1.664
1.204524,0.4581,1.5996,0.0357,1.664
1.223052,0.5890,2.8599,-1.2394,3.172
1.225000,0.5890,2.8599,-1.2394,3.172
1.241924,0.8185,2.6801,-1.7814,3.321
1.243837,0.8185,2.6801,-1.7814,3.321
1.261430,2.0644,1.7608,-1.5569,3.128
1.266878,2.0644,1.7608,-1.5569,3.128
1.281467,3.1018,0.2762,-1.2244,3.346
1.284115,3.1018,0.2762,-1.2244,3.346
1.301250,3.6595,-1.3297,-0.6346,3.945
1.303135,3.6595,-1.3297,-0.6346,3.945
1.321457,2.8666,-2.2161,0.3165,3.637
1.323545,2.8666,-2.2161,0.3165,3.637
1.341635,1.0898,-1.0537,0.7115,1.675
1.343372,1.0898,-1.0537,0.7115,1.675
1.362057,-0.5546,0.7036,0.5663,1.060
1.363626,-0.5546,0.7036,0.5663,1.060
1.382175,-1.4219,1.7983,0.1965,2.301
1.383684,-1.4219,1.7983,0.1965,2.301
1.401114,-1.4621,1.4970,0.2638,2.109
1.403587,-1.4621,1.4970,0.2638,2.109
1.421355,-0.4674,0.7771,0.6281,1.103
1.423019,-0.4674,0.7771,0.6281,1.103
1.441366,0.3382,0.2296,0.8791,0.970
1.442686,0.3382,0.2296,0.8791,0.970
1.466406,0.4700,-0.1465,0.8324,0.967
1.468310,0.4700,-0.1465,0.8324,0.967
1.486379,0.5623,-0.2428,0.9939,1.168
1.487835,0.5623,-0.2428,0.9939,1.168
1.502102,0.4030,-0.3207,1.0534,1.173
1.503245,0.4030,-0.3207,1.0534,1.173
1.521415,0.2736,-0.3418,1.1145,1.197
1.522968,0.2736,-0.3418,1.1145,1.197
1.541131,0.4692,-0.4513,1.0807,1.262
1.542450,0.4692,-0.4513,1.0807,1.262
1.561175,0.6291,-0.6041,1.0397,1.357
1.563169,0.6291,-0.6041,1.0397,1.357
1.581255,0.3566,-0.6823,1.1568,1.390
1.583145,0.3566,-0.6823,1.1568,1.390
1.601243,-0.4615,-0.7423,1.1656,1.457
1.603083,-0.4615,-0.7423,1.1656,1.457
1.625614,-1.2396,-0.7751,1.1973,1.890
1.627434,-1.2396,-0.7751,1.1973,1.890
1.640977,-1.4307,-0.8011,1.1056,1.978
1.642904,-1.4307,-0.8011,1.1056,1.978
1.660973,-1.2971,-0.8300,1.2336,1.973
1.663182,-1.2971,-0.8300,1.2336,1.973
1.681303,-1.0353,-1.0666,1.1730,1.893
1.683932,-1.0353,-1.0666,1.1730,1.893
1.700690,-0.7031,-1.1623,0.9584,1.662
1.703515,-0.7031,-1.1623,0.9584,1.662
1.720645,-0.5483,-0.7045,0.5152,1.031
1.722955,-0.5483,-0.7045,0.5152,1.031
1.741182,-0.7303,0.0739,0.2163,0.765
1.743352,-0.7303,0.0739,0.2163,0.765
1.760799,-0.3170,0.6443,-0.4947,0.872
1.762087,-0.3170,0.6443,-0.4947,0.872
1.781547,-0.1159,0.7437,0.3164,0.816
1.783065,-0.1159,0.7437,0.3164,0.816
1.801482,-0.3054,0.4578,0.0970,0.559
1.803351,-0.3054,0.4578,0.0970,0.559
1.820888,-0.4827,0.5028,0.6127,0.928
1.822703,-0.4827,0.5028,0.6127,0.928
1.840370,-0.6467,0.0580,1.1292,1.303
1.842226,-0.6467,0.0580,1.1292,1.303
1.860776,-0.7754,-0.4428,1.1230,1.435
1.862722,-0.7754,-0.4428,1.1230,1.435
1.883871,-0.5524,0.9696,-0.2202,1.137
1.886537,-0.5524,0.9696,-0.2202,1.137
1.904346,-0.4926,4.1150,-0.4714,4.171
1.906131,-0.4926,4.1150,-0.4714,4.171
1.921112,1.3658,5.4066,-1.8464,5.874
1.924653,1.3658,5.4066,-1.8464,5.874
1.940395,3.2366,3.0029,-1.2890,4.599
1.942489,3.2366,3.0029,-1.2890,4.599
1.960239,3.2392,-0.9714,-0.6426,3.442
1.963032,3.2392,-0.9714,-0.6426,3.442
1.981009,1.8867,-2.8622,-1.2572,3.651
1.984013,1.8867,-2.8622,-1.2572,3.651
2.000088,-0.1417,-2.4385,-1.5619,2.899
2.001606,-0.1417,-2.4385,-1.5619,2.899
2.020454,-1.5144,-0.6809,-2.2588,2.803
2.022328,-1.5144,-0.6809,-2.2588,2.803
2.040541,-0.8511,1.9264,-1.8798,2.823
2.042859,-0.8511,1.9264,-1.8798,2.823
2.060115,0.9588,2.9848,-1.2494,3.375
2.062207,0.9588,2.9848,-1.2494,3.375
2.080186,2.5130,1.0370,-0.9753,2.888
2.084872,2.5130,1.0370,-0.9753,2.888
2.100122,2.2853,-0.9030,-0.6631,2.545
2.104119,2.2853,-0.9030,-0.6631,2.545
2.120149,1.2358,-1.3444,-0.8768,2.026
2.122238,1.2358,-1.3444,-0.8768,2.026
2.139867,0.1718,-0.4739,-0.8801,1.014
2.140953,0.1718,-0.4739,-0.8801,1.014
2.160337,-0.2900,0.3390,-1.0769,1.166
2.161900,-0.2900,0.3390,-1.0769,1.166
2.180577,-0.5719,0.3653,-1.0602,1.259
2.182560,-0.5719,0.3653,-1.0602,1.259
2.200152,-1.0176,0.3321,-0.5884,1.221
2.202520,-1.0176,0.3321,-0.5884,1.221
2.219714,-1.3236,0.3109,-0.2147,1.376
2.221965,-1.3236,0.3109,-0.2147,1.376
