time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008446,-0.0355,0.0780,0.0880,0.123
0.009476,-0.0355,0.0780,0.0880,0.123
0.016722,-0.0942,0.0420,-0.0769,0.129
0.017748,-0.0942,0.0420,-0.0769,0.129
0.054576,-0.0715,-0.1030,0.0823,0.150
0.055845,-0.0715,-0.1030,0.0823,0.150
0.072532,-0.0480,-0.0126,0.0299,0.058
0.073623,-0.0480,-0.0126,0.0299,0.058
0.083357,-0.0581,0.0629,0.0486,0.099
0.084480,-0.0581,0.0629,0.0486,0.099
0.096788,-0.0543,0.0078,0.0316,0.063
0.097853,-0.0543,0.0078,0.0316,0.063
0.117158,-0.0590,0.0190,0.0407,0.074
0.119334,-0.0590,0.0190,0.0407,0.074
0.138460,-0.0221,0.0141,0.0212,0.034
0.139646,-0.0221,0.0141,0.0212,0.034
0.157781,-0.0402,0.0083,0.0200,0.046
0.159301,-0.0402,0.0083,0.0200,0.046
0.177894,-0.0449,-0.0104,-0.0171,0.049
0.179094,-0.0449,-0.0104,-0.0171,0.049
0.196747,-0.0668,0.0032,0.0236,0.071
0.198629,-0.0668,0.0032,0.0236,0.071
0.217916,-0.0799,-0.0376,0.0223,0.091
0.219737,-0.0799,-0.0376,0.0223,0.091
0.242098,-0.0415,-0.0356,0.0585,0.080
0.243145,-0.0415,-0.0356,0.0585,0.080
0.258606,-0.0327,-0.0208,0.1510,0.156
0.260580,-0.0327,-0.0208,0.1510,0.156
0.277853,-0.0360,0.0359,0.0717,0.088
0.279368,-0.0360,0.0359,0.0717,0.088
0.296502,0.0127,0.0737,0.0383,0.084
0.297594,0.0127,0.0737,0.0383,0.084
0.316475,0.0211,0.0292,0.0116,0.038
0.319522,0.0211,0.0292,0.0116,0.038
0.337952,0.0460,-0.0719,0.0338,0.092
0.339702,0.0460,-0.0719,0.0338,0.092
0.355926,-0.0609,-0.0579,0.0256,0.088
0.357676,-0.0609,-0.0579,0.0256,0.088
0.377149,-0.1332,-0.0323,0.0161,0.138
0.378753,-0.1332,-0.0323,0.0161,0.138
0.395944,-0.0728,0.0043,0.0327,0.080
0.397206,-0.0728,0.0043,0.0327,0.080
0.418042,-0.0581,0.0037,0.0058,0.058
0.419567,-0.0581,0.0037,0.0058,0.058
0.436055,-0.0697,0.0195,0.0464,0.086
0.436934,-0.0697,0.0195,0.0464,0.086
0.455547,-0.0544,-0.0040,0.0209,0.058
0.456938,-0.0544,-0.0040,0.0209,0.058
0.475766,-0.0147,0.0170,0.0374,0.044
0.477685,-0.0147,0.0170,0.0374,0.044
0.496580,-0.0582,0.0384,0.0006,0.070
0.498295,-0.0582,0.0384,0.0006,0.070
0.519026,-0.0644,0.0058,0.0606,0.089
0.520446,-0.0644,0.0058,0.0606,0.089
0.535410,-0.0603,0.0157,0.0112,0.063
0.536282,-0.0603,0.0157,0.0112,0.063
0.555301,-0.0297,0.0488,0.0346,0.067
0.556764,-0.0297,0.0488,0.0346,0.067
0.575441,-0.0343,0.0028,0.0333,0.048
0.576919,-0.0343,0.0028,0.0333,0.048
0.595935,-0.0046,-0.0059,0.0315,0.032
0.597641,-0.0046,-0.0059,0.0315,0.032
0.618330,-0.0112,-0.0063,0.0081,0.015
0.619513,-0.0112,-0.0063,0.0081,0.015
0.635124,-0.0246,-0.0391,0.0190,0.050
0.635881,-0.0246,-0.0391,0.0190,0.050
0.654937,-0.0670,-0.0250,0.0391,0.081
0.656018,-0.0670,-0.0250,0.0391,0.081
0.674959,-0.0461,-0.0360,0.0528,0.079
0.676172,-0.0461,-0.0360,0.0528,0.079
0.695996,-0.0301,-0.0095,0.0273,0.042
0.698981,-0.0301,-0.0095,0.0273,0.042
0.720138,-0.0384,0.0213,0.0329,0.055
0.721637,-0.0384,0.0213,0.0329,0.055
0.735475,-0.0233,0.0377,0.0214,0.049
0.737070,-0.0233,0.0377,0.0214,0.049
0.755052,-0.0689,0.0281,0.0155,0.076
0.756879,-0.0689,0.0281,0.0155,0.076
0.775122,-0.0588,0.0478,0.0157,0.077
0.777445,-0.0588,0.0478,0.0157,0.077
0.794758,-0.0375,0.0171,-0.0147,0.044
0.796066,-0.0375,0.0171,-0.0147,0.044
0.816351,-0.0489,0.0070,0.0084,0.050
0.819237,-0.0489,0.0070,0.0084,0.050
0.834903,-0.0674,0.0224,0.0063,0.071
0.836947,-0.0674,0.0224,0.0063,0.071
0.854469,-0.0686,-0.0083,0.0195,0.072
0.855697,-0.0686,-0.0083,0.0195,0.072
0.876078,-0.0609,-0.0311,0.0328,0.076
0.877738,-0.0609,-0.0311,0.0328,0.076
0.894857,-0.0338,-0.0054,-0.0174,0.038
0.896384,-0.0338,-0.0054,-0.0174,0.038
0.914740,-0.0309,-0.0094,0.0391,0.051
0.919230,-0.0309,-0.0094,0.0391,0.051
0.934928,-0.0375,-0.0236,0.0558,0.071
0.941147,-0.0375,-0.0236,0.0558,0.071
0.954419,-0.0160,-0.0291,0.0599,0.068
0.955850,-0.0160,-0.0291,0.0599,0.068
0.974508,0.0040,0.0056,0.0562,0.057
0.976656,0.0040,0.0056,0.0562,0.057
0.994464,-0.0211,-0.0167,0.0495,0.056
0.996051,-0.0211,-0.0167,0.0495,0.056
