time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006160,0.1259,0.2703,-0.1452,0.332
0.007706,0.1259,0.2703,-0.1452,0.332
0.008718,0.0209,0.1692,0.0483,0.177
0.011410,0.0209,0.1692,0.0483,0.177
0.025189,-0.0944,0.0894,0.1090,0.170
0.026414,-0.0944,0.0894,0.1090,0.170
0.045627,-0.0955,0.1072,0.0739,0.161
0.046720,-0.0955,0.1072,0.0739,0.161
0.078461,0.0671,0.1427,0.1490,0.217
0.079645,0.0671,0.1427,0.1490,0.217
0.094745,0.0804,0.2248,0.0649,0.247
0.095860,0.0804,0.2248,0.0649,0.247
0.104543,0.0877,0.1838,0.0373,0.207
0.106464,0.0877,0.1838,0.0373,0.207
0.124550,-0.0075,0.1431,0.0541,0.153
0.125861,-0.0075,0.1431,0.0541,0.153
0.144492,-0.0906,0.1154,0.0330,0.150
0.145963,-0.0906,0.1154,0.0330,0.150
0.164596,-0.1215,0.1464,0.0510,0.197
0.166076,-0.1215,0.1464,0.0510,0.197
0.183700,-0.1652,0.1489,0.0800,0.236
0.185223,-0.1652,0.1489,0.0800,0.236
0.203940,0.0210,0.2002,0.0901,0.220
0.205379,0.0210,0.2002,0.0901,0.220
0.223780,0.2363,0.2688,-0.0441,0.361
0.225398,0.2363,0.2688,-0.0441,0.361
0.248524,0.2090,0.4132,0.1066,0.475
0.250019,0.2090,0.4132,0.1066,0.475
0.264284,-0.3282,-0.0366,0.1360,0.357
0.266039,-0.3282,-0.0366,0.1360,0.357
0.284090,-0.3666,-0.2128,0.1854,0.463
0.285917,-0.3666,-0.2128,0.1854,0.463
0.303864,-0.3163,0.0401,0.2358,0.397
0.306388,-0.3163,0.0401,0.2358,0.397
0.323893,0.1882,0.4623,0.1620,0.525
0.325611,0.1882,0.4623,0.1620,0.525
0.343520,0.8469,0.2037,-1.4736,1.712
0.344780,0.8469,0.2037,-1.4736,1.712
0.370571,-0.3636,0.2218,0.8950,0.991
0.372425,-0.3636,0.2218,0.8950,0.991
0.383695,-0.3447,-0.1925,0.0552,0.399
0.385655,-0.3447,-0.1925,0.0552,0.399
0.404387,-0.1238,-0.0491,0.0150,0.134
0.406619,-0.1238,-0.0491,0.0150,0.134
0.423296,-0.0231,0.1877,-0.0411,0.194
0.424151,-0.0231,0.1877,-0.0411,0.194
0.443424,0.0198,0.2943,0.0551,0.300
0.444931,0.0198,0.2943,0.0551,0.300
0.463489,0.1106,0.1341,0.0981,0.200
0.465610,0.1106,0.1341,0.0981,0.200
0.483889,0.0836,0.0276,0.1813,0.202
0.485228,0.0836,0.0276,0.1813,0.202
0.507768,-0.0027,0.0284,0.2245,0.226
0.509386,-0.0027,0.0284,0.2245,0.226
0.523656,-0.1239,0.0829,0.2314,0.275
0.524643,-0.1239,0.0829,0.2314,0.275
0.543442,-0.1498,0.1651,0.1694,0.280
0.545349,-0.1498,0.1651,0.1694,0.280
0.563200,-0.0506,0.1486,0.0770,0.175
0.564530,-0.0506,0.1486,0.0770,0.175
0.583209,0.0280,0.0442,0.1714,0.179
0.584479,0.0280,0.0442,0.1714,0.179
0.604397,-0.0165,0.0048,0.1762,0.177
0.606137,-0.0165,0.0048,0.1762,0.177
0.623575,-0.1292,0.0324,0.3153,0.342
0.624602,-0.1292,0.0324,0.3153,0.342
0.643417,-0.3465,0.1675,0.2745,0.473
0.645252,-0.3465,0.1675,0.2745,0.473
0.668777,-0.4779,0.3491,0.0977,0.600
0.670535,-0.4779,0.3491,0.0977,0.600
0.682592,-0.3623,0.3566,-0.0927,0.517
0.686120,-0.3623,0.3566,-0.0927,0.517
0.702434,-0.2038,0.1921,-0.1141,0.302
0.703784,-0.2038,0.1921,-0.1141,0.302
0.722960,-0.1373,0.1219,-0.1229,0.221
0.724638,-0.1373,0.1219,-0.1229,0.221
0.743337,-0.1057,0.1416,-0.0791,0.194
0.745125,-0.1057,0.1416,-0.0791,0.194
0.762444,-0.1152,0.2632,-0.0752,0.297
0.763625,-0.1152,0.2632,-0.0752,0.297
0.789548,-0.0520,0.3081,-0.0925,0.326
0.791109,-0.0520,0.3081,-0.0925,0.326
0.803005,0.1022,0.2578,-0.0509,0.282
0.804034,0.1022,0.2578,-0.0509,0.282
0.822687,0.3129,0.1220,-0.0102,0.336
0.823757,0.3129,0.1220,-0.0102,0.336
0.843042,0.4426,0.0209,0.0396,0.445
0.844649,0.4426,0.0209,0.0396,0.445
0.862827,0.3790,0.0376,0.1578,0.412
0.864664,0.3790,0.0376,0.1578,0.412
0.882939,0.2169,0.1337,0.2388,0.349
0.884325,0.2169,0.1337,0.2388,0.349
0.902239,0.0082,0.1744,0.1981,0.264
0.903233,0.0082,0.1744,0.1981,0.264
0.922421,-0.0555,0.1614,0.2019,0.264
0.924227,-0.0555,0.1614,0.2019,0.264
0.942979,0.0022,0.1112,0.2331,0.258
0.944572,0.0022,0.1112,0.2331,0.258
0.962535,0.0460,0.0638,0.1837,0.200
0.964315,0.0460,0.0638,0.1837,0.200
0.982872,-0.0471,0.0707,0.1855,0.204
0.985014,-0.0471,0.0707,0.1855,0.204
1.001900,-0.2628,0.1306,0.1424,0.326
1.003572,-0.2628,0.1306,0.1424,0.326
1.021899,-0.2345,0.1338,0.1590,0.313
1.023581,-0.2345,0.1338,0.1590,0.313
1.053193,-0.1848,0.0940,0.1950,0.285
1.055444,-0.1848,0.0940,0.1950,0.285
1.069881,-0.1485,0.2145,0.0078,0.261
1.071598,-0.1485,0.2145,0.0078,0.261
