time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009593,-0.0191,0.1908,0.0497,0.198
0.011185,-0.0191,0.1908,0.0497,0.198
0.013557,-0.0001,0.1455,0.1076,0.181
0.014943,-0.0001,0.1455,0.1076,0.181
0.022363,0.0190,0.1291,0.1036,0.167
0.023811,0.0190,0.1291,0.1036,0.167
0.041328,0.0748,0.1432,0.1435,0.216
0.042086,0.0748,0.1432,0.1435,0.216
0.068425,0.0432,0.1577,0.1296,0.209
0.070079,0.0432,0.1577,0.1296,0.209
0.091911,0.0586,0.1560,0.0705,0.181
0.093232,0.0586,0.1560,0.0705,0.181
0.105295,0.0076,0.1754,0.0792,0.193
0.106527,0.0076,0.1754,0.0792,0.193
0.122084,0.0335,0.2118,0.0961,0.235
0.123624,0.0335,0.2118,0.0961,0.235
0.143380,-0.0230,0.1862,0.1433,0.236
0.144809,-0.0230,0.1862,0.1433,0.236
0.161916,-0.0568,0.1505,0.1100,0.195
0.162961,-0.0568,0.1505,0.1100,0.195
0.181790,-0.0753,0.1450,0.0972,0.190
0.182865,-0.0753,0.1450,0.0972,0.190
0.205100,-0.0659,0.1723,0.1095,0.215
0.206632,-0.0659,0.1723,0.1095,0.215
0.221805,-0.0833,0.2085,0.1176,0.253
0.223102,-0.0833,0.2085,0.1176,0.253
0.249688,-0.0451,0.2104,0.1482,0.261
0.250917,-0.0451,0.2104,0.1482,0.261
0.261461,0.0214,0.1755,0.1095,0.208
0.262740,0.0214,0.1755,0.1095,0.208
0.281702,0.0656,0.1205,0.0396,0.143
0.282962,0.0656,0.1205,0.0396,0.143
0.301627,0.0539,0.1653,0.0075,0.174
0.303153,0.0539,0.1653,0.0075,0.174
0.321553,0.0215,0.2285,0.1108,0.255
0.322672,0.0215,0.2285,0.1108,0.255
0.342225,0.0023,0.3179,0.1127,0.337
0.344082,0.0023,0.3179,0.1127,0.337
0.363253,-0.0338,0.1935,0.1647,0.256
0.365026,-0.0338,0.1935,0.1647,0.256
0.384953,0.0462,0.1392,0.0724,0.164
0.386779,0.0462,0.1392,0.0724,0.164
0.402007,0.0720,0.0596,0.0833,0.125
0.404561,0.0720,0.0596,0.0833,0.125
0.421125,0.0377,0.1802,0.0779,0.200
0.422125,0.0377,0.1802,0.0779,0.200
0.442044,0.0855,0.3426,0.0327,0.355
0.443538,0.0855,0.3426,0.0327,0.355
0.461274,0.2127,0.3988,0.1176,0.467
0.462077,0.2127,0.3988,0.1176,0.467
0.487586,0.1918,0.3042,0.0504,0.363
0.489472,0.1918,0.3042,0.0504,0.363
0.501241,0.4754,0.0725,0.3503,0.595
0.502857,0.4754,0.0725,0.3503,0.595
0.533465,0.2456,-0.0955,0.5089,0.573
0.535303,0.2456,-0.0955,0.5089,0.573
0.543541,-0.1039,-0.1053,0.2152,0.261
0.545595,-0.1039,-0.1053,0.2152,0.261
0.560630,0.0901,0.1190,0.1761,0.231
0.562326,0.0901,0.1190,0.1761,0.231
0.582143,0.0713,0.3773,0.1461,0.411
0.583666,0.0713,0.3773,0.1461,0.411
0.605218,0.0654,0.2975,0.2573,0.399
0.606864,0.0654,0.2975,0.2573,0.399
0.621243,-0.0137,-0.0207,0.2409,0.242
0.622702,-0.0137,-0.0207,0.2409,0.242
0.650918,-0.1136,-0.0629,0.3201,0.345
0.653043,-0.1136,-0.0629,0.3201,0.345
0.661566,-0.0781,0.1444,0.3119,0.352
0.663260,-0.0781,0.1444,0.3119,0.352
0.681086,0.0189,0.4041,0.1209,0.422
0.682982,0.0189,0.4041,0.1209,0.422
0.701962,0.1454,0.2533,0.1836,0.345
0.703407,0.1454,0.2533,0.1836,0.345
0.721666,0.0297,-0.0431,0.2428,0.248
0.723777,0.0297,-0.0431,0.2428,0.248
0.741003,-0.2615,-0.0237,0.4240,0.499
0.742093,-0.2615,-0.0237,0.4240,0.499
0.760781,-0.3514,-0.1680,0.3649,0.534
0.762600,-0.3514,-0.1680,0.3649,0.534
0.786674,-0.2508,-0.0007,0.3445,0.426
0.788409,-0.2508,-0.0007,0.3445,0.426
0.801791,-0.0786,0.1021,0.1276,0.181
0.803502,-0.0786,0.1021,0.1276,0.181
0.820813,0.0470,0.0319,-0.2529,0.259
0.821832,0.0470,0.0319,-0.2529,0.259
0.841124,0.0139,0.0645,-0.5326,0.537
0.842918,0.0139,0.0645,-0.5326,0.537
0.859996,-0.1631,0.0759,-0.7985,0.818
0.862012,-0.1631,0.0759,-0.7985,0.818
0.880285,-0.8027,0.0220,-0.9114,1.215
0.881893,-0.8027,0.0220,-0.9114,1.215
0.899610,-0.9647,-0.1370,-0.4407,1.069
0.901491,-0.9647,-0.1370,-0.4407,1.069
0.928903,-0.7446,-0.1359,-0.2258,0.790
0.930566,-0.7446,-0.1359,-0.2258,0.790
0.940970,-0.5682,0.5486,-0.4449,0.906
0.942216,-0.5682,0.5486,-0.4449,0.906
0.960268,-0.3452,1.1382,-0.3662,1.245
0.962038,-0.3452,1.1382,-0.3662,1.245
0.982554,-0.8699,0.7433,-0.3560,1.198
0.984862,-0.8699,0.7433,-0.3560,1.198
1.000335,-1.1543,-0.0449,0.3880,1.219
1.002007,-1.1543,-0.0449,0.3880,1.219
1.019921,-1.0107,-0.4232,0.6109,1.254
1.022087,-1.0107,-0.4232,0.6109,1.254
1.040065,-0.9397,-0.5121,0.5047,1.183
1.042052,-0.9397,-0.5121,0.5047,1.183
1.061434,-0.6949,-0.3665,0.2443,0.823
1.063083,-0.6949,-0.3665,0.2443,0.823
1.079429,-0.5336,0.1847,0.1305,0.580
1.081323,-0.5336,0.1847,0.1305,0.580
1.099854,-0.4690,0.3044,0.1738,0.586
1.101583,-0.4690,0.3044,0.1738,0.586
1.119713,-0.3904,-0.1664,0.1570,0.453
1.121778,-0.3904,-0.1664,0.1570,0.453
1.139778,-0.5360,-0.2014,-0.0143,0.573
1.141654,-0.5360,-0.2014,-0.0143,0.573
1.159546,-0.7816,0.0078,-0.1135,0.790
1.161304,-0.7816,0.0078,-0.1135,0.790
1.187654,-0.6024,0.2766,-0.2571,0.711
1.189648,-0.6024,0.2766,-0.2571,0.711
1.216960,0.0257,0.1093,-0.4157,0.431
1.218408,0.0257,0.1093,-0.4157,0.431
1.219842,0.3924,-0.1321,-0.4614,0.620
1.220889,0.3924,-0.1321,-0.4614,0.620
1.239839,0.3528,-0.1413,-0.4398,0.581
1.241157,0.3528,-0.1413,-0.4398,0.581
1.259553,0.2724,-0.1525,-0.4151,0.519
1.261169,0.2724,-0.1525,-0.4151,0.519
1.279415,0.1699,-0.2067,-0.4790,0.549
1.280383,0.1699,-0.2067,-0.4790,0.549
1.299789,-0.1100,-0.1978,-0.2301,0.323
1.301080,-0.1100,-0.1978,-0.2301,0.323
1.319958,-0.7887,-0.1732,0.0922,0.813
1.321936,-0.7887,-0.1732,0.0922,0.813
1.345252,-1.1530,-0.1120,0.3417,1.208
1.347000,-1.1530,-0.1120,0.3417,1.208
1.359899,-1.0637,0.0550,0.3471,1.120
1.361883,-1.0637,0.0550,0.3471,1.120
1.379283,-0.8175,0.2293,0.1212,0.858
1.381234,-0.8175,0.2293,0.1212,0.858
1.399346,-0.6042,0.2508,0.0136,0.654
1.401155,-0.6042,0.2508,0.0136,0.654
1.419895,-0.5702,0.1460,0.0338,0.590
1.422969,-0.5702,0.1460,0.0338,0.590
1.439307,-0.7702,0.5854,0.1998,0.988
1.440825,-0.7702,0.5854,0.1998,0.988
1.459705,-0.9100,1.4534,0.5043,1.787
1.461702,-0.9100,1.4534,0.5043,1.787
1.483460,-0.9058,1.9285,0.7545,2.260
1.485230,-0.9058,1.9285,0.7545,2.260
1.498889,-0.9686,2.0066,1.0295,2.454
1.501438,-0.9686,2.0066,1.0295,2.454
1.519658,-1.0666,2.2573,0.6633,2.583
1.521877,-1.0666,2.2573,0.6633,2.583
1.539453,-1.2310,2.8960,0.6262,3.208
1.541541,-1.2310,2.8960,0.6262,3.208
1.559543,-0.8123,3.3141,2.1589,4.038
1.561356,-0.8123,3.3141,2.1589,4.038
1.578901,-1.1774,3.0741,1.7321,3.720
1.580607,-1.1774,3.0741,1.7321,3.720
1.604258,1.0210,3.7749,-1.3928,4.151
1.607418,1.0210,3.7749,-1.3928,4.151
