time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010614,0.0141,0.1714,-0.0850,0.192
0.011478,0.0141,0.1714,-0.0850,0.192
0.031195,-0.0174,0.1519,-0.0356,0.157
0.032846,-0.0174,0.1519,-0.0356,0.157
0.052018,-0.0292,0.1657,-0.0185,0.169
0.053807,-0.0292,0.1657,-0.0185,0.169
0.083112,-0.0354,0.1323,0.0062,0.137
0.084894,-0.0354,0.1323,0.0062,0.137
0.106138,-0.0077,0.1561,0.0385,0.161
0.107022,-0.0077,0.1561,0.0385,0.161
0.115565,-0.0425,0.1595,0.0497,0.172
0.117477,-0.0425,0.1595,0.0497,0.172
0.130676,-0.0289,0.1502,0.0618,0.165
0.131660,-0.0289,0.1502,0.0618,0.165
0.150840,0.0155,0.1589,0.0384,0.164
0.152895,0.0155,0.1589,0.0384,0.164
0.171088,0.0426,0.1397,0.0055,0.146
0.172308,0.0426,0.1397,0.0055,0.146
0.213360,0.1151,0.1499,-0.0645,0.200
0.214433,0.1151,0.1499,-0.0645,0.200
0.214794,0.0421,0.1713,-0.1073,0.207
0.215053,0.0421,0.1713,-0.1073,0.207
0.232537,0.0217,0.1783,-0.0410,0.184
0.233656,0.0217,0.1783,-0.0410,0.184
0.254188,0.0367,0.1615,0.0741,0.181
0.255479,0.0367,0.1615,0.0741,0.181
0.271227,0.0132,0.1099,0.1178,0.162
0.272421,0.0132,0.1099,0.1178,0.162
0.291362,-0.0118,0.1153,0.0781,0.140
0.293418,-0.0118,0.1153,0.0781,0.140
0.312335,-0.0371,0.1670,0.0522,0.179
0.313887,-0.0371,0.1670,0.0522,0.179
0.330879,0.0205,0.1745,-0.0062,0.176
0.332578,0.0205,0.1745,-0.0062,0.176
0.351133,0.0162,0.1478,0.0134,0.149
0.352224,0.0162,0.1478,0.0134,0.149
0.370665,0.0235,0.1511,0.0470,0.160
0.372792,0.0235,0.1511,0.0470,0.160
0.392433,0.0377,0.1244,0.0618,0.144
0.393692,0.0377,0.1244,0.0618,0.144
0.411266,0.0084,0.1328,0.0291,0.136
0.412842,0.0084,0.1328,0.0291,0.136
0.442356,0.0002,0.1691,-0.0070,0.169
0.443917,0.0002,0.1691,-0.0070,0.169
0.451288,-0.0256,0.1731,0.0033,0.175
0.452029,-0.0256,0.1731,0.0033,0.175
0.471089,0.0055,0.1370,0.0095,0.137
0.472064,0.0055,0.1370,0.0095,0.137
0.491441,0.0385,0.1109,-0.0085,0.118
0.492835,0.0385,0.1109,-0.0085,0.118
0.511687,0.0098,0.1471,0.0114,0.148
0.513728,0.0098,0.1471,0.0114,0.148
0.541288,-0.0001,0.1853,-0.0024,0.185
0.542821,-0.0001,0.1853,-0.0024,0.185
0.551033,0.0134,0.1594,-0.0197,0.161
0.552798,0.0134,0.1594,-0.0197,0.161
0.570629,0.0447,0.1492,-0.0175,0.157
0.571609,0.0447,0.1492,-0.0175,0.157
0.591250,0.0506,0.1369,0.0060,0.146
0.592585,0.0506,0.1369,0.0060,0.146
0.610748,0.0403,0.1399,0.0195,0.147
0.612057,0.0403,0.1399,0.0195,0.147
0.630819,0.0325,0.1401,0.0373,0.149
0.632104,0.0325,0.1401,0.0373,0.149
0.650496,0.0020,0.1452,0.0270,0.148
0.651964,0.0020,0.1452,0.0270,0.148
0.671297,0.0115,0.1576,0.0250,0.160
0.672727,0.0115,0.1576,0.0250,0.160
0.694708,0.0113,0.1526,0.0249,0.155
0.695873,0.0113,0.1526,0.0249,0.155
0.710740,0.0016,0.1784,0.0071,0.179
0.711488,0.0016,0.1784,0.0071,0.179
0.730633,0.0089,0.1423,-0.0197,0.144
0.731912,0.0089,0.1423,-0.0197,0.144
0.753374,-0.0103,0.1781,0.0181,0.179
0.754929,-0.0103,0.1781,0.0181,0.179
0.769651,-0.0294,0.1731,0.0351,0.179
0.770453,-0.0294,0.1731,0.0351,0.179
0.792931,0.0066,0.1592,0.0203,0.161
0.794709,0.0066,0.1592,0.0203,0.161
0.811505,0.0357,0.1043,0.0467,0.120
0.812876,0.0357,0.1043,0.0467,0.120
0.830248,0.0391,0.1425,0.0211,0.149
0.831069,0.0391,0.1425,0.0211,0.149
0.849826,0.0026,0.1738,0.0479,0.180
0.851197,0.0026,0.1738,0.0479,0.180
0.870174,-0.0065,0.1411,0.0974,0.172
0.871040,-0.0065,0.1411,0.0974,0.172
0.894261,-0.0217,0.1536,0.1205,0.196
0.895963,-0.0217,0.1536,0.1205,0.196
0.915965,0.0065,0.1630,0.0726,0.179
0.917303,0.0065,0.1630,0.0726,0.179
0.930500,0.0730,0.1353,-0.0301,0.157
0.931344,0.0730,0.1353,-0.0301,0.157
0.949270,-0.0035,0.1682,-0.1047,0.198
0.950899,-0.0035,0.1682,-0.1047,0.198
0.969223,-0.0339,0.2158,-0.0528,0.225
0.970010,-0.0339,0.2158,-0.0528,0.225
0.994198,0.0105,0.1534,0.0418,0.159
0.996303,0.0105,0.1534,0.0418,0.159
1.017726,0.0539,0.1505,0.1062,0.192
1.019088,0.0539,0.1505,0.1062,0.192
1.029956,-0.0065,0.1229,0.0842,0.149
1.030745,-0.0065,0.1229,0.0842,0.149
1.049161,-0.0445,0.1634,-0.0123,0.170
1.050977,-0.0445,0.1634,-0.0123,0.170
1.069552,-0.0244,0.1806,-0.0294,0.185
1.070814,-0.0244,0.1806,-0.0294,0.185
1.089523,0.0295,0.1905,-0.0294,0.195
1.091120,0.0295,0.1905,-0.0294,0.195
1.114373,0.0082,0.1353,-0.0070,0.136
1.116429,0.0082,0.1353,-0.0070,0.136
1.137019,0.0496,0.1373,0.0531,0.155
1.138030,0.0496,0.1373,0.0531,0.155
1.149679,-0.0046,0.1203,0.0618,0.135
1.150648,-0.0046,0.1203,0.0618,0.135
1.169215,-0.0276,0.1514,-0.0012,0.154
1.169961,-0.0276,0.1514,-0.0012,0.154
1.189279,-0.0263,0.1820,-0.0307,0.186
1.190669,-0.0263,0.1820,-0.0307,0.186
1.209880,0.0198,0.1535,-0.0336,0.158
1.211258,0.0198,0.1535,-0.0336,0.158
1.230164,0.0361,0.1339,-0.0024,0.139
1.231539,0.0361,0.1339,-0.0024,0.139
1.249516,0.0200,0.1338,0.0133,0.136
1.250857,0.0200,0.1338,0.0133,0.136
1.269696,0.0150,0.1481,0.0373,0.154
1.270475,0.0150,0.1481,0.0373,0.154
1.288952,0.0004,0.1536,0.0189,0.155
1.290544,0.0004,0.1536,0.0189,0.155
1.308853,0.0362,0.1626,-0.0531,0.175
1.310154,0.0362,0.1626,-0.0531,0.175
1.330284,0.0266,0.1701,-0.0497,0.179
1.331651,0.0266,0.1701,-0.0497,0.179
1.348759,0.0140,0.1615,-0.0593,0.173
1.350273,0.0140,0.1615,-0.0593,0.173
1.368356,0.0455,0.1732,-0.0346,0.182
1.369536,0.0455,0.1732,-0.0346,0.182
1.388619,0.0377,0.1421,-0.0383,0.152
1.390255,0.0377,0.1421,-0.0383,0.152
1.409827,0.0235,0.1521,0.0047,0.154
1.411080,0.0235,0.1521,0.0047,0.154
1.428259,0.0515,0.1450,-0.0027,0.154
1.430037,0.0515,0.1450,-0.0027,0.154
1.448726,0.0235,0.1417,-0.0173,0.145
1.450192,0.0235,0.1417,-0.0173,0.145
1.468173,-0.0206,0.1793,-0.0237,0.182
1.470129,-0.0206,0.1793,-0.0237,0.182
1.488573,-0.0543,0.1600,0.0069,0.169
1.489790,-0.0543,0.1600,0.0069,0.169
1.508805,-0.0583,0.1407,-0.0185,0.153
1.510115,-0.0583,0.1407,-0.0185,0.153
1.528290,-0.0197,0.1454,-0.0264,0.149
1.529927,-0.0197,0.1454,-0.0264,0.149
1.548879,0.0071,0.1449,-0.0134,0.146
1.550623,0.0071,0.1449,-0.0134,0.146
1.568251,0.0058,0.1464,-0.0403,0.152
1.569274,0.0058,0.1464,-0.0403,0.152
1.588160,0.0091,0.1699,-0.0172,0.171
1.589734,0.0091,0.1699,-0.0172,0.171
1.608981,0.0113,0.1316,0.0731,0.151
1.610297,0.0113,0.1316,0.0731,0.151
1.628152,0.0186,0.1096,0.0901,0.143
1.629770,0.0186,0.1096,0.0901,0.143
1.648068,0.0592,0.1628,0.0228,0.175
1.650027,0.0592,0.1628,0.0228,0.175
1.667564,0.1073,0.1421,-0.0424,0.183
1.669929,0.1073,0.1421,-0.0424,0.183
1.687930,0.0103,0.1922,-0.1008,0.217
1.689319,0.0103,0.1922,-0.1008,0.217
1.707793,-0.0594,0.1748,-0.0334,0.188
1.709391,-0.0594,0.1748,-0.0334,0.188
1.727888,0.0272,0.1674,0.1088,0.201
1.729455,0.0272,0.1674,0.1088,0.201
1.747600,0.0467,0.0952,0.0845,0.136
1.749490,0.0467,0.0952,0.0845,0.136
1.767878,0.0552,0.0935,0.0472,0.118
1.769969,0.0552,0.0935,0.0472,0.118
1.787598,-0.0308,0.1578,-0.0082,0.161
1.788818,-0.0308,0.1578,-0.0082,0.161
1.807771,-0.1787,0.2058,-0.0745,0.283
1.809245,-0.1787,0.2058,-0.0745,0.283
1.835841,0.0051,0.2034,-0.0869,0.221
1.837197,0.0051,0.2034,-0.0869,0.221
1.847826,0.0313,0.1478,-0.0491,0.159
1.849611,0.0313,0.1478,-0.0491,0.159
1.867307,0.0545,0.1207,0.0207,0.134
1.869220,0.0545,0.1207,0.0207,0.134
1.887867,-0.0206,0.1238,0.0545,0.137
1.888630,-0.0206,0.1238,0.0545,0.137
1.907541,-0.0353,0.1789,0.0600,0.192
1.909660,-0.0353,0.1789,0.0600,0.192
1.935312,0.0852,0.1408,0.0026,0.165
1.936975,0.0852,0.1408,0.0026,0.165
1.948878,0.0915,0.1497,0.0339,0.179
1.950435,0.0915,0.1497,0.0339,0.179
1.967273,0.0714,0.1426,-0.0001,0.159
1.968808,0.0714,0.1426,-0.0001,0.159
1.988177,0.0564,0.1478,0.0339,0.162
1.989262,0.0564,0.1478,0.0339,0.162
2.009965,-0.0215,0.1552,0.0062,0.157
2.012092,-0.0215,0.1552,0.0062,0.157
2.038397,-0.0322,0.1363,-0.0075,0.140
2.039878,-0.0322,0.1363,-0.0075,0.140
2.047965,-0.0072,0.1621,0.0356,0.166
2.048923,-0.0072,0.1621,0.0356,0.166
2.067033,0.0108,0.1526,0.0346,0.157
2.068256,0.0108,0.1526,0.0346,0.157
2.087053,-0.0059,0.1562,0.0061,0.156
2.087782,-0.0059,0.1562,0.0061,0.156
2.110398,0.0011,0.1594,-0.0127,0.160
