time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004106,0.0672,0.2297,-0.1301,0.272
0.004829,0.0672,0.2297,-0.1301,0.272
0.016003,0.0285,0.1471,-0.0719,0.166
0.017194,0.0285,0.1471,-0.0719,0.166
0.036840,0.0157,0.2218,-0.0387,0.226
0.037957,0.0157,0.2218,-0.0387,0.226
0.065066,0.0152,0.1636,-0.0335,0.168
0.066265,0.0152,0.1636,-0.0335,0.168
0.075751,0.0043,0.1395,-0.0557,0.150
0.076714,0.0043,0.1395,-0.0557,0.150
0.101114,-0.0091,0.1323,-0.0120,0.133
0.101970,-0.0091,0.1323,-0.0120,0.133
0.115813,0.0143,0.1200,-0.0398,0.127
0.117287,0.0143,0.1200,-0.0398,0.127
0.149146,0.0194,0.1506,-0.1319,0.201
0.150244,0.0194,0.1506,-0.1319,0.201
0.155613,0.0379,0.1215,-0.1146,0.171
0.156747,0.0379,0.1215,-0.1146,0.171
0.177059,0.0617,0.1438,-0.1364,0.208
0.178012,0.0617,0.1438,-0.1364,0.208
0.195430,0.0962,0.1222,-0.1369,0.207
0.197080,0.0962,0.1222,-0.1369,0.207
0.215851,0.0856,0.1106,-0.0476,0.148
0.217220,0.0856,0.1106,-0.0476,0.148
0.247454,-0.0020,0.1269,0.0851,0.153
0.248291,-0.0020,0.1269,0.0851,0.153
0.255348,-0.0528,0.0806,0.0911,0.133
0.256484,-0.0528,0.0806,0.0911,0.133
0.275178,-0.0782,0.1397,0.0053,0.160
0.276143,-0.0782,0.1397,0.0053,0.160
0.295035,-0.0123,0.1463,-0.1292,0.196
0.296465,-0.0123,0.1463,-0.1292,0.196
0.316310,-0.0224,0.1531,-0.1115,0.191
0.318003,-0.0224,0.1531,-0.1115,0.191
0.336102,-0.0386,0.1956,-0.0814,0.215
0.337539,-0.0386,0.1956,-0.0814,0.215
0.355147,0.0049,0.2119,-0.0744,0.225
0.356042,0.0049,0.2119,-0.0744,0.225
0.383871,0.0134,0.1944,-0.0350,0.198
0.385372,0.0134,0.1944,-0.0350,0.198
0.395380,-0.0710,0.2040,0.0292,0.218
0.396071,-0.0710,0.2040,0.0292,0.218
0.415278,-0.1223,0.1913,-0.0077,0.227
0.416717,-0.1223,0.1913,-0.0077,0.227
0.437833,-0.1203,0.1545,0.0201,0.197
0.439364,-0.1203,0.1545,0.0201,0.197
0.454958,-0.1128,0.1654,-0.0326,0.203
0.455836,-0.1128,0.1654,-0.0326,0.203
0.477964,-0.1047,0.1573,0.0201,0.190
0.478883,-0.1047,0.1573,0.0201,0.190
0.495138,-0.0493,0.1241,0.0420,0.140
0.496361,-0.0493,0.1241,0.0420,0.140
0.514682,-0.0174,0.1330,0.0460,0.142
0.516001,-0.0174,0.1330,0.0460,0.142
0.535119,0.0106,0.1699,-0.0227,0.172
0.535947,0.0106,0.1699,-0.0227,0.172
0.555272,-0.0243,0.1648,-0.0692,0.180
0.556853,-0.0243,0.1648,-0.0692,0.180
0.574630,0.0181,0.1320,-0.0737,0.152
0.576050,0.0181,0.1320,-0.0737,0.152
0.594984,0.0831,0.1365,-0.0691,0.174
0.596163,0.0831,0.1365,-0.0691,0.174
0.615030,0.1186,0.1604,-0.0676,0.211
0.616285,0.1186,0.1604,-0.0676,0.211
0.634660,0.0928,0.1915,-0.0537,0.219
0.635550,0.0928,0.1915,-0.0537,0.219
0.654074,0.0522,0.1486,0.0052,0.158
0.655577,0.0522,0.1486,0.0052,0.158
0.674329,0.0737,0.0796,-0.0416,0.116
0.675703,0.0737,0.0796,-0.0416,0.116
0.694171,0.1085,0.1276,-0.0813,0.186
0.695329,0.1085,0.1276,-0.0813,0.186
0.714583,0.1058,0.1728,-0.0447,0.208
0.715959,0.1058,0.1728,-0.0447,0.208
0.735129,0.0953,0.1524,-0.0405,0.184
0.736002,0.0953,0.1524,-0.0405,0.184
0.754299,0.0515,0.1362,0.0273,0.148
0.755571,0.0515,0.1362,0.0273,0.148
0.784708,0.0686,0.1631,-0.0097,0.177
0.786023,0.0686,0.1631,-0.0097,0.177
0.794928,0.0782,0.1619,-0.0411,0.184
0.796152,0.0782,0.1619,-0.0411,0.184
0.815771,0.0642,0.1165,-0.0149,0.134
0.817563,0.0642,0.1165,-0.0149,0.134
0.834617,0.0889,0.1581,-0.0565,0.190
0.835399,0.0889,0.1581,-0.0565,0.190
0.859315,0.0072,0.1537,-0.0002,0.154
0.860745,0.0072,0.1537,-0.0002,0.154
0.887412,-0.0062,0.1643,0.0572,0.174
0.888903,-0.0062,0.1643,0.0572,0.174
0.894810,-0.0198,0.1837,-0.0190,0.186
0.895730,-0.0198,0.1837,-0.0190,0.186
0.914288,0.0607,0.1599,-0.0366,0.175
0.915530,0.0607,0.1599,-0.0366,0.175
0.933796,0.0142,0.1259,0.0423,0.134
0.934666,0.0142,0.1259,0.0423,0.134
0.954091,-0.0059,0.1620,0.0304,0.165
0.955554,-0.0059,0.1620,0.0304,0.165
0.974054,-0.0273,0.1741,-0.0457,0.182
0.975075,-0.0273,0.1741,-0.0457,0.182
0.994406,-0.0264,0.1529,-0.0103,0.156
0.995732,-0.0264,0.1529,-0.0103,0.156
1.014042,-0.0081,0.1016,0.0214,0.104
1.015272,-0.0081,0.1016,0.0214,0.104
1.034148,-0.0261,0.1333,-0.0120,0.136
1.034908,-0.0261,0.1333,-0.0120,0.136
1.054069,0.0288,0.1661,-0.0022,0.169
1.055337,0.0288,0.1661,-0.0022,0.169
1.073661,0.0099,0.1209,-0.0190,0.123
1.074788,0.0099,0.1209,-0.0190,0.123
1.094502,0.0461,0.1588,-0.0519,0.173
1.095976,0.0461,0.1588,-0.0519,0.173
1.114325,0.0277,0.1587,-0.0624,0.173
1.115683,0.0277,0.1587,-0.0624,0.173
1.133737,0.0714,0.1825,-0.0434,0.201
1.134535,0.0714,0.1825,-0.0434,0.201
1.153796,0.0710,0.1445,-0.0422,0.166
1.155316,0.0710,0.1445,-0.0422,0.166
1.173555,0.0568,0.1636,-0.0216,0.174
1.174642,0.0568,0.1636,-0.0216,0.174
1.194202,0.0508,0.1469,-0.0274,0.158
1.195684,0.0508,0.1469,-0.0274,0.158
1.213567,0.0477,0.1451,0.0026,0.153
1.215010,0.0477,0.1451,0.0026,0.153
1.233062,0.0455,0.1423,0.0353,0.154
1.234033,0.0455,0.1423,0.0353,0.154
1.253873,0.0338,0.0994,0.0434,0.114
1.255400,0.0338,0.0994,0.0434,0.114
1.273311,-0.0015,0.1456,-0.0252,0.148
1.274517,-0.0015,0.1456,-0.0252,0.148
1.294387,0.0127,0.1309,0.0049,0.132
1.295740,0.0127,0.1309,0.0049,0.132
1.313538,0.0524,0.1262,0.0516,0.146
1.314978,0.0524,0.1262,0.0516,0.146
1.333429,0.0362,0.1267,0.0634,0.146
1.334329,0.0362,0.1267,0.0634,0.146
1.353531,-0.0152,0.1321,0.0237,0.135
1.354906,-0.0152,0.1321,0.0237,0.135
1.373411,0.0034,0.1204,0.0108,0.121
1.375125,0.0034,0.1204,0.0108,0.121
1.394263,-0.0208,0.1184,0.0454,0.129
1.395632,-0.0208,0.1184,0.0454,0.129
1.413229,-0.0222,0.1564,0.0423,0.164
1.415984,-0.0222,0.1564,0.0423,0.164
1.433083,-0.0134,0.1684,0.0522,0.177
1.434062,-0.0134,0.1684,0.0522,0.177
1.453418,-0.0127,0.1803,0.0229,0.182
1.454920,-0.0127,0.1803,0.0229,0.182
1.473231,-0.0447,0.1970,0.0183,0.203
1.474702,-0.0447,0.1970,0.0183,0.203
1.493010,-0.0400,0.1346,-0.0023,0.140
1.495433,-0.0400,0.1346,-0.0023,0.140
1.513046,-0.0045,0.1262,0.0306,0.130
1.514888,-0.0045,0.1262,0.0306,0.130
1.532902,-0.0291,0.1498,0.0093,0.153
1.533908,-0.0291,0.1498,0.0093,0.153
1.553092,-0.0523,0.1334,0.0406,0.149
1.554290,-0.0523,0.1334,0.0406,0.149
1.575675,-0.0551,0.1569,0.0411,0.171
1.576903,-0.0551,0.1569,0.0411,0.171
1.593499,-0.0112,0.1485,0.0510,0.157
1.595107,-0.0112,0.1485,0.0510,0.157
1.613826,-0.0468,0.1531,0.0414,0.165
1.615949,-0.0468,0.1531,0.0414,0.165
1.633061,-0.0591,0.1505,-0.0142,0.162
1.635776,-0.0591,0.1505,-0.0142,0.162
1.652701,-0.0818,0.1637,0.0049,0.183
1.654243,-0.0818,0.1637,0.0049,0.183
1.679334,-0.0611,0.1438,-0.0125,0.157
1.680724,-0.0611,0.1438,-0.0125,0.157
1.693621,-0.0342,0.1570,-0.0485,0.168
1.695420,-0.0342,0.1570,-0.0485,0.168
