time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004757,0.0381,0.2053,0.1565,0.261
0.005435,0.0381,0.2053,0.1565,0.261
0.005807,0.0273,0.1957,0.1800,0.267
0.006037,0.0273,0.1957,0.1800,0.267
0.037760,0.1202,0.1103,0.2082,0.264
0.038885,0.1202,0.1103,0.2082,0.264
0.043598,0.0884,-0.0206,0.1999,0.220
0.044601,0.0884,-0.0206,0.1999,0.220
0.063245,0.1059,0.0245,0.1800,0.210
0.064219,0.1059,0.0245,0.1800,0.210
0.087517,0.1367,0.1541,0.1486,0.254
0.088346,0.1367,0.1541,0.1486,0.254
0.104289,0.0922,0.3227,0.1585,0.371
0.105222,0.0922,0.3227,0.1585,0.371
0.128854,0.1043,0.3749,0.1962,0.436
0.129758,0.1043,0.3749,0.1962,0.436
0.147573,0.0235,0.2904,0.1810,0.343
0.149265,0.0235,0.2904,0.1810,0.343
0.162920,-0.0568,0.1144,0.3018,0.328
0.164661,-0.0568,0.1144,0.3018,0.328
0.182774,-0.0047,-0.0570,0.2820,0.288
0.184105,-0.0047,-0.0570,0.2820,0.288
0.204273,-0.0223,0.0317,0.2293,0.233
0.205447,-0.0223,0.0317,0.2293,0.233
0.244008,-0.0141,-0.0133,0.1765,0.178
0.244962,-0.0141,-0.0133,0.1765,0.178
0.245476,-0.0305,0.1927,0.1502,0.246
0.246255,-0.0305,0.1927,0.1502,0.246
0.263291,-0.1103,0.3746,0.1543,0.420
0.264400,-0.1103,0.3746,0.1543,0.420
0.283105,-0.1682,0.2710,0.1633,0.358
0.284218,-0.1682,0.2710,0.1633,0.358
0.303240,-0.1164,0.1606,0.1321,0.238
0.304592,-0.1164,0.1606,0.1321,0.238
0.323863,-0.0996,0.0233,0.1757,0.203
0.325791,-0.0996,0.0233,0.1757,0.203
0.342848,-0.0308,0.0809,0.0722,0.113
0.344652,-0.0308,0.0809,0.0722,0.113
0.362533,0.0042,0.2627,0.0316,0.265
0.363358,0.0042,0.2627,0.0316,0.265
0.385395,-0.0894,0.2070,0.1142,0.253
0.386898,-0.0894,0.2070,0.1142,0.253
0.402836,-0.0728,0.1727,0.1225,0.224
0.404506,-0.0728,0.1727,0.1225,0.224
0.423865,-0.1055,0.1568,0.1130,0.220
0.425260,-0.1055,0.1568,0.1130,0.220
0.442633,-0.1293,0.1333,0.0585,0.195
0.444114,-0.1293,0.1333,0.0585,0.195
0.462634,-0.1382,0.1398,-0.0191,0.198
0.464471,-0.1382,0.1398,-0.0191,0.198
0.483531,-0.2003,0.0993,-0.0110,0.224
0.485040,-0.2003,0.0993,-0.0110,0.224
0.501929,-0.1067,0.3834,-0.1142,0.414
0.502771,-0.1067,0.3834,-0.1142,0.414
0.521958,-0.1472,0.6045,-0.1311,0.636
0.524189,-0.1472,0.6045,-0.1311,0.636
0.541962,-0.2140,0.2895,-0.1559,0.392
0.543591,-0.2140,0.2895,-0.1559,0.392
0.569236,0.0474,-0.0178,-0.0294,0.059
0.571020,0.0474,-0.0178,-0.0294,0.059
0.582106,0.0856,-0.1992,-0.0772,0.230
0.583422,0.0856,-0.1992,-0.0772,0.230
0.602006,0.0169,-0.1234,-0.1052,0.163
0.603386,0.0169,-0.1234,-0.1052,0.163
0.622029,0.0135,0.0304,-0.2197,0.222
0.623395,0.0135,0.0304,-0.2197,0.222
0.641826,0.0247,0.1788,-0.2530,0.311
0.642714,0.0247,0.1788,-0.2530,0.311
0.666636,0.0324,0.2018,-0.2106,0.293
0.668225,0.0324,0.2018,-0.2106,0.293
0.681901,-0.3217,0.2805,-0.2042,0.473
0.683198,-0.3217,0.2805,-0.2042,0.473
0.702076,-0.8927,0.3549,-0.5401,1.102
0.703873,-0.8927,0.3549,-0.5401,1.102
0.721648,-1.4995,0.4127,-0.6078,1.670
0.723105,-1.4995,0.4127,-0.6078,1.670
0.741613,-1.1102,0.5579,-0.5717,1.368
0.743065,-1.1102,0.5579,-0.5717,1.368
0.762173,0.3175,0.5978,-0.2342,0.716
0.763909,0.3175,0.5978,-0.2342,0.716
0.781782,1.5676,0.6693,-0.2872,1.729
0.782737,1.5676,0.6693,-0.2872,1.729
0.805307,2.1058,0.4498,-0.6276,2.243
0.807261,2.1058,0.4498,-0.6276,2.243
0.821325,1.5999,0.0982,-0.6125,1.716
0.822586,1.5999,0.0982,-0.6125,1.716
0.861043,0.6696,0.0160,-0.4373,0.800
0.862685,0.6696,0.0160,-0.4373,0.800
0.863196,-0.1796,0.0897,-0.3305,0.387
0.863592,-0.1796,0.0897,-0.3305,0.387
0.881234,-0.6405,0.1597,-0.3376,0.741
0.883692,-0.6405,0.1597,-0.3376,0.741
0.901144,-0.7063,0.3203,-0.3108,0.836
0.902727,-0.7063,0.3203,-0.3108,0.836
0.921382,-0.5071,0.3589,-0.2363,0.665
0.922687,-0.5071,0.3589,-0.2363,0.665
0.947297,-0.3890,0.4369,-0.0972,0.593
0.950369,-0.3890,0.4369,-0.0972,0.593
0.960771,-0.3272,0.4655,0.0393,0.570
0.962061,-0.3272,0.4655,0.0393,0.570
0.980965,-0.4704,0.5912,0.0879,0.761
0.982539,-0.4704,0.5912,0.0879,0.761
1.002886,-0.6608,0.5008,-0.0703,0.832
1.005076,-0.6608,0.5008,-0.0703,0.832
1.020484,-0.6618,0.4232,-0.0738,0.789
1.021206,-0.6618,0.4232,-0.0738,0.789
1.041097,-0.4720,0.4040,-0.2962,0.688
1.042751,-0.4720,0.4040,-0.2962,0.688
1.060386,-0.2265,0.5337,-0.3576,0.681
1.061092,-0.2265,0.5337,-0.3576,0.681
1.082736,-0.2726,0.5095,-0.3080,0.655
1.084801,-0.2726,0.5095,-0.3080,0.655
1.101972,-0.5403,0.4679,-0.1550,0.731
1.103343,-0.5403,0.4679,-0.1550,0.731
1.120879,-0.8274,0.7034,-0.0724,1.088
1.122931,-0.8274,0.7034,-0.0724,1.088
1.140422,-0.6075,0.8148,-0.0797,1.020
1.142222,-0.6075,0.8148,-0.0797,1.020
1.160810,-0.0345,0.6765,0.0229,0.678
1.162577,-0.0345,0.6765,0.0229,0.678
1.180906,0.3168,0.4643,0.3301,0.652
1.182603,0.3168,0.4643,0.3301,0.652
1.200055,0.0784,0.3271,0.6687,0.749
1.200776,0.0784,0.3271,0.6687,0.749
1.220390,0.2682,0.2764,0.2333,0.450
1.222174,0.2682,0.2764,0.2333,0.450
1.240118,-0.6650,1.3505,-0.5170,1.592
1.241179,-0.6650,1.3505,-0.5170,1.592
1.260454,-0.2797,2.4892,-0.4076,2.538
1.262538,-0.2797,2.4892,-0.4076,2.538
1.280700,1.1280,3.1026,-0.4375,3.330
1.282723,1.1280,3.1026,-0.4375,3.330
1.300069,2.1416,3.8537,-1.4790,4.650
1.302546,2.1416,3.8537,-1.4790,4.650
1.320098,2.9825,4.9336,-2.8007,6.409
1.322526,2.9825,4.9336,-2.8007,6.409
1.339920,6.8207,4.6843,-2.4552,8.631
1.342167,6.8207,4.6843,-2.4552,8.631
1.359658,5.3856,1.8561,-2.0106,6.041
1.360924,5.3856,1.8561,-2.0106,6.041
1.384610,2.8627,0.0622,-0.7574,2.962
1.389347,2.8627,0.0622,-0.7574,2.962
1.400794,1.5847,-0.0021,0.2532,1.605
1.401961,1.5847,-0.0021,0.2532,1.605
1.419708,0.5011,0.3913,1.1321,1.298
1.420898,0.5011,0.3913,1.1321,1.298
1.439777,-0.3300,0.1192,1.4877,1.528
1.441090,-0.3300,0.1192,1.4877,1.528
1.460650,-0.5894,0.0980,1.1217,1.271
1.462004,-0.5894,0.0980,1.1217,1.271
1.479338,-0.4995,0.3234,1.4087,1.529
1.479961,-0.4995,0.3234,1.4087,1.529
1.500060,-0.2642,0.2648,1.2124,1.269
1.501671,-0.2642,0.2648,1.2124,1.269
1.519797,-0.0382,-0.0659,0.5635,0.569
1.520980,-0.0382,-0.0659,0.5635,0.569
1.544447,0.5085,-0.2043,0.4468,0.707
1.545760,0.5085,-0.2043,0.4468,0.707
1.559773,1.0252,-0.5711,0.6013,1.319
1.561155,1.0252,-0.5711,0.6013,1.319
1.579053,1.4196,-1.4256,0.7928,2.162
