time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006288,0.3822,0.0979,0.1176,0.412
0.007321,0.3822,0.0979,0.1176,0.412
0.016903,0.2542,0.0820,0.1865,0.326
0.018336,0.2542,0.0820,0.1865,0.326
0.067614,0.1250,0.2093,0.2647,0.360
0.068352,0.1250,0.2093,0.2647,0.360
0.068724,0.1101,0.1776,0.2183,0.302
0.068955,0.1101,0.1776,0.2183,0.302
0.076506,-0.0759,0.0990,0.1994,0.235
0.077247,-0.0759,0.0990,0.1994,0.235
0.097181,-0.0584,0.1026,0.2577,0.283
0.098125,-0.0584,0.1026,0.2577,0.283
0.130663,-0.0246,0.1488,0.3199,0.354
0.131567,-0.0246,0.1488,0.3199,0.354
0.136329,-0.0717,0.2128,0.2401,0.329
0.137695,-0.0717,0.2128,0.2401,0.329
0.162167,0.0577,0.1697,0.2051,0.272
0.162934,0.0577,0.1697,0.2051,0.272
0.178606,0.1888,0.2071,0.2528,0.377
0.181091,0.1888,0.2071,0.2528,0.377
0.196058,0.1180,0.2564,0.1063,0.302
0.196882,0.1180,0.2564,0.1063,0.302
0.216276,0.0604,0.1893,0.1319,0.239
0.217004,0.0604,0.1893,0.1319,0.239
0.235733,0.0284,0.1130,0.1093,0.160
0.238009,0.0284,0.1130,0.1093,0.160
0.261218,0.0919,0.1890,0.1307,0.247
0.261846,0.0919,0.1890,0.1307,0.247
0.277296,0.1145,0.2146,0.2029,0.317
0.278380,0.1145,0.2146,0.2029,0.317
0.296034,0.1227,0.2036,0.2412,0.339
0.297954,0.1227,0.2036,0.2412,0.339
0.331994,0.1125,0.1834,0.2438,0.325
0.333856,0.1125,0.1834,0.2438,0.325
0.335993,0.1079,0.2024,0.2341,0.328
0.337496,0.1079,0.2024,0.2341,0.328
0.356550,0.1583,0.2028,0.2440,0.355
0.357590,0.1583,0.2028,0.2440,0.355
0.384530,0.1494,0.1428,0.2429,0.319
0.386127,0.1494,0.1428,0.2429,0.319
0.398310,0.1618,0.1408,0.2766,0.350
0.399090,0.1618,0.1408,0.2766,0.350
0.416757,0.1182,0.2097,0.1824,0.302
0.417596,0.1182,0.2097,0.1824,0.302
0.436666,0.0985,0.2428,0.1243,0.290
0.438240,0.0985,0.2428,0.1243,0.290
0.477045,0.0719,0.2381,0.1287,0.280
0.478653,0.0719,0.2381,0.1287,0.280
0.479420,0.0568,0.2023,0.1663,0.268
0.479986,0.0568,0.2023,0.1663,0.268
0.496759,0.0452,0.2056,0.2106,0.298
0.498674,0.0452,0.2056,0.2106,0.298
0.516622,0.0777,0.2004,0.2103,0.301
0.517620,0.0777,0.2004,0.2103,0.301
0.536960,0.0377,0.2367,0.1910,0.306
0.538501,0.0377,0.2367,0.1910,0.306
0.574927,0.0561,0.2086,0.1893,0.287
0.577191,0.0561,0.2086,0.1893,0.287
0.578219,0.0819,0.1861,0.1849,0.275
0.579122,0.0819,0.1861,0.1849,0.275
0.598048,0.1037,0.2076,0.1904,0.300
0.599487,0.1037,0.2076,0.1904,0.300
0.635057,0.0830,0.1613,0.2430,0.303
0.637346,0.0830,0.1613,0.2430,0.303
0.638514,0.0803,0.1950,0.2585,0.334
0.639524,0.0803,0.1950,0.2585,0.334
0.656768,0.0705,0.2067,0.2177,0.308
0.658203,0.0705,0.2067,0.2177,0.308
0.677439,0.0864,0.2052,0.2048,0.302
0.678585,0.0864,0.2052,0.2048,0.302
0.697712,0.0853,0.2057,0.2163,0.310
0.700368,0.0853,0.2057,0.2163,0.310
0.715880,0.0803,0.2002,0.2408,0.323
0.716931,0.0803,0.2002,0.2408,0.323
0.736396,0.0888,0.1816,0.1557,0.255
0.738177,0.0888,0.1816,0.1557,0.255
0.758359,0.0852,0.1264,0.2299,0.276
0.759742,0.0852,0.1264,0.2299,0.276
0.788110,0.0702,0.2322,0.2732,0.365
0.790002,0.0702,0.2322,0.2732,0.365
0.795889,0.0819,0.2975,0.1572,0.346
0.797081,0.0819,0.2975,0.1572,0.346
0.816682,0.0324,0.2318,0.1536,0.280
0.817675,0.0324,0.2318,0.1536,0.280
0.838015,0.0514,0.1081,0.2011,0.234
0.839763,0.0514,0.1081,0.2011,0.234
0.872530,0.0873,0.1410,0.1893,0.252
0.874220,0.0873,0.1410,0.1893,0.252
0.877659,0.0850,0.2123,0.2672,0.352
0.878459,0.0850,0.2123,0.2672,0.352
0.897809,0.0867,0.1929,0.2768,0.348
0.901367,0.0867,0.1929,0.2768,0.348
0.915342,0.0501,0.1777,0.2477,0.309
0.916955,0.0501,0.1777,0.2477,0.309
0.935242,0.0525,0.1834,0.2222,0.293
0.936326,0.0525,0.1834,0.2222,0.293
0.956847,0.0638,0.1762,0.2195,0.289
0.958414,0.0638,0.1762,0.2195,0.289
0.975847,0.0821,0.1898,0.2094,0.294
0.977632,0.0821,0.1898,0.2094,0.294
0.995230,0.0731,0.2049,0.2138,0.305
0.996747,0.0731,0.2049,0.2138,0.305
1.018167,0.0554,0.2235,0.1607,0.281
1.019121,0.0554,0.2235,0.1607,0.281
1.036528,0.1191,0.2366,0.1232,0.292
1.037431,0.1191,0.2366,0.1232,0.292
1.060680,0.1229,0.2068,0.1009,0.261
1.061899,0.1229,0.2068,0.1009,0.261
1.075763,0.1043,0.1746,0.1447,0.250
1.077398,0.1043,0.1746,0.1447,0.250
1.095329,0.0882,0.1786,0.2010,0.283
1.097343,0.0882,0.1786,0.2010,0.283
1.115221,0.1009,0.1368,0.2748,0.323
1.117456,0.1009,0.1368,0.2748,0.323
1.135089,0.1142,0.1415,0.2864,0.339
1.136497,0.1142,0.1415,0.2864,0.339
1.159667,0.1098,0.1894,0.2488,0.331
1.161099,0.1098,0.1894,0.2488,0.331
1.175601,0.0501,0.2057,0.1843,0.281
1.177430,0.0501,0.2057,0.1843,0.281
1.195574,0.0502,0.1809,0.2090,0.281
1.197016,0.0502,0.1809,0.2090,0.281
1.215769,0.0724,0.1713,0.2724,0.330
1.217153,0.0724,0.1713,0.2724,0.330
1.236995,0.1092,0.1630,0.2602,0.326
1.238147,0.1092,0.1630,0.2602,0.326
1.263823,0.0583,0.1846,0.1999,0.278
1.265400,0.0583,0.1846,0.1999,0.278
1.275365,0.0875,0.1935,0.1858,0.282
1.277695,0.0875,0.1935,0.1858,0.282
1.294883,0.1123,0.1775,0.2718,0.343
1.295941,0.1123,0.1775,0.2718,0.343
1.315075,0.0477,0.1882,0.2368,0.306
1.316018,0.0477,0.1882,0.2368,0.306
1.335386,0.1161,0.1704,0.1554,0.258
1.336506,0.1161,0.1704,0.1554,0.258
1.366396,0.0886,0.1582,0.2661,0.322
1.367886,0.0886,0.1582,0.2661,0.322
1.375019,0.1157,0.2471,0.2666,0.381
1.376894,0.1157,0.2471,0.2666,0.381
1.394488,0.0805,0.2813,0.1553,0.331
1.396734,0.0805,0.2813,0.1553,0.331
1.415077,0.0623,0.1972,0.1911,0.282
1.415932,0.0623,0.1972,0.1911,0.282
1.434827,0.0770,0.1264,0.2285,0.272
1.436353,0.0770,0.1264,0.2285,0.272
1.459965,0.0493,0.2036,0.2056,0.294
1.461499,0.0493,0.2036,0.2056,0.294
1.474584,0.1079,0.2485,0.2705,0.383
1.477827,0.1079,0.2485,0.2705,0.383
1.494426,0.1243,0.2050,0.2884,0.375
1.495954,0.1243,0.2050,0.2884,0.375
1.514441,0.0833,0.2041,0.2582,0.339
1.515971,0.0833,0.2041,0.2582,0.339
1.534456,0.0729,0.2375,0.2845,0.378
1.537660,0.0729,0.2375,0.2845,0.378
1.559887,0.0699,0.2285,0.1534,0.284
1.561455,0.0699,0.2285,0.1534,0.284
1.574158,0.0920,0.2031,0.1446,0.266
1.575602,0.0920,0.2031,0.1446,0.266
1.594057,0.0635,0.2770,0.1403,0.317
1.595561,0.0635,0.2770,0.1403,0.317
