time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007302,-0.0295,0.2104,-0.1572,0.264
0.007983,-0.0295,0.2104,-0.1572,0.264
0.025764,-0.0059,0.1506,-0.0258,0.153
0.026986,-0.0059,0.1506,-0.0258,0.153
0.056097,0.0450,0.1381,-0.0061,0.145
0.056880,0.0450,0.1381,-0.0061,0.145
0.057158,0.0350,0.1380,-0.0417,0.148
0.057396,0.0350,0.1380,-0.0417,0.148
0.075767,0.0179,0.1281,-0.0729,0.148
0.077709,0.0179,0.1281,-0.0729,0.148
0.097936,-0.0523,0.1501,-0.0256,0.161
0.098699,-0.0523,0.1501,-0.0256,0.161
0.116148,-0.0670,0.1422,-0.0326,0.161
0.117051,-0.0670,0.1422,-0.0326,0.161
0.136676,-0.0427,0.1161,-0.0556,0.136
0.137702,-0.0427,0.1161,-0.0556,0.136
0.161996,-0.0268,0.1113,0.0294,0.118
0.163542,-0.0268,0.1113,0.0294,0.118
0.177174,0.0289,0.1595,-0.0397,0.167
0.178229,0.0289,0.1595,-0.0397,0.167
0.196350,0.0367,0.1336,-0.0102,0.139
0.197472,0.0367,0.1336,-0.0102,0.139
0.216098,-0.0019,0.1355,-0.0422,0.142
0.217472,-0.0019,0.1355,-0.0422,0.142
0.236503,-0.0176,0.0723,0.1307,0.150
0.237560,-0.0176,0.0723,0.1307,0.150
0.256777,0.1140,0.0711,0.1497,0.201
0.257730,0.1140,0.0711,0.1497,0.201
0.275831,0.2444,0.1329,0.0822,0.290
0.276862,0.2444,0.1329,0.0822,0.290
0.296006,0.2335,0.1570,0.0235,0.282
0.297590,0.2335,0.1570,0.0235,0.282
0.315446,0.1690,0.1264,0.0343,0.214
0.317021,0.1690,0.1264,0.0343,0.214
0.336048,0.1485,0.1154,0.1014,0.214
0.337154,0.1485,0.1154,0.1014,0.214
0.355517,0.1380,0.1327,0.0827,0.209
0.357227,0.1380,0.1327,0.0827,0.209
0.375408,0.0934,0.1041,0.0004,0.140
0.379213,0.0934,0.1041,0.0004,0.140
0.396100,-0.0106,0.0875,-0.0118,0.089
0.397399,-0.0106,0.0875,-0.0118,0.089
0.415586,-0.0889,0.1288,0.0476,0.164
0.416646,-0.0889,0.1288,0.0476,0.164
0.445004,-0.0784,0.1533,0.0945,0.196
0.446316,-0.0784,0.1533,0.0945,0.196
0.455942,-0.1196,0.1060,0.0771,0.177
0.456721,-0.1196,0.1060,0.0771,0.177
0.476120,-0.1504,0.1016,-0.0014,0.182
0.477607,-0.1504,0.1016,-0.0014,0.182
0.495692,-0.1865,0.1051,0.0322,0.216
0.497197,-0.1865,0.1051,0.0322,0.216
0.515356,-0.1239,0.1008,0.1113,0.195
0.517000,-0.1239,0.1008,0.1113,0.195
