time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011492,-0.0927,0.2211,-0.1376,0.276
0.012701,-0.0927,0.2211,-0.1376,0.276
0.049893,-0.0382,0.0035,-0.0268,0.047
0.051052,-0.0382,0.0035,-0.0268,0.047
0.051643,0.0634,0.3467,-0.1487,0.383
0.052404,0.0634,0.3467,-0.1487,0.383
0.072660,-0.0790,0.6442,-0.1434,0.665
0.073504,-0.0790,0.6442,-0.1434,0.665
0.087841,-0.1090,0.4194,-0.0571,0.437
0.089227,-0.1090,0.4194,-0.0571,0.437
0.108049,-0.1363,0.0067,0.0889,0.163
0.109253,-0.1363,0.0067,0.0889,0.163
0.145134,-0.1159,-0.2172,0.1703,0.299
0.146046,-0.1159,-0.2172,0.1703,0.299
0.154148,-0.0245,-0.1238,0.0900,0.155
0.155635,-0.0245,-0.1238,0.0900,0.155
0.168615,0.1386,0.0434,0.0225,0.147
0.169763,0.1386,0.0434,0.0225,0.147
0.186425,0.0953,0.2217,-0.0836,0.255
0.187221,0.0953,0.2217,-0.0836,0.255
0.214924,-0.1163,0.3722,-0.0578,0.394
0.216619,-0.1163,0.3722,-0.0578,0.394
0.226298,0.0265,0.2211,0.0139,0.223
0.227482,0.0265,0.2211,0.0139,0.223
0.246253,-0.0484,0.1390,0.0323,0.151
0.247383,-0.0484,0.1390,0.0323,0.151
0.266426,-0.2863,0.1796,0.0278,0.339
0.267784,-0.2863,0.1796,0.0278,0.339
0.295681,-0.3586,0.2138,-0.0983,0.429
0.296833,-0.3586,0.2138,-0.0983,0.429
0.306462,-0.3536,0.4109,-0.0852,0.549
0.308097,-0.3536,0.4109,-0.0852,0.549
0.329064,-0.2478,0.3486,-0.1056,0.441
0.330302,-0.2478,0.3486,-0.1056,0.441
0.346335,-0.1238,0.0526,-0.0941,0.164
0.347765,-0.1238,0.0526,-0.0941,0.164
0.366335,-0.0443,0.0055,-0.0106,0.046
0.367800,-0.0443,0.0055,-0.0106,0.046
0.385992,-0.1346,0.1301,-0.1047,0.214
0.386775,-0.1346,0.1301,-0.1047,0.214
0.414694,-0.0777,0.2510,-0.2405,0.356
0.416564,-0.0777,0.2510,-0.2405,0.356
0.426815,-0.2126,0.2979,-0.2151,0.424
0.428086,-0.2126,0.2979,-0.2151,0.424
0.449461,-0.4461,0.3773,-0.1308,0.599
0.451162,-0.4461,0.3773,-0.1308,0.599
0.466853,-0.3573,0.3004,-0.0684,0.472
0.467668,-0.3573,0.3004,-0.0684,0.472
0.499965,-0.2576,-0.0075,-0.0451,0.262
0.501455,-0.2576,-0.0075,-0.0451,0.262
0.506070,-0.2046,0.0159,-0.0171,0.206
0.506855,-0.2046,0.0159,-0.0171,0.206
0.525950,-0.0584,0.2099,-0.0563,0.225
0.527288,-0.0584,0.2099,-0.0563,0.225
0.549086,0.1577,0.0938,-0.0829,0.201
0.551057,0.1577,0.0938,-0.0829,0.201
0.566304,0.4955,-0.1359,0.0922,0.522
0.567178,0.4955,-0.1359,0.0922,0.522
0.603609,0.6282,-0.2754,0.1226,0.697
0.605376,0.6282,-0.2754,0.1226,0.697
0.606379,0.6464,-0.4323,0.1107,0.785
0.607174,0.6464,-0.4323,0.1107,0.785
0.637434,0.4899,-0.2353,0.4211,0.688
0.639296,0.4899,-0.2353,0.4211,0.688
0.645510,0.3776,0.2499,0.5758,0.733
0.646994,0.3776,0.2499,0.5758,0.733
0.665916,0.4698,0.6623,0.6673,1.051
0.667463,0.4698,0.6623,0.6673,1.051
0.700718,0.3388,0.6904,0.7250,1.057
0.702250,0.3388,0.6904,0.7250,1.057
0.704797,-0.2165,0.4680,0.9552,1.085
0.705716,-0.2165,0.4680,0.9552,1.085
0.725844,-0.6501,0.0588,1.0783,1.261
0.727159,-0.6501,0.0588,1.0783,1.261
0.761384,-1.1728,-0.0728,1.2031,1.682
0.763056,-1.1728,-0.0728,1.2031,1.682
0.765682,-1.5001,0.2550,1.0278,1.836
0.766901,-1.5001,0.2550,1.0278,1.836
0.785693,-1.6796,0.9006,0.7693,2.055
0.787492,-1.6796,0.9006,0.7693,2.055
0.805252,-1.6303,1.0105,0.5207,1.988
0.807102,-1.6303,1.0105,0.5207,1.988
0.846527,-0.9642,0.3617,0.4425,1.121
0.848074,-0.9642,0.3617,0.4425,1.121
0.849008,0.0120,-0.5542,0.5196,0.760
0.850190,0.0120,-0.5542,0.5196,0.760
0.865082,0.6434,-1.1586,0.6376,1.471
0.866268,0.6434,-1.1586,0.6376,1.471
0.884933,0.6409,-1.1188,0.5414,1.398
0.886605,0.6409,-1.1188,0.5414,1.398
0.904806,0.3435,-0.8949,0.3512,1.021
0.905703,0.3435,-0.8949,0.3512,1.021
0.924769,0.1542,-0.9589,0.2500,1.003
0.925961,0.1542,-0.9589,0.2500,1.003
0.944906,0.0134,-1.2949,-0.0402,1.296
0.945832,0.0134,-1.2949,-0.0402,1.296
0.964909,-0.0613,-1.9688,0.1588,1.976
0.966695,-0.0613,-1.9688,0.1588,1.976
0.984424,-0.1305,-2.5920,0.0507,2.596
0.985559,-0.1305,-2.5920,0.0507,2.596
1.004520,-0.2563,-2.1008,-0.2570,2.132
1.005719,-0.2563,-2.1008,-0.2570,2.132
1.031060,-0.6817,-0.9405,-0.2390,1.186
1.032636,-0.6817,-0.9405,-0.2390,1.186
1.045414,-1.0603,-0.3510,-0.2882,1.153
1.048612,-1.0603,-0.3510,-0.2882,1.153
1.063925,-0.8050,-0.4113,-0.3168,0.958
1.065976,-0.8050,-0.4113,-0.3168,0.958
1.084559,-0.3250,-0.8170,0.1035,0.885
1.085573,-0.3250,-0.8170,0.1035,0.885
1.104034,-0.0382,-1.0883,-0.0378,1.090
1.105400,-0.0382,-1.0883,-0.0378,1.090
