time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004854,-0.0864,0.3111,0.0609,0.329
0.005447,-0.0864,0.3111,0.0609,0.329
0.023735,-0.3261,0.2764,0.2802,0.511
0.024554,-0.3261,0.2764,0.2802,0.511
0.049223,-0.3116,0.1782,0.1227,0.379
0.050253,-0.3116,0.1782,0.1227,0.379
0.058030,-0.0566,0.1421,-0.0462,0.160
0.059702,-0.0566,0.1421,-0.0462,0.160
0.077516,0.1527,0.1177,-0.0088,0.193
0.078316,0.1527,0.1177,-0.0088,0.193
0.097932,0.0838,0.1605,0.0372,0.185
0.098725,0.0838,0.1605,0.0372,0.185
0.129166,-0.0475,0.2155,0.0413,0.224
0.130530,-0.0475,0.2155,0.0413,0.224
0.137791,-0.0577,0.2011,-0.0386,0.213
0.140141,-0.0577,0.2011,-0.0386,0.213
0.157906,-0.0199,0.1835,0.0523,0.192
0.158599,-0.0199,0.1835,0.0523,0.192
0.177739,-0.0401,0.1740,0.0484,0.185
0.180106,-0.0401,0.1740,0.0484,0.185
0.197638,0.0198,0.1677,-0.0027,0.169
0.198409,0.0198,0.1677,-0.0027,0.169
0.217769,0.0059,0.1554,0.0138,0.156
0.218937,0.0059,0.1554,0.0138,0.156
0.237319,-0.0678,0.2341,0.0860,0.258
0.238509,-0.0678,0.2341,0.0860,0.258
0.259035,-0.0859,0.2192,0.0743,0.247
0.259773,-0.0859,0.2192,0.0743,0.247
0.277934,-0.0844,0.1962,0.0314,0.216
0.279126,-0.0844,0.1962,0.0314,0.216
0.297968,0.0509,0.1955,-0.0256,0.204
0.299435,0.0509,0.1955,-0.0256,0.204
0.318405,0.0106,0.2241,0.0559,0.231
0.319465,0.0106,0.2241,0.0559,0.231
0.337098,-0.0239,0.1598,0.1081,0.194
0.338475,-0.0239,0.1598,0.1081,0.194
0.357238,-0.0183,0.1356,0.0212,0.138
0.358530,-0.0183,0.1356,0.0212,0.138
0.392835,0.0579,0.1667,-0.0122,0.177
0.394141,0.0579,0.1667,-0.0122,0.177
0.396861,0.0705,0.2144,-0.0039,0.226
0.397517,0.0705,0.2144,-0.0039,0.226
0.418427,0.0703,0.1967,0.0172,0.210
0.419890,0.0703,0.1967,0.0172,0.210
0.437455,0.0249,0.1964,0.0560,0.206
0.439505,0.0249,0.1964,0.0560,0.206
0.457245,0.0236,0.1485,0.0130,0.151
0.458614,0.0236,0.1485,0.0130,0.151
0.497170,0.0985,0.1277,0.0130,0.162
0.498231,0.0985,0.1277,0.0130,0.162
0.498600,0.0813,0.1847,0.0636,0.212
0.498883,0.0813,0.1847,0.0636,0.212
0.516824,0.0154,0.2020,0.0900,0.222
0.517786,0.0154,0.2020,0.0900,0.222
0.537174,-0.0073,0.2023,0.0548,0.210
0.538773,-0.0073,0.2023,0.0548,0.210
0.557496,0.0013,0.1067,0.0875,0.138
0.559187,0.0013,0.1067,0.0875,0.138
0.577072,-0.0211,0.1572,0.0710,0.174
0.578273,-0.0211,0.1572,0.0710,0.174
0.597028,-0.0197,0.1681,0.0626,0.180
0.598789,-0.0197,0.1681,0.0626,0.180
0.617534,-0.0294,0.1949,0.0709,0.209
0.619068,-0.0294,0.1949,0.0709,0.209
0.638522,-0.0239,0.1982,0.0364,0.203
0.641040,-0.0239,0.1982,0.0364,0.203
0.656836,0.0205,0.1792,0.0417,0.185
0.659359,0.0205,0.1792,0.0417,0.185
0.676586,0.0314,0.1453,0.0693,0.164
0.677586,0.0314,0.1453,0.0693,0.164
0.695898,0.0713,0.1461,0.0499,0.170
0.697105,0.0713,0.1461,0.0499,0.170
0.716386,0.0470,0.1730,0.0236,0.181
0.717514,0.0470,0.1730,0.0236,0.181
0.741607,0.0530,0.1718,0.0514,0.187
0.743561,0.0530,0.1718,0.0514,0.187
0.755817,0.0176,0.1435,0.0724,0.162
0.756760,0.0176,0.1435,0.0724,0.162
0.776298,-0.0225,0.1589,0.1014,0.190
0.778012,-0.0225,0.1589,0.1014,0.190
0.795606,-0.0565,0.1811,0.0868,0.209
0.796518,-0.0565,0.1811,0.0868,0.209
0.815456,-0.0186,0.2125,0.0586,0.221
0.816392,-0.0186,0.2125,0.0586,0.221
0.840770,0.0065,0.2157,0.0205,0.217
0.842771,0.0065,0.2157,0.0205,0.217
0.855533,0.0381,0.1865,-0.0031,0.190
0.858808,0.0381,0.1865,-0.0031,0.190
0.876600,0.0434,0.1334,0.0389,0.146
0.877421,0.0434,0.1334,0.0389,0.146
0.895834,0.0316,0.1405,0.0329,0.148
0.897009,0.0316,0.1405,0.0329,0.148
0.915539,0.0026,0.2177,0.0655,0.227
0.916474,0.0026,0.2177,0.0655,0.227
0.936325,-0.0076,0.2129,-0.0295,0.215
0.937535,-0.0076,0.2129,-0.0295,0.215
0.956835,-0.0388,0.2604,-0.1139,0.287
0.957857,-0.0388,0.2604,-0.1139,0.287
0.975405,-0.0534,0.2232,-0.0031,0.230
0.977496,-0.0534,0.2232,-0.0031,0.230
0.995943,-0.0076,0.1461,0.0798,0.167
0.997220,-0.0076,0.1461,0.0798,0.167
1.015538,0.0263,0.0928,0.1103,0.146
1.016252,0.0263,0.0928,0.1103,0.146
1.039687,-0.0005,0.1360,0.0747,0.155
1.043429,-0.0005,0.1360,0.0747,0.155
1.064768,-0.0781,0.2490,0.0097,0.261
1.065808,-0.0781,0.2490,0.0097,0.261
1.076597,0.0181,0.2330,-0.0064,0.234
1.077990,0.0181,0.2330,-0.0064,0.234
1.095713,0.0864,0.1388,0.0298,0.166
1.097091,0.0864,0.1388,0.0298,0.166
1.116519,0.1368,0.1043,0.0598,0.182
1.118503,0.1368,0.1043,0.0598,0.182
1.135780,0.0916,0.1436,0.0542,0.179
1.136764,0.0916,0.1436,0.0542,0.179
1.158077,0.0283,0.2111,0.0417,0.217
1.159938,0.0283,0.2111,0.0417,0.217
1.180343,-0.0159,0.1942,0.0176,0.196
1.182279,-0.0159,0.1942,0.0176,0.196
1.195793,-0.0304,0.1956,0.0003,0.198
