time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004779,0.0861,0.1944,0.0052,0.213
0.006036,0.0861,0.1944,0.0052,0.213
0.028229,-0.0158,0.1487,0.0273,0.152
0.029506,-0.0158,0.1487,0.0273,0.152
0.039295,-0.0478,0.2118,0.0026,0.217
0.040422,-0.0478,0.2118,0.0026,0.217
0.055248,-0.0056,0.1943,0.0110,0.195
0.056427,-0.0056,0.1943,0.0110,0.195
0.075550,0.0085,0.1215,0.0102,0.122
0.076975,0.0085,0.1215,0.0102,0.122
0.105599,-0.0439,0.1036,0.0299,0.116
0.106701,-0.0439,0.1036,0.0299,0.116
0.114762,-0.0088,0.1966,0.0558,0.205
0.115951,-0.0088,0.1966,0.0558,0.205
0.134600,-0.0483,0.1978,0.0512,0.210
0.136099,-0.0483,0.1978,0.0512,0.210
0.154678,-0.0135,0.2181,0.0605,0.227
0.156229,-0.0135,0.2181,0.0605,0.227
0.174220,0.0123,0.2232,0.0793,0.237
0.176087,0.0123,0.2232,0.0793,0.237
0.194130,0.0553,0.1378,0.0910,0.174
0.195969,0.0553,0.1378,0.0910,0.174
0.222229,0.0037,0.1406,0.1391,0.198
0.223566,0.0037,0.1406,0.1391,0.198
0.234590,-0.0391,0.1299,0.0964,0.166
0.236151,-0.0391,0.1299,0.0964,0.166
0.254472,0.0104,0.1222,0.0484,0.132
0.255950,0.0104,0.1222,0.0484,0.132
0.273845,0.0107,0.1800,0.0987,0.206
0.274971,0.0107,0.1800,0.0987,0.206
0.294667,0.0052,0.1571,0.0803,0.176
0.299601,0.0052,0.1571,0.0803,0.176
0.314200,-0.0012,0.1610,0.1150,0.198
0.315741,-0.0012,0.1610,0.1150,0.198
0.334915,0.0414,0.1691,0.0634,0.185
0.336441,0.0414,0.1691,0.0634,0.185
0.354723,-0.0126,0.1461,0.0157,0.147
0.356412,-0.0126,0.1461,0.0157,0.147
0.374571,0.0076,0.2328,0.0313,0.235
0.375764,0.0076,0.2328,0.0313,0.235
0.395416,0.0639,0.2401,0.0533,0.254
0.396615,0.0639,0.2401,0.0533,0.254
0.414678,0.1042,0.1935,0.0379,0.223
0.415599,0.1042,0.1935,0.0379,0.223
0.434313,0.0743,0.2048,-0.0785,0.232
0.436165,0.0743,0.2048,-0.0785,0.232
0.454309,0.0998,0.2148,-0.0379,0.240
0.456050,0.0998,0.2148,-0.0379,0.240
0.474225,0.0752,0.2335,-0.0010,0.245
0.475321,0.0752,0.2335,-0.0010,0.245
0.497884,0.0917,0.1930,-0.0485,0.219
0.499298,0.0917,0.1930,-0.0485,0.219
0.514623,0.1063,0.1918,-0.0945,0.239
0.515659,0.1063,0.1918,-0.0945,0.239
0.534637,0.1267,0.1183,-0.0472,0.180
0.536472,0.1267,0.1183,-0.0472,0.180
0.554269,0.1130,0.0746,0.0682,0.152
0.556056,0.1130,0.0746,0.0682,0.152
0.573187,0.1035,0.1456,0.0297,0.181
0.574097,0.1035,0.1456,0.0297,0.181
0.593863,0.0998,0.3209,0.0518,0.340
0.594773,0.0998,0.3209,0.0518,0.340
0.624451,0.0254,0.3509,-0.1152,0.370
0.626287,0.0254,0.3509,-0.1152,0.370
0.634301,0.0452,0.1532,0.0249,0.162
0.635347,0.0452,0.1532,0.0249,0.162
0.653981,0.1660,-0.0079,0.0141,0.167
0.655552,0.1660,-0.0079,0.0141,0.167
0.673752,0.1382,0.0834,0.0478,0.168
0.674775,0.1382,0.0834,0.0478,0.168
0.699471,0.0248,0.2734,0.1219,0.300
0.700980,0.0248,0.2734,0.1219,0.300
0.713452,-0.0305,0.3167,0.0318,0.320
0.715768,-0.0305,0.3167,0.0318,0.320
0.734608,-0.0769,0.0606,0.0997,0.140
0.737058,-0.0769,0.0606,0.0997,0.140
0.754775,0.1296,-0.0633,0.2078,0.253
0.756365,0.1296,-0.0633,0.2078,0.253
0.773377,0.0890,0.1196,0.2388,0.282
0.774450,0.0890,0.1196,0.2388,0.282
0.801979,-0.0716,0.4453,0.0049,0.451
0.803937,-0.0716,0.4453,0.0049,0.451
0.813090,0.0259,0.3769,0.0898,0.388
0.814024,0.0259,0.3769,0.0898,0.388
0.833231,0.0413,0.1492,0.2385,0.284
0.834250,0.0413,0.1492,0.2385,0.284
0.854064,-0.1556,0.2220,0.2439,0.365
0.856127,-0.1556,0.2220,0.2439,0.365
0.872922,-0.3809,0.2404,0.2099,0.497
0.874250,-0.3809,0.2404,0.2099,0.497
0.893382,-0.3275,0.2723,0.3807,0.571
0.894322,-0.3275,0.2723,0.3807,0.571
0.915643,-0.3575,0.1248,-0.1198,0.397
0.917616,-0.3575,0.1248,-0.1198,0.397
0.936860,-0.2308,0.1777,-0.0906,0.305
0.938621,-0.2308,0.1777,-0.0906,0.305
0.953691,-0.2276,0.1348,-0.0584,0.271
0.955001,-0.2276,0.1348,-0.0584,0.271
0.979323,-0.3929,-0.0514,-0.3415,0.523
0.981345,-0.3929,-0.0514,-0.3415,0.523
1.001342,-0.5204,-0.2196,-0.1061,0.575
1.003030,-0.5204,-0.2196,-0.1061,0.575
1.012980,-0.1954,-0.0972,-0.0880,0.235
1.014846,-0.1954,-0.0972,-0.0880,0.235
1.032857,-0.0930,0.1176,-0.0648,0.163
1.034721,-0.0930,0.1176,-0.0648,0.163
1.053967,-0.1471,0.2834,-0.2395,0.399
1.055934,-0.1471,0.2834,-0.2395,0.399
1.072932,-0.1887,0.2593,-0.2692,0.419
1.073960,-0.1887,0.2593,-0.2692,0.419
1.093053,-0.2934,0.2180,-0.1599,0.399
1.094801,-0.2934,0.2180,-0.1599,0.399
1.112793,-0.4440,0.3177,-0.0358,0.547
1.113894,-0.4440,0.3177,-0.0358,0.547
1.133579,-0.5998,0.2850,0.0447,0.666
1.135323,-0.5998,0.2850,0.0447,0.666
1.152865,-0.6732,0.1888,0.1022,0.707
1.155217,-0.6732,0.1888,0.1022,0.707
1.172633,-0.6647,0.0625,0.0318,0.668
1.173657,-0.6647,0.0625,0.0318,0.668
1.192557,-0.7124,0.2092,-0.1650,0.761
1.193884,-0.7124,0.2092,-0.1650,0.761
1.212261,-0.5232,0.2435,-0.2495,0.629
1.213420,-0.5232,0.2435,-0.2495,0.629
1.233459,-0.2734,0.0867,-0.2917,0.409
1.235544,-0.2734,0.0867,-0.2917,0.409
1.253575,-0.1821,-0.0427,-0.2513,0.313
1.255242,-0.1821,-0.0427,-0.2513,0.313
1.272594,-0.3344,-0.0726,-0.2202,0.407
1.273973,-0.3344,-0.0726,-0.2202,0.407
1.292793,-0.5528,-0.0132,-0.1901,0.585
1.294339,-0.5528,-0.0132,-0.1901,0.585
1.313106,-0.5702,0.1121,-0.2101,0.618
1.314610,-0.5702,0.1121,-0.2101,0.618
1.333099,-0.2302,0.1892,-0.2163,0.368
1.335360,-0.2302,0.1892,-0.2163,0.368
1.353350,0.0002,0.0439,-0.2061,0.211
1.355297,0.0002,0.0439,-0.2061,0.211
1.371891,0.1847,-0.1395,-0.1026,0.253
1.373287,0.1847,-0.1395,-0.1026,0.253
1.392618,0.2684,-0.4748,-0.0525,0.548
1.393990,0.2684,-0.4748,-0.0525,0.548
1.415220,0.4536,-1.2840,-0.5072,1.453
1.417017,0.4536,-1.2840,-0.5072,1.453
1.432430,0.6342,-1.8282,-0.4331,1.983
1.434509,0.6342,-1.8282,-0.4331,1.983
1.452297,0.1593,-2.2069,-0.5354,2.276
1.454056,0.1593,-2.2069,-0.5354,2.276
1.472209,-0.1535,-2.6807,0.0596,2.686
1.473298,-0.1535,-2.6807,0.0596,2.686
1.495454,-0.6489,-2.9822,0.0006,3.052
1.497354,-0.6489,-2.9822,0.0006,3.052
1.511665,-1.1662,-2.9963,-0.0188,3.215
1.512766,-1.1662,-2.9963,-0.0188,3.215
1.532406,-2.0226,-2.8414,0.3026,3.501
1.534422,-2.0226,-2.8414,0.3026,3.501
1.551849,-2.5865,-1.7721,0.5075,3.176
1.553401,-2.5865,-1.7721,0.5075,3.176
1.572895,-2.7330,-0.4448,0.4690,2.808
1.574529,-2.7330,-0.4448,0.4690,2.808
1.592050,-1.8088,-0.0128,-0.0815,1.811
1.594381,-1.8088,-0.0128,-0.0815,1.811
1.612520,-0.0981,-0.4983,-0.8014,0.949
