time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004950,0.1510,0.4043,-0.0668,0.437
0.006071,0.1510,0.4043,-0.0668,0.437
0.032659,0.1428,0.3198,0.0165,0.351
0.033715,0.1428,0.3198,0.0165,0.351
0.043879,-0.0585,0.1084,-0.0619,0.138
0.046424,-0.0585,0.1084,-0.0619,0.138
0.056765,-0.0851,0.1527,-0.0514,0.182
0.058195,-0.0851,0.1527,-0.0514,0.182
0.076589,-0.0789,0.2002,0.0061,0.215
0.078075,-0.0789,0.2002,0.0061,0.215
0.096422,0.0372,0.1983,-0.0519,0.208
0.097380,0.0372,0.1983,-0.0519,0.208
0.116547,0.1740,0.2092,-0.0760,0.282
0.117495,0.1740,0.2092,-0.0760,0.282
0.136914,0.1045,0.2630,-0.0795,0.294
0.138175,0.1045,0.2630,-0.0795,0.294
0.156845,0.0044,0.2801,-0.0253,0.281
0.158276,0.0044,0.2801,-0.0253,0.281
0.176420,-0.0409,0.1812,-0.0385,0.190
0.177668,-0.0409,0.1812,-0.0385,0.190
0.196776,-0.0015,0.2122,-0.0675,0.223
0.197899,-0.0015,0.2122,-0.0675,0.223
0.216432,0.0149,0.2272,0.0033,0.228
0.217716,0.0149,0.2272,0.0033,0.228
0.237612,0.0296,0.1612,0.0299,0.167
0.239029,0.0296,0.1612,0.0299,0.167
0.256526,0.0823,0.2175,0.0289,0.234
0.257844,0.0823,0.2175,0.0289,0.234
0.276677,0.0854,0.3113,0.0119,0.323
0.278426,0.0854,0.3113,0.0119,0.323
0.296698,0.0442,0.2726,0.0346,0.278
0.298285,0.0442,0.2726,0.0346,0.278
0.316618,0.0003,0.1481,0.0776,0.167
0.318270,0.0003,0.1481,0.0776,0.167
0.336593,-0.0322,0.1898,0.0382,0.196
0.337729,-0.0322,0.1898,0.0382,0.196
0.361786,0.1331,0.3383,0.0621,0.369
0.363429,0.1331,0.3383,0.0621,0.369
0.376234,0.0739,0.5755,0.1677,0.604
0.379252,0.0739,0.5755,0.1677,0.604
0.396878,0.4554,-0.2299,-0.1019,0.520
0.398588,0.4554,-0.2299,-0.1019,0.520
0.417839,0.3985,-0.3179,0.0383,0.511
0.419134,0.3985,-0.3179,0.0383,0.511
0.436753,0.1851,-0.0046,0.0930,0.207
0.438666,0.1851,-0.0046,0.0930,0.207
0.455866,-0.0268,0.4539,0.1141,0.469
0.457313,-0.0268,0.4539,0.1141,0.469
0.477049,-0.0615,0.3980,0.1216,0.421
0.479307,-0.0615,0.3980,0.1216,0.421
0.497197,0.0505,0.2414,0.0918,0.263
0.498702,0.0505,0.2414,0.0918,0.263
0.516209,0.1519,0.0644,0.0400,0.170
0.517846,0.1519,0.0644,0.0400,0.170
0.538036,0.1141,-0.0216,0.0836,0.143
0.539945,0.1141,-0.0216,0.0836,0.143
0.555733,-0.0500,0.2988,0.0823,0.314
0.557463,-0.0500,0.2988,0.0823,0.314
0.578027,0.1020,0.2883,-0.0416,0.309
0.580304,0.1020,0.2883,-0.0416,0.309
0.596207,0.1563,0.2851,-0.0733,0.333
0.597811,0.1563,0.2851,-0.0733,0.333
0.615910,0.2231,0.2661,-0.0561,0.352
0.616792,0.2231,0.2661,-0.0561,0.352
0.644686,0.1997,0.1636,0.0965,0.276
0.646693,0.1997,0.1636,0.0965,0.276
0.655561,-0.1064,0.0706,0.1582,0.203
0.657532,-0.1064,0.0706,0.1582,0.203
0.676523,-0.3027,0.2526,-0.0265,0.395
0.677826,-0.3027,0.2526,-0.0265,0.395
0.696571,-0.1889,0.3130,-0.0542,0.370
0.698071,-0.1889,0.3130,-0.0542,0.370
0.716014,0.0687,0.2441,-0.0785,0.265
0.717076,0.0687,0.2441,-0.0785,0.265
0.735716,0.3275,0.1360,-0.0821,0.364
0.737467,0.3275,0.1360,-0.0821,0.364
0.755904,0.4309,0.0831,-0.1344,0.459
0.757094,0.4309,0.0831,-0.1344,0.459
0.780177,0.2943,0.1116,-0.0960,0.329
0.781603,0.2943,0.1116,-0.0960,0.329
0.796071,0.1874,0.1760,-0.0952,0.274
0.797126,0.1874,0.1760,-0.0952,0.274
0.822968,0.1825,0.1984,-0.0249,0.271
0.824927,0.1825,0.1984,-0.0249,0.271
0.835723,0.1648,0.1843,0.0318,0.249
0.837684,0.1648,0.1843,0.0318,0.249
0.855653,0.0986,0.2324,0.0586,0.259
0.857069,0.0986,0.2324,0.0586,0.259
0.877294,0.0264,0.2330,0.0837,0.249
0.878408,0.0264,0.2330,0.0837,0.249
0.896425,-0.0560,0.2509,0.0475,0.261
0.897869,-0.0560,0.2509,0.0475,0.261
0.920225,-0.0779,0.2626,-0.0060,0.274
0.921953,-0.0779,0.2626,-0.0060,0.274
0.935182,0.0105,0.2534,-0.0385,0.257
0.937342,0.0105,0.2534,-0.0385,0.257
0.954939,0.1023,0.1759,0.0567,0.211
0.957671,0.1023,0.1759,0.0567,0.211
0.975030,0.0643,0.1157,0.1241,0.181
0.977791,0.0643,0.1157,0.1241,0.181
0.995156,-0.0098,0.1287,0.1436,0.193
0.997128,-0.0098,0.1287,0.1436,0.193
1.015606,0.0167,0.2121,0.1241,0.246
1.017229,0.0167,0.2121,0.1241,0.246
1.035417,0.0916,0.1793,0.1200,0.234
1.037372,0.0916,0.1793,0.1200,0.234
1.059758,0.0746,0.1784,0.1107,0.223
1.062367,0.0746,0.1784,0.1107,0.223
1.079710,-0.0208,0.2114,0.1468,0.258
1.081226,-0.0208,0.2114,0.1468,0.258
1.095409,-0.0916,0.2451,0.1410,0.297
1.096581,-0.0916,0.2451,0.1410,0.297
1.114619,-0.0658,0.2567,0.1182,0.290
1.116836,-0.0658,0.2567,0.1182,0.290
1.134755,-0.0287,0.1934,0.1679,0.258
1.136560,-0.0287,0.1934,0.1679,0.258
1.155179,-0.0343,0.1432,0.1533,0.213
1.158486,-0.0343,0.1432,0.1533,0.213
1.174853,-0.1575,0.2050,0.1186,0.284
1.176371,-0.1575,0.2050,0.1186,0.284
1.195591,-0.3061,0.1958,0.1998,0.415
1.197570,-0.3061,0.1958,0.1998,0.415
1.215122,-0.3569,0.1595,0.1892,0.434
1.216801,-0.3569,0.1595,0.1892,0.434
1.234989,-0.2653,0.2191,0.0640,0.350
1.236829,-0.2653,0.2191,0.0640,0.350
1.254729,-0.0842,0.2033,0.0098,0.220
1.256679,-0.0842,0.2033,0.0098,0.220
1.274550,-0.0259,0.1996,-0.0185,0.202
1.276759,-0.0259,0.1996,-0.0185,0.202
1.294706,-0.0298,0.1951,-0.0507,0.204
1.296491,-0.0298,0.1951,-0.0507,0.204
1.315631,-0.0589,0.2042,-0.0212,0.214
1.317300,-0.0589,0.2042,-0.0212,0.214
1.333421,-0.0451,0.2409,-0.0233,0.246
1.334895,-0.0451,0.2409,-0.0233,0.246
1.357537,-0.0141,0.2423,-0.0082,0.243
1.360024,-0.0141,0.2423,-0.0082,0.243
1.377518,0.1219,0.1959,-0.0185,0.231
1.379045,0.1219,0.1959,-0.0185,0.231
1.393997,0.2692,0.1957,-0.0444,0.336
1.395855,0.2692,0.1957,-0.0444,0.336
1.413967,0.3058,0.1621,-0.0469,0.349
1.415425,0.3058,0.1621,-0.0469,0.349
1.433083,0.3366,0.2101,-0.0777,0.404
