time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003155,0.0024,0.5037,0.2478,0.561
0.003795,0.0024,0.5037,0.2478,0.561
0.021979,0.1401,0.4591,0.1973,0.519
0.022692,0.1401,0.4591,0.1973,0.519
0.039926,0.1396,0.4781,-0.0297,0.499
0.040947,0.1396,0.4781,-0.0297,0.499
0.060104,0.3245,0.2100,0.0757,0.394
0.060914,0.3245,0.2100,0.0757,0.394
0.079450,0.1611,0.3116,0.0419,0.353
0.080744,0.1611,0.3116,0.0419,0.353
0.099399,-0.1278,0.0247,0.1151,0.174
0.101128,-0.1278,0.0247,0.1151,0.174
0.128218,-0.1860,-0.1872,0.0525,0.269
0.129271,-0.1860,-0.1872,0.0525,0.269
0.139712,-0.3302,-0.0543,0.3615,0.493
0.140665,-0.3302,-0.0543,0.3615,0.493
0.159758,-0.4877,0.1575,0.5561,0.756
0.160749,-0.4877,0.1575,0.5561,0.756
0.180989,-0.4329,-0.0335,0.2471,0.500
0.182185,-0.4329,-0.0335,0.2471,0.500
0.199504,-0.3201,-0.0641,0.2297,0.399
0.200548,-0.3201,-0.0641,0.2297,0.399
0.233432,-0.1294,0.1580,0.1057,0.230
0.234998,-0.1294,0.1580,0.1057,0.230
0.239449,-0.2068,0.3947,0.2271,0.500
0.240466,-0.2068,0.3947,0.2271,0.500
0.260493,-0.1819,0.1707,0.2352,0.343
0.261219,-0.1819,0.1707,0.2352,0.343
0.279108,-0.2200,-0.0490,0.2106,0.309
0.280253,-0.2200,-0.0490,0.2106,0.309
0.300178,-0.1694,0.0950,0.1522,0.247
0.302449,-0.1694,0.0950,0.1522,0.247
0.319915,-0.1367,0.4585,0.2488,0.539
0.321287,-0.1367,0.4585,0.2488,0.539
0.339403,-0.0536,0.4448,0.1193,0.464
0.340979,-0.0536,0.4448,0.1193,0.464
0.359892,-0.0762,0.0277,-0.0006,0.081
0.360867,-0.0762,0.0277,-0.0006,0.081
0.385333,0.0598,-0.0911,-0.0200,0.111
0.387068,0.0598,-0.0911,-0.0200,0.111
0.399236,0.3267,0.1619,-0.1479,0.393
0.401141,0.3267,0.1619,-0.1479,0.393
0.419453,0.3046,0.3237,-0.0877,0.453
0.420673,0.3046,0.3237,-0.0877,0.453
0.438792,0.1011,0.2589,0.1088,0.298
0.440271,0.1011,0.2589,0.1088,0.298
0.459509,0.0094,0.1467,0.1163,0.187
